,18-Sep-2018
The Nifty witnessed an intraday movement of about 142.5 points.The closing index was 0.87 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 32077.64
, Traded Quantity (in Lakhs), 17220.05
, Number of Trades, 11617457
, Total Market Capitalisation (Rs. Crores), 15122623.93

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,ALICON,EQ,       675.75,                  2025991.30,2970
,ALKALI,EQ,        64.65,                   683301.65,10448
,ALKEM,EQ,      2038.60,                200581435.40,97872
,ALKYLAMINE,EQ,       629.55,                  1172874.10,1844
,ALLCARGO,EQ,       111.90,                 11439081.00,100993
,ALLSEC,EQ,       310.20,                 29131641.30,91612
,ALMONDZ,BE,        36.75,                    78364.50,2170
,ALOKTEXT,BE,         4.05,                 12858440.85,3021977
,ALPA,EQ,        32.50,                  1550083.35,46978
,ALPHAGEO,EQ,       647.50,                  2176671.90,3345
,ALPSINDUS,BE,         3.10,                    31734.45,10085
,AMARAJABAT,EQ,       790.65,                676333105.35,849818
,AMBER,EQ,       930.50,                 15666838.75,16687
,AMBIKCO,EQ,      1256.90,                  1466564.05,1165
,AMDIND,EQ,        24.45,                   166995.65,6655
,AMJLAND,EQ,        24.45,                  1127674.15,45807
,AMRUTANJAN,EQ,       301.00,                  5184933.30,17000
,ANANTRAJ,EQ,        49.55,                122588797.95,2373793
,ANDHRABANK,EQ,        30.90,                300598829.20,9451686
,ANDHRACEMT,EQ,         7.75,                   403213.10,51397
,ANDHRSUGAR,EQ,       418.30,                303078538.00,704446
,ANGIND,BE,         2.45,                    18828.85,7921
,ANIKINDS,EQ,        28.00,                    40126.50,1436
,ANKITMETAL,BE,          .65,                    11384.10,18532
,ANSALAPI,EQ,        15.20,                  1001359.45,65322
,ANSALHSG,EQ,        14.30,                   249842.95,17137
,ANTGRAPHIC,BE,          .55,                    11565.00,21300
,APARINDS,EQ,       629.45,                  6100763.20,9657
,APCL,EQ,       143.60,                    86579.50,598
,APCOTEXIND,EQ,       621.35,                  7747677.75,12108
,APEX,EQ,       410.20,                 85006007.00,206852
,APLAPOLLO,EQ,      1539.85,                 16262705.70,10554
,APLLTD,EQ,       631.25,                 42633352.55,66666
,APOLLO,EQ,       138.90,                  2336971.85,16718
,APOLLOHOSP,EQ,      1119.90,               1199535464.40,1063178
,APOLLOTYRE,EQ,       238.85,                711179555.95,2947278
,APOLSINHOT,EQ,      1321.75,                    60261.60,45
,APTECHT,EQ,       184.00,                 60316835.65,319086
,ARCHIDPLY,EQ,        54.30,                   596581.85,10859
,ARCHIES,EQ,        28.80,                  2967076.85,100161
,ARCOTECH,BE,        13.75,                   345917.85,24672
,ARIES,EQ,       110.65,                  2997854.00,26870
,ARIHANT,EQ,        36.00,                    14436.95,401
,ARIHANTSUP,EQ,        71.95,                  2474121.40,34270
,ARMANFIN,EQ,       404.45,                   743443.90,1843
,AROGRANITE,EQ,        59.35,                   923635.05,15632
,ARROWGREEN,EQ,       124.45,                   683749.05,5451
,ARROWTEX,EQ,        29.90,                   177809.45,5897
,ARSHIYA,EQ,        43.80,                  4415996.75,99566
,ARSSINFRA,EQ,        27.50,                   720563.25,26695
,ARVIND,EQ,       382.75,                590303268.85,1521566
,ARVSMART,EQ,       147.95,                  1343624.20,9068
,ASAHIINDIA,EQ,       331.20,                  2897173.85,8646
,ASAHISONG,EQ,       282.75,                  1113093.80,3941
,ASAL,EQ,        58.05,                   467954.40,8076
,ASHAPURMIN,EQ,        38.30,                  2473844.45,63118
,ASHIANA,EQ,       149.00,                  6222994.35,41755
,ASHIMASYN,EQ,        19.25,                  1291186.05,65833
,ASHOKA,EQ,       116.05,                110398029.20,943284
,ASIANHOTNR,EQ,       224.90,                   536303.45,2370
,ASIANTILES,EQ,       223.25,                 17062119.40,75835
,ASPINWALL,EQ,       224.15,                   267996.45,1185
