,04-Sep-2018
The Nifty witnessed an intraday movement of about 105.7 points.The closing index was 0.54 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 35796.63
, Traded Quantity (in Lakhs), 15332.72
, Number of Trades, 11729869
, Total Market Capitalisation (Rs. Crores), 15406748.14

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AIRAN,SM,        70.00,                   354750.00,5000
,AIROLAM,SM,        38.80,                  1280850.00,33000
,AISL,SM,        82.50,                  5723820.00,68400
,AJANTPHARM,EQ,      1225.50,                304034097.95,246035
,AJMERA,EQ,       214.75,                 15815652.40,72448
,AJOONI,SM,        20.00,                   158000.00,8000
,AKASH,SM,        70.60,                   211650.00,3000
,AKSHARCHEM,EQ,       496.20,                  1971722.40,3979
,AKSHOPTFBR,EQ,        29.90,                 39831714.70,1327996
,AKZOINDIA,EQ,      1715.80,                 13706319.75,7974
,ALANKIT,EQ,        24.05,                 29118544.75,1185527
,ALBERTDAVD,EQ,       716.75,                223569939.75,312303
,ALBK,EQ,        41.10,                187317421.20,4494457
,ALCHEM,BE,         5.15,                    35926.10,6934
,ALEMBICLTD,EQ,        49.10,                 73405917.45,1443156
,ALICON,EQ,       623.90,                  2469113.50,3917
,ALKALI,EQ,        66.15,                   548863.60,8146
,ALKEM,EQ,      2154.95,                110273368.75,50767
,ALKYLAMINE,EQ,       639.60,                   929235.90,1446
,ALLCARGO,EQ,       115.05,                 17093154.70,147145
,ALLSEC,EQ,       224.55,                  2048919.80,8995
,ALMONDZ,BE,        37.00,                   171758.50,4635
,ALOKTEXT,BE,         4.15,                 10654785.70,2536829
,ALPA,EQ,        29.90,                   783232.05,25906
,ALPHAGEO,EQ,       649.30,                  5891812.05,8934
,ALPSINDUS,BE,         3.00,                    30686.25,10285
,AMARAJABAT,EQ,       822.50,                214553900.80,257408
,AMBER,EQ,       954.30,                  4237064.05,4413
,AMBIKCO,EQ,      1268.25,                  5913262.90,4655
,AMDIND,EQ,        25.80,                   162190.85,6260
,AMJLAND,EQ,        25.40,                   192802.45,7491
,AMRUTANJAN,EQ,       310.10,                 30483334.70,96229
,AMTEKAUTO,BZ,         5.40,                  1499565.85,277834
,ANANTRAJ,EQ,        47.45,                 41004828.00,843858
,ANDHRABANK,EQ,        32.50,                161803728.80,4870123
,ANDHRACEMT,EQ,         8.15,                   794650.40,96466
,ANDHRSUGAR,EQ,       376.85,                  7819255.85,20691
,ANGIND,BE,         2.50,                    36521.30,15090
,ANIKINDS,EQ,        28.95,                   146955.00,5033
,ANKITMETAL,BE,          .75,                     2939.25,3996
,ANSALAPI,EQ,        15.45,                  1759303.35,111950
,ANSALHSG,EQ,        14.50,                   602695.10,40688
,ANTGRAPHIC,BE,          .55,                    39506.70,69891
,APARINDS,EQ,       633.65,                  7568168.25,12091
,APCL,EQ,       147.40,                   336174.30,2248
,APCOTEXIND,EQ,       619.95,                  1515718.70,2421
,APEX,EQ,       409.10,                 38117927.05,91848
,APLAPOLLO,EQ,      1601.40,                 17292530.25,10843
,APLLTD,EQ,       602.95,                 24920984.25,41208
,APOLLO,EQ,       154.75,                  2856042.05,18193
,APOLLOHOSP,EQ,      1179.60,                826539084.25,704258
,APOLLOTYRE,EQ,       241.15,               1039206162.95,4263761
,APOLSINHOT,EQ,      1394.50,                  1056638.40,758
,APTECHT,EQ,       221.10,                 49459652.35,221201
,ARCHIDPLY,EQ,        55.70,                  1217864.30,21398
,ARCHIES,EQ,        26.85,                  2088151.55,77203
,ARCOTECH,BE,        15.05,                  1053161.45,69382
,ARENTERP,EQ,         9.00,                      900.00,100
,ARIES,EQ,       115.00,                  2425249.05,20892
,ARIHANT,EQ,        38.90,                   122606.75,3163
,ARIHANTSUP,EQ,        71.15,                  2788439.60,39373
,ARMANFIN,EQ,       401.20,                  1011697.70,2515
,AROGRANITE,EQ,        59.50,                   728202.95,12051
,ARROWGREEN,EQ,       142.80,                  5391821.60,37690
,ARROWTEX,EQ,        29.00,                   314682.70,10761
,ARSHIYA,EQ,        45.40,                  1157635.00,25244
,ARSSINFRA,EQ,        25.80,                   397966.20,15057
,ARVIND,EQ,       382.20,                895660651.70,2303448
,ARVSMART,EQ,       153.05,                  4268489.50,27877
,ASAHIINDIA,EQ,       336.05,                 16508703.25,47884
,ASAHISONG,EQ,       265.50,                   910684.60,3434
,ASAL,EQ,        56.45,                   557191.70,9889
,ASHAPURMIN,EQ,        45.65,                  3722706.10,80539
,ASHIANA,EQ,       150.10,                  5180042.90,34554
,ASHIMASYN,EQ,        19.25,                   742001.00,38214
,ASHOKA,EQ,       133.95,                 95163078.15,709264
,ASIANHOTNR,EQ,       229.85,                   518395.30,2264
,ASIANTILES,EQ,       228.10,                 13674898.85,59722
,ASPINWALL,EQ,       236.55,                   577693.45,2463
,ASSAMCO,BE,         4.45,                   670804.30,149100
,ASTEC,EQ,       650.25,                 53972682.15,82310
,ASTERDM,EQ,       178.75,                 51735411.60,289069
,ASTRAL,EQ,      1144.75,                 33025747.00,28966
,ASTRAMICRO,EQ,        93.65,                 14484613.30,152968
,ASTRAZEN,EQ,      1798.45,                 50028607.05,27495
,ASTRON,EQ,       114.10,                 19133418.80,166645
,ATFL,EQ,       659.65,                  3215229.45,4879
,ATLANTA,EQ,        37.85,                  1378696.05,36305
,ATLASCYCLE,BE,       135.60,                   350827.00,2578
,ATUL,EQ,      3113.10,                 27145034.80,8674
,ATULAUTO,EQ,       380.60,                  4939955.35,12898
,AUBANK,EQ,       717.30,                177850753.05,246988
,AURIONPRO,EQ,       185.60,                  1592535.35,8521
,AUSOMENT,EQ,        67.35,                   651356.75,9681
,AUTOAXLES,EQ,      1383.85,                 37784433.85,26884
,AUTOIND,EQ,        59.20,                   587236.65,9815
,AUTOLITIND,EQ,        52.65,                   510431.50,9534
,AVADHSUGAR,EQ,       344.35,                  2879492.30,8210
,AVANTIFEED,EQ,       421.25,                207825957.65,487127
,AVONMPL,SM,        57.40,                   229600.00,4000
,AVTNPL,EQ,        31.80,                  2349709.40,73970
,AXISCADES,EQ,        99.25,                  9134933.05,90790
,AXISGOLD,EQ,      2665.30,                   322284.20,121
,AXISNIFTY,EQ,      1164.25,                    86775.93,73
,AYMSYNTEX,EQ,        39.40,                   219731.95,5572
,BAFNAPHARM,EQ,        20.10,                   464710.45,22880
,BAGFILMS,BE,         6.10,                   772379.65,125792
,BAJAJCORP,EQ,       412.30,                  8959234.65,21533
,BAJAJELEC,EQ,       545.40,                159226494.75,286998
,BAJAJHIND,EQ,         6.70,                  5458110.15,806780
,BAJAJHLDNG,EQ,      3038.05,                 46660896.05,15424
,BALAJITELE,EQ,       109.60,                  5488867.00,50223
,BALAMINES,EQ,       556.75,                 11994610.70,21325
,BALKRISHNA,EQ,        65.65,                  1068576.90,16084
,BALKRISIND,EQ,      1173.90,               3572352583.70,2984045
,BALLARPUR,EQ,         9.05,                 11477152.65,1253243
,BALMLAWRIE,EQ,       213.70,                 33136502.20,153516
,BALPHARMA,EQ,        86.05,                  2654504.10,30480
,BALRAMCHIN,EQ,        72.60,                447732015.50,6096510
,BANARBEADS,EQ,        49.95,                    57921.40,1167
,BANARISUG,EQ,      1500.65,                   411656.10,274
,BANCOINDIA,EQ,       229.85,                 22292525.15,97591
,BANDHANBNK,EQ,       638.30,                847864721.80,1310534
,BANG,EQ,        45.30,                   318209.65,6928
,BANKBEES,EQ,      2799.37,                 62183308.95,22194
,BANKINDIA,EQ,        94.95,                838453945.80,8643715
,BANSAL,SM,       107.55,                  2352150.00,22000
,BANSWRAS,EQ,        80.00,                    47368.10,591
,BARTRONICS,EQ,         8.90,                   423805.85,47280
,BASF,EQ,      1947.25,                 43226132.60,22276
,BASML,EQ,       204.95,                    12602.50,61
,BATAINDIA,EQ,      1032.40,                890727062.60,853123
,BAYERCROP,EQ,      4397.80,                 61731006.85,13934
,BBL,EQ,      1360.10,                 36053033.35,25952
