,24-Sep-2018
The Nifty witnessed an intraday movement of about 226.55 points.The closing index was 1.58 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 42195.76
, Traded Quantity (in Lakhs), 17690.33
, Number of Trades, 14919220
, Total Market Capitalisation (Rs. Crores), 14565532.2

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AJANTPHARM,EQ,      1092.10,                367668602.75,332680
,AJMERA,EQ,       175.15,                 21731131.20,117885
,AJOONI,SM,        17.60,                   446600.00,24000
,AKSHARCHEM,EQ,       472.95,                  2929471.35,6146
,AKSHOPTFBR,EQ,        25.55,                 43016755.80,1652966
,AKZOINDIA,EQ,      1619.25,                  9151364.60,5619
,ALANKIT,EQ,        18.25,                 19901544.55,1066783
,ALBERTDAVD,EQ,       591.75,                 26829941.45,44171
,ALBK,EQ,        36.70,                190731624.15,5169626
,ALCHEM,BE,         4.65,                    26070.45,5429
,ALEMBICLTD,EQ,        44.30,                 13842402.85,313532
,ALICON,EQ,       698.25,                 11362662.90,16307
,ALKALI,EQ,        61.40,                   361266.30,5835
,ALKEM,EQ,      2034.15,                 30185164.85,14707
,ALKYLAMINE,EQ,       609.00,                  3199246.60,5292
,ALLCARGO,EQ,       105.55,                 34632132.85,327224
,ALLSEC,EQ,       279.10,                  1593385.05,5635
,ALMONDZ,BE,        34.00,                   210281.35,6112
,ALOKTEXT,BE,         3.65,                  7992673.35,2174987
,ALPA,EQ,        29.65,                  2398416.00,82268
,ALPHAGEO,EQ,       578.70,                  9599267.65,16322
,ALPSINDUS,BE,         2.85,                   121151.50,42782
,AMARAJABAT,EQ,       761.65,                370123208.55,488090
,AMBER,EQ,       926.05,                  9918277.00,10705
,AMBIKCO,EQ,      1223.95,                  3186983.10,2592
,AMDIND,EQ,        21.70,                   263743.45,11947
,AMJLAND,EQ,        22.45,                   951973.75,42900
,AMJUMBO,SM,        62.35,                   374100.00,6000
,AMRUTANJAN,EQ,       265.70,                  6902596.35,25794
,ANANTRAJ,EQ,        40.45,                 36694919.70,894824
,ANDHRABANK,EQ,        28.90,                170012903.75,5974538
,ANDHRACEMT,EQ,         7.25,                   729545.75,100438
,ANDHRSUGAR,EQ,       364.10,                 52062030.60,143141
,ANGIND,BE,         2.50,                     1471.50,581
,ANIKINDS,EQ,        25.65,                    60128.00,2308
,ANKITMETAL,BE,          .60,                     1516.80,2528
,ANSALAPI,EQ,        13.70,                   724379.85,52277
,ANSALHSG,EQ,        12.65,                   462750.90,35914
,ANTGRAPHIC,BE,          .55,                    62478.60,119051
,APARINDS,EQ,       596.60,                 15595662.25,25879
,APCL,EQ,       134.05,                   901758.75,6662
,APCOTEXIND,EQ,       588.30,                  5543580.70,9442
,APEX,EQ,       361.20,                 28511618.05,77569
,APLAPOLLO,EQ,      1490.65,                 34773515.05,23730
,APLLTD,EQ,       642.90,                 36983303.30,57540
,APOLLO,EQ,       126.85,                  2897561.25,22662
,APOLLOHOSP,EQ,      1017.00,                471471394.70,461495
,APOLLOTYRE,EQ,       226.10,                519555418.60,2291403
,APOLSINHOT,EQ,      1282.90,                  2079115.45,1599
,APTECHT,EQ,       170.30,                 53559913.75,314354
,ARCHIDPLY,EQ,        47.35,                  1766726.10,36688
,ARCHIES,EQ,        26.30,                  1100470.70,41462
,ARCOTECH,BE,        12.55,                   919735.70,73445
,ARIES,EQ,       103.10,                  4697711.10,46334
,ARIHANT,EQ,        33.00,                     2445.00,75
,ARIHANTSUP,EQ,        64.60,                  1240955.10,19050
,ARMANFIN,EQ,       357.50,                  4497460.80,12477
,AROGRANITE,EQ,        56.00,                  1231668.80,21720
,ARROWGREEN,EQ,       129.55,                  1517132.40,11406
,ARROWTEX,EQ,        29.00,                   358521.85,12171
,ARSHIYA,EQ,        37.00,                  8985548.70,230189
,ARSSINFRA,EQ,        26.50,                  1185646.55,44528
,ARVIND,EQ,       360.40,                495606817.40,1369299
,ARVSMART,EQ,       135.45,                  7741647.30,56553
,ASAHIINDIA,EQ,       326.80,                  4764492.10,14421
,ASAHISONG,EQ,       254.70,                  1379714.65,5412
,ASAL,EQ,        52.05,                   386810.15,7423
,ASHAPURMIN,EQ,        34.20,                  2550425.30,74972
,ASHIANA,EQ,       142.20,                 15323585.20,107739
,ASHIMASYN,EQ,        17.05,                   705103.35,40448
,ASHOKA,EQ,       113.10,                 46172603.70,411672
,ASIANHOTNR,EQ,       215.35,                   126903.65,586
,ASIANTILES,EQ,       206.75,                 13302903.20,64898
,ASPINWALL,EQ,       198.45,                  2061048.75,10348
,ASSAMCO,BE,         3.85,                  2016144.45,490467
,ASTEC,EQ,       547.40,                 20453575.70,37267
,ASTERDM,EQ,       159.40,                 12228572.25,76762
,ASTRAL,EQ,      1012.10,                 96081695.55,95680
,ASTRAMICRO,EQ,        85.35,                 27853176.10,333004
,ASTRAZEN,EQ,      1673.65,                 72052891.20,42366
,ASTRON,EQ,       124.40,                 38801198.25,310299
,ATFL,EQ,       625.95,                 11481147.65,18305
,ATLANTA,EQ,        32.20,                   892862.80,27473
,ATLASCYCLE,BE,       121.90,                   664136.90,5431
,ATUL,EQ,      3184.20,                 65845572.00,20772
,ATULAUTO,EQ,       345.00,                  2895633.20,8337
,AUBANK,EQ,       616.90,                643357520.55,1034204
,AURDIS,SM,        24.90,                    49800.00,2000
,AURIONPRO,EQ,       171.90,                  2121604.95,12682
,AUSOMENT,EQ,        60.85,                  1372584.80,22373
,AUTOAXLES,EQ,      1346.05,                 66429407.10,49533
,AUTOIND,EQ,        65.15,                  2865947.05,43280
,AUTOLITIND,EQ,        47.85,                   921756.25,19105
,AVADHSUGAR,EQ,       474.30,                124798851.90,260761
,AVANTIFEED,EQ,       414.95,                170007489.00,403396
,AVG,SM,        84.45,                   203340.00,2400
,AVSL,SM,        32.50,                    97500.00,3000
,AVTNPL,EQ,        27.95,                  1979827.85,70516
,AXISCADES,EQ,        86.00,                  7022734.00,80203
,AXISGOLD,EQ,      2707.10,                   159895.55,59
,AXISNIFTY,EQ,      1121.80,                   122306.11,109
,AYMSYNTEX,EQ,        36.40,                  1547342.45,42878
,BAFNAPHARM,EQ,        16.50,                   112816.15,6997
,BAGFILMS,BE,         5.00,                   482091.95,95579
,BAJAJCORP,EQ,       457.95,                 24770957.10,55214
,BAJAJELEC,EQ,       516.35,                120547912.65,234486
,BAJAJHIND,EQ,         9.40,                130102151.50,13515864
,BAJAJHLDNG,EQ,      3082.45,                146427479.25,47597
,BALAJITELE,EQ,        96.10,                  9823404.65,101048
,BALAMINES,EQ,       512.00,                 12004309.30,23331
,BALKRISHNA,EQ,        57.50,                  1369438.35,23674
,BALKRISIND,EQ,      1091.20,                867898406.90,799728
,BALLARPUR,EQ,         8.00,                  6720844.40,838227
,BALMLAWRIE,EQ,       191.75,                 18603930.55,98104
,BALPHARMA,EQ,        88.75,                  6544617.75,72416
,BALRAMCHIN,EQ,        76.90,                990255375.40,12909990
,BANARBEADS,EQ,        50.00,                    26875.55,543
,BANARISUG,EQ,      1578.50,                  3071353.30,1962
,BANCOINDIA,EQ,       204.45,                  7508552.95,36534
,BANDHANBNK,EQ,       547.75,                998349838.60,1802699
,BANG,EQ,        48.30,                   781899.00,16250
,BANKBEES,EQ,      2541.82,                 19873114.20,7764
,BANKINDIA,EQ,        83.50,                684374324.15,8101723
,BANSAL,SM,        85.80,                  2882850.00,33000
,BANSWRAS,EQ,        66.20,                   579211.60,8852
,BARTRONICS,EQ,         7.65,                   595103.10,77278
,BASF,EQ,      1805.45,                  9363087.90,5135
,BASML,EQ,       205.00,                   360445.40,1758
,BATAINDIA,EQ,       970.15,                752314716.95,782447
,BAYERCROP,EQ,      4194.15,                 36873435.35,8869
,BBL,EQ,      1288.70,                 16349252.30,12607
,BBTC,EQ,      1377.05,                496702798.65,347474
,BCONCEPTS,SM,        35.00,                   316500.00,9000
,BDL,EQ,       306.50,                 10914609.70,35147
,BEARDSELL,EQ,        32.10,                    38672.10,1185
,BEDMUTHA,EQ,        26.30,                  2759457.80,104931
,BEML,EQ,       677.30,                559758922.50,812311
,BEPL,EQ,       133.05,                 89113962.25,648497
,BERGEPAINT,EQ,       297.95,                229879684.05,766714
,BETA,SM,        87.90,                  1752400.00,19200
,BFINVEST,EQ,       296.45,                 29347012.85,97244
,BFUTILITIE,EQ,       274.35,                 55861006.65,200703
,BGLOBAL,BE,         2.45,                     7620.35,3001
,BGRENERGY,EQ,        63.75,                  5935024.25,92312
,BHAGERIA,EQ,       267.25,                  1930846.65,7149
,BHAGYANGR,BE,        32.85,                   498711.05,15389
,BHAGYAPROP,EQ,        23.90,                   310836.15,13071
,BHANDARI,EQ,         2.15,                   759797.00,348655
,BHARATFIN,EQ,      1031.05,               1135504543.80,1092163
,BHARATFORG,EQ,       608.05,                896707594.80,1465954
,BHARATGEAR,EQ,       174.40,                  4136717.25,23812
,BHARATIDIL,BZ,         2.95,                    30474.85,10559
,BHARATRAS,EQ,      6830.25,                 14042309.65,2040
,BHARATWIRE,EQ,        82.80,                  1204707.95,14315
,BHUSANSTL,EQ,        24.95,                 25198729.70,1005234
,BIGBLOC,EQ,        71.25,                   989207.75,13825
,BIL,EQ,       344.25,                  2998538.15,8536
,BILENERGY,BE,          .45,                    18702.15,40355
,BILPOWER,BZ,          .55,                     1442.25,2618
,BINANIIND,EQ,        94.30,                  4804992.35,49999
,BINDALAGRO,EQ,        18.20,                   469258.45,25796
,BIOCON,EQ,       665.45,               2006609872.00,2982792
,BIOFILCHEM,BE,         9.05,                    16355.95,1804
,BIRLACABLE,EQ,       152.95,                 15724590.55,101563
,BIRLACORPN,EQ,       670.50,                126427746.80,191697
,BIRLAMONEY,EQ,        50.80,                  3378070.70,66050
,BKMINDST,EQ,        14.70,                   100044.60,6772
,BLBLIMITED,EQ,         5.20,                    86428.50,16631
,BLISSGVS,EQ,       179.60,                 25249844.80,140268
,BLKASHYAP,EQ,        31.75,                  8902524.65,275554
,BLS,EQ,       132.35,                  9327308.70,69384
,BLUEBLENDS,EQ,         5.30,                    44143.70,8288
,BLUECHIP,BE,          .20,                      240.00,1200
,BLUEDART,EQ,      3010.75,                 46963861.35,15539
,BLUEDART,N3,        10.23,                      361.90,35
,BLUEDART,N2,        10.25,                       41.48,4
,BLUESTARCO,EQ,       625.60,                  7557099.45,11939
,BODALCHEM,EQ,       110.40,                 16960968.10,152363
,BOHRA,SM,        16.80,                    67100.00,4000
,BOMDYEING,BE,       205.80,                 57509575.20,279444
,BOROSIL,EQ,       281.80,                 26980856.85,94488
,BPL,EQ,        43.60,                  6374750.05,145186
,BRFL,BE,        17.35,                   685260.70,39062
,BRIGADE,EQ,       190.70,                  4454226.40,23129
,BRIGHT,SM,        41.60,                  2716350.00,66000
