symbol,series,date,quantity_traded,deliverable_quantity,delivery_pct
ABB,EQ,2015-06-17,43497,14069,32.34
ADANIPORTS,EQ,2015-06-17,4251580,2730095,64.21
BEL,EQ,2015-06-17,137080,42001,30.64
BOSCHLTD,EQ,2015-06-17,35862,8189,22.83
CUMMINSIND,EQ,2015-06-17,117970,92392,78.32
DLF,EQ,2015-06-17,3673721,597358,16.26
HINDALCO,EQ,2015-06-17,5112962,2441061,47.74
INDHOTEL,D1,2015-06-17,2824,2006,71.03
INDHOTEL,EQ,2015-06-17,701001,421365,60.11
LT,EQ,2015-06-17,2656072,1712741,64.48
MANAPPURAM,EQ,2015-06-17,317898,192737,60.63
MANAPPURAM,N5,2015-06-17,1,1,100.00
MARUTI,EQ,2015-06-17,291820,114685,39.30
PGEL,EQ,2015-06-17,4876,2682,55.00
SBIN,EQ,2015-06-17,11241061,5161551,45.92
SBIN,N2,2015-06-17,22,15,68.18
SBIN,N3,2015-06-17,32,24,75.00
SBIN,N5,2015-06-17,120,91,75.83
SUZLON,EQ,2015-06-17,17228529,6038100,35.05
TRENT,EQ,2015-06-17,13670,7535,55.12
