symbol,series,date,open,high,low,close,last,previous_close,volume,value,trades,isin
ABB,EQ,2017-11-03,1394,1406,1380,1382.25,1381,1384.95,136317,190218264.3,2768,INE117A01022
ADANIPORTS,EQ,2017-11-03,438.65,440.8,432.75,434.85,434.6,437.25,3097775,1356628111.15,26821,INE742F01042
BEL,EQ,2017-11-03,185.9,185.9,182.3,183,182.95,185.25,2608568,478874987.25,33351,INE263A01024
BOSCHLTD,EQ,2017-11-03,21056.05,21199,20941,21047.9,21071.65,20989.75,7075,148696573.2,2315,INE323A01026
CUMMINSIND,EQ,2017-11-03,899,907.9,897,904.5,904,897.05,317017,286260426.3,11499,INE298A01020
DIXON,EQ,2017-11-03,2713.9,2714,2683.1,2688.35,2685,2704,12047,32436063.05,2524,INE935N01012
DLF,EQ,2017-11-03,209,216.2,209,213.9,213.65,207.85,13764388,2939931457.45,69130,INE271C01023
DMART,EQ,2017-11-03,1151.9,1152.9,1122.4,1129.15,1126.1,1149.45,281650,320499709.5,11475,INE192R01011
HINDALCO,EQ,2017-11-03,276.4,277.6,265.6,268.9,269,270.8,14396735,3907094847.45,103126,INE038A01020
INDHOTEL,EQ,2017-11-03,114.85,115.6,113.75,114.5,114.75,114.2,823076,94290114.5,3369,INE053A01029
INDIGO,EQ,2017-11-03,1247.95,1266.75,1240,1253.7,1255.6,1247.95,662797,833100341.6,21027,INE646L01027
LT,EQ,2017-11-03,1211,1247.15,1211,1235,1246,1210.95,1797145,2205284829.6,48233,INE018A01030
MANAPPURAM,EQ,2017-11-03,100.9,102.7,100.3,102.1,102.5,100.6,7197680,731292078.1,30601,INE522D01027
MARUTI,EQ,2017-11-03,8235,8242.9,8175,8219.4,8220,8225.8,288916,2372539982.6,28858,INE585B01010
PGEL,EQ,2017-11-03,430.5,440.35,413.3,417.4,417.1,430.25,42113,17741460.5,1137,INE457L01011
SBIN,EQ,2017-11-03,315.45,327.5,312.6,325,326,314.35,26898400,8585344337.65,183843,INE062A01020
SUZLON,EQ,2017-11-03,16.5,16.95,16.4,16.5,16.5,16.4,49641046,826100341.2,19199,INE040H01021
TRENT,EQ,2017-11-03,299.5,303.5,297.5,298.75,300.65,297.35,67762,20370179.1,2215,INE849A01020
