symbol,series,date,quantity_traded,deliverable_quantity,delivery_pct
ABB,EQ,2020-07-02,161482,40296,24.95
ADANIPORTS,EQ,2020-07-02,1204040,271518,22.55
BEL,EQ,2020-07-02,9120739,2628326,28.82
BOSCHLTD,EQ,2020-07-02,72622,15631,21.52
CUMMINSIND,EQ,2020-07-02,446745,97458,21.82
DIXON,EQ,2020-07-02,35779,14921,41.70
DLF,EQ,2020-07-02,5754433,886774,15.41
DMART,EQ,2020-07-02,412115,244477,59.32
HAL,EQ,2020-07-02,95740,23360,24.40
HINDALCO,EQ,2020-07-02,9519998,2724509,28.62
INDHOTEL,EQ,2020-07-02,1611191,589529,36.59
INDIGO,EQ,2020-07-02,854915,196497,22.98
LT,EQ,2020-07-02,6542838,2093710,32.00
MANAPPURAM,EQ,2020-07-02,11323340,2413985,21.32
MARUTI,EQ,2020-07-02,1470951,287700,19.56
PGEL,EQ,2020-07-02,11679,7877,67.45
SBIN,EQ,2020-07-02,52127613,7943823,15.24
SBIN,N2,2020-07-02,196,182,92.86
SBIN,N5,2020-07-02,3356,2777,82.75
SBIN,N6,2020-07-02,16,14,87.50
SUZLON,EQ,2020-07-02,2297217,2297217,100.00
TRENT,EQ,2020-07-02,164055,96140,58.60
