symbol,series,date,quantity_traded,deliverable_quantity,delivery_pct
ABB,EQ,2023-04-27,327674,193507,59.05
ADANIPORTS,EQ,2023-04-27,3197568,1222919,38.25
BEL,EQ,2023-04-27,5362153,2901387,54.11
BOSCHLTD,EQ,2023-04-27,14870,6959,46.80
CUMMINSIND,EQ,2023-04-27,701384,274030,39.07
DIXON,EQ,2023-04-27,274260,119311,43.50
DLF,EQ,2023-04-27,4423231,1721870,38.93
DMART,EQ,2023-04-27,235408,164855,70.03
HAL,EQ,2023-04-27,395778,176806,44.67
HINDALCO,EQ,2023-04-27,3271257,1184581,36.21
INDHOTEL,EQ,2023-04-27,3883042,2172101,55.94
INDIGO,EQ,2023-04-27,317706,139018,43.76
LT,EQ,2023-04-27,1252989,697654,55.68
MANAPPURAM,EQ,2023-04-27,2226515,742572,33.35
MARUTI,EQ,2023-04-27,536521,327229,60.99
PAYTM,EQ,2023-04-27,744624,256480,34.44
PGEL,EQ,2023-04-27,18279,10330,56.51
SBIN,EQ,2023-04-27,17845169,3716055,20.82
SUZLON,EQ,2023-04-27,45358977,16651479,36.71
TRENT,EQ,2023-04-27,422730,201375,47.64
