symbol,series,date,quantity_traded,deliverable_quantity,delivery_pct
ABB,EQ,2023-04-10,193423,80279,41.50
ADANIPORTS,EQ,2023-04-10,4254629,632136,14.86
BEL,EQ,2023-04-10,10870304,4937179,45.42
BOSCHLTD,EQ,2023-04-10,46233,32116,69.47
CUMMINSIND,EQ,2023-04-10,578155,317392,54.90
DIXON,EQ,2023-04-10,321718,146137,45.42
DLF,EQ,2023-04-10,20647930,8458217,40.96
DMART,EQ,2023-04-10,242779,95119,39.18
HAL,EQ,2023-04-10,919756,335795,36.51
HINDALCO,EQ,2023-04-10,5327008,2381817,44.71
INDHOTEL,EQ,2023-04-10,3406679,1649717,48.43
INDIGO,EQ,2023-04-10,178590,63697,35.67
LT,EQ,2023-04-10,1955914,1067643,54.59
MANAPPURAM,EQ,2023-04-10,6412506,3083788,48.09
MARUTI,EQ,2023-04-10,308275,112417,36.47
PAYTM,EQ,2023-04-10,4574660,2569321,56.16
PGEL,EQ,2023-04-10,41936,24407,58.20
SBIN,EQ,2023-04-10,17335453,2861438,16.51
SUZLON,EQ,2023-04-10,22032132,8770005,39.81
TRENT,EQ,2023-04-10,357266,185943,52.05
