,28-Feb-2018
The Nifty witnessed an intraday movement of about 73.95 points.The closing index was 0.58 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 35921.99
, Traded Quantity (in Lakhs), 16274.96
, Number of Trades, 11782888
, Total Market Capitalisation (Rs. Crores), 14564090.78

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AKSHOPTFBR,EQ,        37.60,                 15826330.75,419587
,AKZOINDIA,EQ,      1800.20,                  7097963.15,3970
,ALANKIT,EQ,        56.50,                 19959148.55,354330
,ALBERTDAVD,BE,       387.45,                  1089423.20,2811
,ALBK,EQ,        52.65,                224914793.65,4350724
,ALCHEM,BE,        10.90,                   165917.55,15134
,ALEMBICLTD,EQ,        63.10,                 33034888.25,523861
,ALICON,EQ,       608.75,                  1666502.45,2738
,ALKALI,EQ,        82.45,                   424127.45,5180
,ALKEM,EQ,      2226.30,                 28965453.85,13065
,ALKYLAMINE,EQ,       626.85,                  1969105.80,3134
,ALLCARGO,EQ,       179.75,                 20448663.00,114304
,ALLSEC,EQ,       376.05,                  1793342.00,4733
,ALMONDZ,EQ,        26.00,                   367645.95,14080
,ALOKTEXT,EQ,         3.20,                  8063203.00,2552291
,ALPA,EQ,        43.20,                  1398181.05,32004
,ALPHAGEO,EQ,       805.50,                 10002939.90,12358
,ALPSINDUS,EQ,         4.30,                    65840.60,15361
,AMARAJABAT,EQ,       822.25,                300573951.20,368236
,AMBER,EQ,      1092.20,                 76342644.50,69364
,AMBIKCO,EQ,      1342.90,                  3229727.65,2409
,AMDIND,EQ,        34.75,                  3427433.50,97916
,AMJLAND,EQ,        25.95,                   506437.70,19485
,AMRUTANJAN,EQ,       573.00,                  2021955.25,3532
,AMTEKAUTO,EQ,        25.15,                 24811297.70,982001
,ANANTRAJ,EQ,        55.85,                 52747133.75,943441
,ANDHRABANK,EQ,        46.05,                148849117.20,3270332
,ANDHRACEMT,EQ,        10.95,                  1078092.20,98640
,ANDHRSUGAR,EQ,       488.10,                 19390551.80,39322
,ANGIND,EQ,         5.95,                    69804.35,11957
,ANIKINDS,EQ,        38.30,                   874016.05,22799
,ANSALAPI,EQ,        23.10,                   597345.65,25749
,ANSALHSG,EQ,        23.10,                   788268.70,33879
,ANTGRAPHIC,BE,          .90,                    50878.10,58709
,APARINDS,EQ,       797.25,                  6759542.80,8585
,APCL,EQ,       193.75,                  1341002.95,6934
,APCOTEXIND,EQ,       512.25,                  4133205.85,8138
,APEX,EQ,       713.90,                200065900.35,284839
,APLAPOLLO,EQ,      2052.90,                 51464853.60,25025
,APLLTD,EQ,       552.75,                 16008377.40,28789
,APOLLO,EQ,       303.70,                 35885345.45,117019
,APOLLOHOSP,EQ,      1203.05,                525559787.10,438159
,APOLLOTYRE,EQ,       274.55,               1446763406.70,5332447
,APOLSINHOT,EQ,      1460.90,                   319333.05,220
,APTECHT,EQ,       320.20,                207210693.90,646029
,ARCHIDPLY,EQ,        95.60,                 13992900.30,145600
,ARCHIES,EQ,        38.35,                  5442462.60,140884
,ARCOTECH,EQ,        44.95,                  7776216.35,172848
,ARENTERP,EQ,        19.80,                     7920.00,400
,ARIES,EQ,       207.60,                  4733016.00,22795
,ARIHANT,BE,        45.00,                      405.00,9
,ARIHANTSUP,EQ,       138.80,                 20367932.90,148828
,ARMANFIN,EQ,       316.75,                  4061368.00,12822
,AROGRANITE,EQ,        65.25,                  2279241.30,34872
,ARROWGREEN,EQ,       398.35,                  4948127.50,12561
,ARROWTEX,EQ,        40.35,                   171162.90,4266
,ARSHIYA,EQ,        90.45,                  2668418.50,29354
,ARSSINFRA,BE,        49.00,                   774693.55,16076
,ARVEE,SM,        56.10,                  5501800.00,98000
,ARVIND,EQ,       419.95,                376797803.30,905074
,ARVSMART,EQ,       181.60,                  1330456.10,7304
,ASAHIINDIA,EQ,       353.30,                 61897667.70,175216
,ASAHISONG,EQ,       350.15,                  1082914.90,3097
,ASAL,EQ,        81.65,                  1580705.30,19327
,ASHAPURMIN,EQ,        77.80,                  9982726.55,128021
,ASHIANA,EQ,       172.25,                  5538824.25,32285
,ASHIMASYN,EQ,        30.35,                  8930462.20,299715
,ASHOKA,EQ,       219.00,                 17594362.35,79807
,ASIANHOTNR,BE,       277.70,                   804175.70,2906
,ASIANTILES,EQ,       490.20,                 15744800.85,32004
,ASPINWALL,EQ,       418.80,                   251066.80,600
,ASSAMCO,EQ,         4.65,                   636825.80,136931
,ASTEC,EQ,       581.65,                  5329467.55,9129
,ASTERDM,EQ,       173.10,                112923705.70,650352
,ASTRAL,EQ,       906.55,                377720938.70,424339
,ASTRAMICRO,EQ,        90.90,                 30754795.65,335812
,ASTRAZEN,EQ,      1024.25,                  3423978.95,3346
,ASTRON,EQ,       127.35,                 26156512.80,203782
,ATFL,EQ,       637.95,                  2604436.45,4092
,ATLANTA,EQ,        94.05,                 14613756.75,155519
,ATLASCYCLE,BE,       194.25,                   843371.80,4336
,ATUL,EQ,      2687.50,                 15992586.85,5953
,ATULAUTO,EQ,       426.30,                  2919253.90,6854
,AUBANK,EQ,       591.20,                 58232301.10,98384
,AURDIS,SM,        30.00,                    60000.00,2000
,AURIONPRO,EQ,       217.00,                  5243770.55,24361
,AUSOMENT,EQ,        77.45,                 41915066.35,547094
,AUTOAXLES,EQ,      1556.20,                 13790150.30,8979
,AUTOIND,EQ,        83.25,                   955595.95,11456
,AUTOLITIND,EQ,        74.10,                  1516074.20,20324
,AVADHSUGAR,EQ,       680.75,                 14576861.45,21032
,AVANTIFEED,EQ,      2397.90,                228407571.30,95885
,AVTNPL,EQ,        40.25,                  5191994.45,128659
,AXISCADES,EQ,       165.90,                  8027975.10,48151
,AXISGOLD,EQ,      2698.90,                   142266.10,53
,AXISNIFTY,EQ,      1061.54,                    91515.28,87
,AYMSYNTEX,EQ,        66.55,                  1715218.50,25617
,BAFNAPHARM,EQ,        26.95,                    84159.90,3124
,BAGFILMS,EQ,         5.90,                   391838.05,66276
,BAJAJCORP,EQ,       479.85,                 13680831.00,28443
,BAJAJELEC,EQ,       527.55,                131023998.90,247361
,BAJAJHIND,EQ,        12.60,                 19708801.40,1560731
,BAJAJHLDNG,EQ,      2723.55,                  6842750.20,2512
,BALAJITELE,EQ,       138.05,                 10854375.25,78277
,BALAMINES,EQ,       642.35,                 16934731.95,26347
,BALKRISHNA,EQ,        71.60,                  1031008.50,14418
,BALKRISIND,EQ,      1086.70,                443926515.95,410911
,BALLARPUR,EQ,        13.50,                 10665674.20,788199
,BALMLAWRIE,EQ,       231.35,                 17076703.35,73678
,BALPHARMA,EQ,        94.70,                   950609.05,10032
,BALRAMCHIN,EQ,       119.75,                280317777.35,2351095
,BANARBEADS,EQ,        62.65,                   106028.20,1665
,BANARISUG,EQ,      1707.85,                  1634182.75,961
,BANCOINDIA,EQ,       221.80,                 13535841.75,61372
,BANG,EQ,        30.10,                    39534.70,1312
,BANKA,SM,       115.00,                  1382400.00,12000
,BANKBEES,EQ,      2546.00,                341304498.66,134636
,BANKINDIA,EQ,       116.20,               1990156139.55,17307583
,BANSAL,SM,       113.80,                  1701850.00,15000
,BANSWRAS,EQ,       114.00,                   374849.85,3293
,BARTRONICS,EQ,        12.85,                   486503.90,37635
,BASF,EQ,      2037.00,                 10693142.80,5238
,BASML,EQ,       283.20,                   507203.95,1793
,BATAINDIA,EQ,       729.95,                373941475.05,514165
,BAYERCROP,EQ,      3798.70,                 34291682.60,9036
,BBL,EQ,      1636.30,                321916350.10,198506
,BBTC,EQ,      1428.10,                209136966.15,145633
,BCONCEPTS,SM,        54.00,                  3163500.00,72000
,BEARDSELL,EQ,        56.50,                   332661.85,5901
,BEDMUTHA,EQ,        22.85,                   109279.45,4777
,BEML,EQ,      1235.10,                382535309.65,311034
,BEPL,EQ,       175.25,                147819393.15,857634
,BERGEPAINT,EQ,       248.70,                170206398.55,682805
,BETA,SM,       145.25,                  1169120.00,8000
,BFINVEST,EQ,       328.55,                 26111945.55,79646
,BFUTILITIE,EQ,       441.45,                116325607.35,261956
,BGLOBAL,BE,         4.95,                    47432.40,9553
,BGRENERGY,EQ,       116.85,                  4418633.40,37841
,BHAGERIA,EQ,       295.15,                  1806439.35,6132
,BHAGYANGR,EQ,        48.35,                 73259261.75,1449513
,BHAGYAPROP,EQ,        21.00,                    84869.80,4065
,BHANDARI,EQ,         3.25,                   573746.55,176596
,BHARATFIN,EQ,      1026.10,                424186474.00,415307
,BHARATFORG,EQ,       789.85,               1469546057.15,1878047
,BHARATGEAR,EQ,       192.05,                  3742963.25,19443
,BHARATIDIL,BZ,         6.40,                   229921.70,36003
,BHARATIWIN,EQ,        36.23,                 10798520.81,298628
,BHARATRAS,EQ,      4578.35,                  4323160.90,947
,BHARATWIRE,EQ,       120.25,                  5187274.55,43051
,BHUSANSTL,EQ,        46.45,                133057230.70,2834658
,BIGBLOC,EQ,       165.15,                157107896.25,898960
,BIL,EQ,       412.85,                  1990529.55,4901
,BILENERGY,EQ,         1.20,                    14726.40,12272
,BILPOWER,EQ,         1.65,                     8507.40,5156
,BINANIIND,EQ,       114.00,                 45050228.00,388550
,BINDALAGRO,EQ,        30.45,                  1919799.55,63433
,BIOCON,EQ,       630.05,               4140253834.05,6497436
,BIOFILCHEM,BE,        15.95,                    30723.80,1894
,BIRLACABLE,EQ,        63.30,                   904601.50,14318
,BIRLACORPN,EQ,       900.30,                 36377215.90,40258
,BIRLAMONEY,EQ,        72.40,                  2853920.70,39441
,BKMINDST,EQ,        34.35,                   428515.45,12315
,BLBLIMITED,EQ,         5.85,                    16044.60,2736
,BLISSGVS,EQ,       193.50,                 22927736.95,117399
,BLKASHYAP,EQ,        43.85,                 11571532.30,262185
,BLS,EQ,       171.20,                 34342799.10,200661
,BLUEBLENDS,EQ,        25.00,                    87670.95,3505
,BLUEDART,EQ,      4284.15,                 17535358.40,4092
,BLUESTARCO,EQ,       743.90,                 39379541.15,53749
,BODALCHEM,EQ,       136.55,                 35847045.25,264939
,BOMDYEING,EQ,       258.65,                664361197.70,2556758
,BPL,EQ,        92.35,                 24144845.20,261022
,BRFL,EQ,        60.10,                  5482098.30,90975
,BRIGADE,EQ,       285.30,                  7312472.60,25623
,BRNL,EQ,       179.70,                  1644142.20,9176
,BROOKS,EQ,        96.40,                  8568687.95,87674
,BSE,EQ,       798.70,                125323418.80,156861
,BSELINFRA,EQ,         4.50,                   341045.20,76398
,BSL,EQ,        74.85,                  1133060.75,15140
,BSLGOLDETF,EQ,      2813.20,                    56559.20,20
,BSLIMITED,BE,         1.20,                   160708.05,129871
,BSLNIFTY,EQ,       112.12,                    17515.63,156
,BURNPUR,EQ,        10.40,                  2222868.25,220802
,BUTTERFLY,EQ,       514.20,                  6005451.05,11854
,BVCL,BE,        30.10,                   111456.95,3694
,BYKE,EQ,       170.85,                 10796179.30,62995
,CADSYS,SM,        97.05,                   394100.00,4000
,CALSOFT,EQ,        59.85,                   325776.70,5481
,CAMLINFINE,EQ,       119.15,                 36730493.65,311458
,CANBK,EQ,       299.25,               2439077675.30,8276314
,CANDC,EQ,        67.10,                  1349568.40,20288
,CANFINHOME,EQ,       541.45,                628630125.65,1166425
,CANTABIL,EQ,       135.60,                  1897471.45,14047
,CAPACITE,EQ,       322.90,                126107833.80,387391
,CAPF,EQ,       666.30,                146463477.50,219330
,CAPLIPOINT,EQ,       588.80,                 11109005.60,18812
,CAPTRUST,EQ,       463.45,                  1890532.30,4060
,CARBORUNIV,EQ,       349.25,                 34327746.10,97765
,CAREERP,EQ,       126.50,                  6372541.75,50131
,CARERATING,EQ,      1367.20,                 26534635.90,19445
,CASTEXTECH,EQ,         4.95,                  5440612.20,1105886
,CASTROLIND,EQ,       201.95,                288225796.90,1432856
,CCCL,EQ,         4.55,                   450595.60,99032
,CCHHL,EQ,        13.85,                   823586.80,59234
,CCL,EQ,       296.40,                 14851634.10,50178
,CDSL,EQ,       319.40,                137254351.75,432157
,CEATLTD,EQ,      1602.45,                987620769.40,620196
,CEBBCO,EQ,        16.40,                   616377.95,38198
,CELEBRITY,EQ,        18.75,                  1207880.80,64106
,CELESTIAL,EQ,        17.05,                   541243.20,31953
,CENTENKA,EQ,       341.40,                  7120587.60,20688
,CENTEXT,EQ,         6.15,                   447780.25,72892
,CENTRALBK,EQ,        65.30,                 30166270.85,462934
,CENTUM,EQ,       597.40,                   906041.30,1505
,CENTURYPLY,EQ,       329.40,                 80586776.60,244373
,CENTURYTEX,EQ,      1220.25,                391269152.30,322842
,CERA,EQ,      3359.50,                 67163958.80,20008
,CEREBRAINT,EQ,        58.40,                131776939.85,2252802
,CESC,EQ,      1023.45,                532852810.25,522358
,CGCL,EQ,        97.95,                  1651820.65,16884
,CGPOWER,EQ,        83.50,                 73538783.05,887523
,CHAMBLFERT,EQ,       168.75,                213869984.35,1288662
,CHENNPETRO,EQ,       364.70,                167520168.05,462309
,CHOLAFIN,EQ,      1469.95,                899513307.80,615724
,CHROMATIC,EQ,         2.30,                   406555.35,176330
,CIGNITITEC,BE,       253.00,                   355349.55,1400
,CIMMCO,EQ,        97.20,                   710505.15,7323
,CINELINE,EQ,        84.65,                  2791793.55,32698
,CINEVISTA,EQ,        11.45,                    70069.25,6323
,CLEDUCATE,EQ,       225.05,                  1721006.30,7528
,CLNINDIA,EQ,       582.70,                  3176477.75,5439
,CMICABLES,EQ,       253.70,                  5080751.30,20264
,CMMIPL,SM,        70.00,                  1488300.00,21000
,CNOVAPETRO,EQ,        36.85,                   420761.40,11515
,COCHINSHIP,EQ,       532.50,                 51284943.40,96545
,COFFEEDAY,EQ,       314.00,                 49870890.50,157619
,COMPINFO,EQ,        49.80,                  3461804.55,69695
,COMPUSOFT,EQ,        12.90,                   333055.60,25686
