,05-Feb-2018
The Nifty witnessed an intraday movement of about 115.95 points.The closing index was 0.87 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 36898.47
, Traded Quantity (in Lakhs), 17879.04
, Number of Trades, 13400141
, Total Market Capitalisation (Rs. Crores), 14610513.37

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AKSHOPTFBR,BE,        36.95,                 34072310.50,924939
,AKZOINDIA,EQ,      1775.85,                 14399042.80,8120
,ALANKIT,EQ,        59.80,                 14010453.45,233372
,ALBERTDAVD,BE,       372.55,                  3424503.15,9327
,ALBK,EQ,        60.55,                171117382.55,2834815
,ALCHEM,BE,        12.20,                    94665.70,7632
,ALEMBICLTD,EQ,        60.60,                 65448636.70,1086740
,ALICON,EQ,       627.00,                  6316568.15,10103
,ALKALI,EQ,        72.35,                   676351.15,9355
,ALKEM,EQ,      2166.80,                 69131373.65,32204
,ALKYLAMINE,EQ,       647.20,                 25497972.90,39107
,ALLCARGO,EQ,       189.40,                 64169616.00,343095
,ALLSEC,EQ,       392.05,                  6441342.35,16179
,ALMONDZ,BE,        24.70,                   216534.05,8727
,ALOKTEXT,BE,         3.55,                 16757317.00,4955355
,ALPA,EQ,        35.35,                  2489847.35,69465
,ALPHAGEO,EQ,       876.30,                 27866729.50,32147
,ALPSINDUS,BE,         4.90,                   351004.25,74012
,AMARAJABAT,EQ,       779.85,                347995919.40,454465
,AMBER,EQ,      1229.05,                511583266.00,419983
,AMBIKCO,EQ,      1305.95,                 10969479.65,8370
,AMDIND,EQ,        36.65,                  1912452.20,52700
,AMJLAND,EQ,        25.05,                   533386.30,22053
,AMRUTANJAN,EQ,       587.10,                  2440606.15,4173
,AMTEKAUTO,BE,        23.20,                 14862978.45,640598
,ANANTRAJ,EQ,        58.25,                 94627051.55,1653116
,ANDHRABANK,EQ,        48.70,                141090982.90,2914881
,ANDHRACEMT,EQ,        11.85,                  4060181.25,342361
,ANDHRSUGAR,EQ,       560.30,                 68234971.40,119771
,ANGIND,BE,         6.00,                    42292.15,7097
,ANIKINDS,EQ,        36.50,                   628553.35,17243
,ANSALAPI,EQ,        23.65,                  4178387.45,176166
,ANSALHSG,EQ,        23.45,                  3968713.55,169423
,ANTGRAPHIC,BE,         1.00,                    36389.50,37849
,APARINDS,EQ,       718.65,                 19707866.30,27379
,APCL,EQ,       205.10,                  2025506.85,9814
,APCOTEXIND,EQ,       465.60,                  6654197.80,14511
,APEX,EQ,       725.75,                340597513.05,482852
,APLAPOLLO,EQ,      2085.35,                110763926.00,54162
,APLLTD,EQ,       523.65,                 13550315.95,26037
,APOLLO,BE,       314.10,                 49813808.75,160312
,APOLLOHOSP,EQ,      1129.55,                313783906.65,276192
,APOLLOTYRE,EQ,       252.00,                717399016.45,2874449
,APOLSINHOT,EQ,      1355.85,                  2227477.10,1695
,APTECHT,EQ,       274.30,                241333209.65,892945
,ARCHIDPLY,EQ,        95.50,                  7143176.55,76228
,ARCHIES,EQ,        39.05,                 15803462.55,420543
,ARCOTECH,EQ,        43.40,                 17094031.90,401862
,ARIES,BE,       201.35,                 10747247.60,53358
,ARIHANT,BE,        51.00,                     4201.75,85
,ARIHANTSUP,EQ,       157.25,                 36366660.85,234131
,ARMANFIN,BE,       256.10,                   894605.00,3465
,AROGRANITE,EQ,        63.75,                  3850010.95,60680
,ARROWGREEN,EQ,       443.65,                  9113846.35,20709
,ARROWTEX,EQ,        40.10,                  1286797.15,32299
,ARSHIYA,EQ,        84.50,                  8806294.50,107341
,ARSSINFRA,BE,        48.90,                  1739939.60,37029
,ARVIND,EQ,       387.90,                696369090.00,1827094
,ARVSMART,EQ,       188.75,                  8416055.75,45904
,ASAHIINDIA,EQ,       350.25,                 11115329.30,32150
,ASAHISONG,EQ,       340.40,                  4694716.10,14274
,ASAL,EQ,        85.35,                  1922158.30,23258
,ASHAPURMIN,EQ,        83.90,                 37797223.60,464280
,ASHIANA,EQ,       180.60,                 54556762.20,313804
,ASHIMASYN,EQ,        28.20,                  9003245.70,327184
,ASHOKA,EQ,       218.80,                 35595593.45,163986
,ASIANHOTNR,EQ,       229.95,                  7173720.40,30844
,ASIANTILES,EQ,       523.95,                 59122493.15,114128
,ASPINWALL,EQ,       426.05,                  3215288.35,7523
,ASSAMCO,BE,         4.65,                   942894.40,202159
,ASTEC,EQ,       549.65,                 14457993.05,26476
,ASTRAL,EQ,       796.80,                 51596860.05,67388
,ASTRAMICRO,EQ,       107.90,                 38321492.50,355358
,ASTRAZEN,EQ,      1141.75,                 14114627.10,12818
,ASTRON,EQ,       129.35,                 65940552.30,519196
,ATFL,EQ,       633.25,                  7807048.35,12475
,ATLANTA,EQ,        99.20,                 19741995.30,200265
,ATLASCYCLE,BE,       181.90,                  1572948.55,8691
,ATUL,EQ,      2665.60,                107121531.85,40324
,ATULAUTO,EQ,       412.25,                 11584427.75,28297
,AUBANK,EQ,       618.95,                378370183.00,612854
,AURDIS,SM,        35.00,                    70000.00,2000
,AURIONPRO,EQ,       193.95,                 13083497.00,68069
,AUSOMENT,EQ,        81.30,                 10751675.80,134015
,AUSTRAL,BZ,          .45,                     7483.50,16630
,AUTOAXLES,EQ,      1580.60,                 41277023.30,27132
,AUTOIND,BE,        80.65,                  3281724.80,40517
,AUTOLITIND,EQ,        59.50,                  2202336.55,36952
,AVADHSUGAR,EQ,       672.05,                 24135222.00,36078
,AVANTIFEED,EQ,      2316.95,                243739038.80,105692
,AVTNPL,EQ,        45.35,                 12592889.05,278922
,AXISCADES,EQ,       171.75,                 34754125.40,204050
,AXISGOLD,EQ,      2676.60,                  3227671.10,1208
,AXISNIFTY,EQ,      1074.35,                   226790.11,212
,AYMSYNTEX,EQ,        63.50,                  2523537.75,39899
,BAFNAPHARM,EQ,        23.25,                   752214.60,32822
,BAGFILMS,BE,         5.90,                   667838.15,114690
,BAJAJCORP,EQ,       469.75,                 41116820.05,87133
,BAJAJELEC,EQ,       432.45,                199129342.95,470020
,BAJAJHIND,EQ,        13.85,                 74983122.40,5488508
,BAJAJHLDNG,EQ,      2742.70,                 41314003.10,15267
,BALAJITELE,EQ,       138.80,                 18878777.85,137667
,BALAMINES,EQ,       624.25,                 38232437.50,62629
,BALKRISHNA,BE,        75.85,                  1326738.85,17891
,BALKRISIND,EQ,      1069.60,                518793991.75,494013
,BALLARPUR,EQ,        14.80,                 25204980.15,1731662
,BALMLAWRIE,EQ,       229.45,                 24636878.25,107703
,BALPHARMA,EQ,        91.60,                  8070694.85,88204
,BALRAMCHIN,EQ,       116.20,                464917995.80,4063944
,BANARBEADS,BE,        60.75,                   298189.55,4935
,BANARISUG,EQ,      1840.15,                   994301.80,551
,BANCOINDIA,EQ,       224.30,                 11959957.80,53976
,BANG,EQ,        32.40,                   439925.85,14050
,BANKBEES,EQ,      2653.37,                 27444444.82,10346
,BANKINDIA,EQ,       147.20,                544778595.65,3706252
,BANSAL,SM,       111.90,                  4882200.00,44000
,BANSWRAS,EQ,       117.75,                   907816.35,7989
,BARTRONICS,BE,        13.15,                   689131.55,53436
,BASF,EQ,      2043.75,                 51370674.85,25910
,BASML,EQ,       289.30,                   178321.75,618
,BATAINDIA,EQ,       693.80,                296232702.55,435547
,BAYERCROP,EQ,      4198.35,                 65952581.20,15758
,BBL,EQ,      1325.90,                 41102594.50,31947
,BBTC,EQ,      1305.75,                248289294.85,195697
,BCONCEPTS,SM,        57.00,                  6278250.00,108000
,BEARDSELL,EQ,        59.65,                   106242.65,1810
,BEDMUTHA,EQ,        23.50,                  1159830.70,50362
,BEML,EQ,      1263.20,                603816196.65,484197
,BEPL,EQ,       167.90,                259041526.20,1581465
,BERGEPAINT,EQ,       242.35,                 79394464.45,328241
,BETA,SM,       159.50,                  5085760.00,33600
,BFINVEST,EQ,       282.05,                 25826812.55,92621
,BFUTILITIE,EQ,       430.55,                174667274.85,408039
,BGLOBAL,BE,         5.35,                    89320.85,16647
,BGRENERGY,EQ,       122.55,                 12687212.35,104042
,BHAGERIA,EQ,       299.90,                 17942281.70,60210
,BHAGYANGR,EQ,        38.90,                  1852354.55,48485
,BHAGYAPROP,EQ,        21.00,                   135227.90,6403
,BHANDARI,BE,         3.35,                   626552.45,190037
,BHARATFIN,EQ,      1026.50,                409349185.65,400410
,BHARATFORG,EQ,       714.05,               1200738676.40,1720727
,BHARATGEAR,EQ,       191.85,                 13602460.95,71318
,BHARATIDIL,BZ,         5.95,                   302098.05,52080
,BHARATIWIN,EQ,        37.33,                 96336257.96,2602818
,BHARATRAS,EQ,      3872.80,                  9775134.80,2538
,BHARATWIRE,EQ,       118.00,                 50193564.55,428840
,BHUSANSTL,EQ,        44.60,                653075195.90,15077256
,BIGBLOC,EQ,       121.05,                 10699621.35,88947
,BIL,EQ,       455.15,                  1930098.00,4198
,BILENERGY,BE,         1.85,                   422316.15,228279
,BINANIIND,BE,       102.90,                  7266744.70,74675
,BINDALAGRO,EQ,        31.35,                  2987335.20,95734
,BIOCON,EQ,       605.20,               1332703150.70,2250781
,BIOFILCHEM,BE,        14.65,                    45933.90,3118
,BIRLACABLE,BE,        51.80,                   676032.00,12947
,BIRLACORPN,EQ,      1041.70,                 50483386.10,48039
,BIRLAMONEY,EQ,        72.95,                 14646357.35,207721
,BKMINDST,EQ,        37.30,                   579250.05,15633
,BLBLIMITED,BE,         6.45,                    34678.60,5368
,BLISSGVS,EQ,       194.40,                 33297325.45,173653
,BLKASHYAP,EQ,        47.30,                 29446220.70,627159
,BLS,EQ,       189.80,                 66356548.85,351886
,BLUEBLENDS,EQ,        29.60,                   499677.10,17148
,BLUECOAST,EQ,       131.00,                     6550.00,50
,BLUEDART,EQ,      4693.35,                 35848612.70,7776
