,27-Feb-2018
The Nifty witnessed an intraday movement of about 94.4 points.The closing index was 0.27 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 28193.66
, Traded Quantity (in Lakhs), 14039.5
, Number of Trades, 9785459
, Total Market Capitalisation (Rs. Crores), 14613418.55

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AKSHOPTFBR,EQ,        38.00,                 19145845.75,500977
,AKZOINDIA,EQ,      1783.00,                  9903781.20,5588
,ALANKIT,EQ,        55.10,                 40214257.50,732739
,ALBERTDAVD,BE,       376.60,                   509522.20,1346
,ALBK,EQ,        51.70,                242713174.30,4714774
,ALCHEM,BE,        11.30,                    17234.45,1521
,ALEMBICLTD,EQ,        62.50,                 30478015.15,482522
,ALICON,EQ,       609.30,                  1678957.15,2744
,ALKALI,EQ,        82.45,                   970609.25,11804
,ALKEM,EQ,      2230.35,                 48109467.55,21595
,ALKYLAMINE,EQ,       634.20,                 13240323.05,21090
,ALLCARGO,EQ,       179.60,                 36045475.95,201397
,ALLSEC,EQ,       385.55,                  3292804.55,8501
,ALMONDZ,EQ,        26.10,                   140621.75,5296
,ALOKTEXT,EQ,         3.25,                  8083705.00,2456843
,ALPA,EQ,        44.95,                  3840111.30,85035
,ALPHAGEO,EQ,       809.40,                 20391170.40,25234
,ALPSINDUS,EQ,         4.35,                   208710.70,47692
,AMARAJABAT,EQ,       815.75,                217046462.25,265494
,AMBER,EQ,      1086.45,                110910030.10,100013
,AMBIKCO,EQ,      1349.20,                  2180628.55,1611
,AMDIND,EQ,        33.15,                   826546.90,24808
,AMJLAND,EQ,        26.40,                   535532.15,20252
,AMJUMBO,SM,        65.50,                  1294200.00,20000
,AMRUTANJAN,EQ,       577.25,                  1451777.70,2514
,AMTEKAUTO,EQ,        25.50,                 40424568.50,1588818
,ANANTRAJ,EQ,        56.85,                 50290263.10,876077
,ANDHRABANK,EQ,        45.05,                107543320.10,2378267
,ANDHRACEMT,EQ,        10.85,                  1614394.95,147392
,ANDHRSUGAR,EQ,       504.20,                 25246113.00,50624
,ANGIND,EQ,         5.95,                    27623.70,4725
