,09-Feb-2018
The Nifty witnessed an intraday movement of about 82 points.The closing index was 1.15 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 31582.68
, Traded Quantity (in Lakhs), 15755.69
, Number of Trades, 11468061
, Total Market Capitalisation (Rs. Crores), 14556659.34

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AKSHOPTFBR,EQ,        40.50,                110113471.40,2794681
,AKZOINDIA,EQ,      1772.30,                  4545168.55,2569
,ALANKIT,EQ,        61.30,                 23511738.65,383126
,ALBERTDAVD,BE,       382.10,                   663153.75,1774
,ALBK,EQ,        59.50,                146487131.20,2493842
,ALCHEM,BE,        12.75,                    69230.00,5540
,ALEMBICLTD,EQ,        62.15,                 79440477.70,1279971
,ALICON,EQ,       632.05,                  2730425.25,4329
,ALKALI,EQ,        78.90,                   634081.75,8037
,ALKEM,EQ,      2179.20,                 93340821.70,43117
,ALKYLAMINE,EQ,       621.05,                  1700725.70,2747
,ALLCARGO,EQ,       192.60,                 38349276.00,199849
,ALLSEC,EQ,       378.95,                  7846835.55,20703
,ALMONDZ,EQ,        25.45,                   244332.35,9653
,ALOKTEXT,EQ,         3.60,                  8028955.85,2226249
,ALPA,EQ,        36.95,                  1509924.05,41307
,ALPHAGEO,EQ,       850.10,                 20069355.00,23649
,ALPSINDUS,EQ,         4.85,                    78483.90,16119
,AMARAJABAT,EQ,       800.10,                263357560.70,328643
,AMBER,EQ,      1194.15,                136812809.95,114219
,AMBIKCO,EQ,      1414.25,                 12759078.45,9130
,AMDIND,EQ,        37.95,                  1871423.85,50615
,AMJLAND,EQ,        25.40,                   580724.10,22850
,AMRUTANJAN,EQ,       592.10,                  1751191.65,2961
,AMTEKAUTO,EQ,        24.30,                  6982461.45,287414
,ANANTRAJ,EQ,        59.35,                 98827765.00,1666228
,ANDHRABANK,EQ,        47.25,                204254807.20,4409590
,ANDHRACEMT,EQ,        11.60,                  3101155.80,262317
,ANDHRSUGAR,EQ,       501.70,                 61229775.75,119835
,ANGIND,EQ,         6.30,                   258581.65,41435
,ANIKINDS,EQ,        40.15,                   870005.05,21805
,ANSALAPI,EQ,        24.30,                  1715526.55,71163
,ANSALHSG,EQ,        24.05,                  2004055.05,83408
,ANTGRAPHIC,BE,          .95,                    24747.05,25612
,APARINDS,EQ,       767.55,                 13912482.65,18183
,APCL,EQ,       211.80,                  1005577.00,4724
,APCOTEXIND,EQ,       464.35,                  3680416.70,7978
,APEX,EQ,       772.45,                415085892.70,528551
,APLAPOLLO,EQ,      2094.10,                 73798881.00,35125
,APLLTD,EQ,       545.25,                 10532873.40,19361
