,08-Feb-2018
The Nifty witnessed an intraday movement of about 158.25 points.The closing index was 0.96 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 34882.63
, Traded Quantity (in Lakhs), 15848.08
, Number of Trades, 12561289
, Total Market Capitalisation (Rs. Crores), 14617918.82

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AKSHOPTFBR,EQ,        38.65,                 42589060.70,1109919
,AKZOINDIA,EQ,      1779.65,                  4743767.45,2659
,ALANKIT,EQ,        62.60,                  7028971.40,113235
,ALBERTDAVD,BE,       375.30,                  1011052.85,2721
,ALBK,EQ,        59.30,                130811575.10,2215481
,ALCHEM,BE,        13.00,                    27029.30,2100
,ALEMBICLTD,EQ,        60.55,                 34061768.15,560114
,ALICON,EQ,       648.90,                  3759009.20,5822
,ALKALI,EQ,        80.00,                  7521485.45,90919
,ALKEM,EQ,      2175.20,                 17368414.55,8006
,ALKYLAMINE,EQ,       626.25,                  9815113.70,15747
,ALLCARGO,EQ,       192.50,                 48884536.70,253485
,ALLSEC,EQ,       380.10,                  6409904.15,16756
,ALMONDZ,EQ,        26.00,                   169716.60,6671
,ALOKTEXT,EQ,         3.70,                 10299976.20,2786880
,ALPA,EQ,        35.35,                   740599.15,21222
,ALPHAGEO,EQ,       864.10,                 33152953.00,37850
,ALPSINDUS,EQ,         4.95,                   165658.90,33747
,AMARAJABAT,EQ,       809.65,                410644072.75,508036
,AMBER,EQ,      1197.70,                327682969.60,273312
,AMBIKCO,EQ,      1308.00,                  7610343.20,5768
,AMDIND,EQ,        39.05,                  1742227.55,45928
,AMJLAND,EQ,        25.20,                   248936.00,9646
,AMRUTANJAN,EQ,       587.60,                  1762771.50,2984
,AMTEKAUTO,EQ,        24.85,                  9948415.10,398704
,ANANTRAJ,EQ,        59.75,                 98029531.75,1650650
,ANDHRABANK,EQ,        47.25,                203503450.95,4310902
,ANDHRACEMT,EQ,        12.00,                  3053695.95,255792
,ANDHRSUGAR,EQ,       502.65,                 65280080.70,130483
,ANGIND,EQ,         6.10,                   105802.55,17691
,ANIKINDS,EQ,        38.45,                   593872.95,15275
,ANSALAPI,EQ,        23.95,                  3291090.50,135130
,ANSALHSG,EQ,        24.40,                  2037124.60,83528
,ANTGRAPHIC,BE,         1.00,                    28178.30,29451
,APARINDS,EQ,       751.30,                 15342613.80,20499
,APCL,EQ,       210.55,                  1584289.50,7551
,APCOTEXIND,EQ,       469.15,                  3637234.00,7719
,APEX,EQ,       791.40,                403984422.45,508881
,APLAPOLLO,EQ,      2223.70,                 43753611.50,19676
,APLLTD,EQ,       541.75,                218451056.35,401775
,APOLLO,EQ,       323.95,                 71400077.60,217011
,APOLLOHOSP,EQ,      1131.80,                402927290.85,355444
,APOLLOTYRE,EQ,       269.75,               1419859451.85,5327898
,APOLSINHOT,EQ,      1329.55,                  1050281.35,772
,APTECHT,EQ,       268.15,                199613006.10,741258
,ARCHIDPLY,EQ,        96.75,                  5676260.65,58297
,ARCHIES,EQ,        40.05,                 11313180.30,287001
,ARCOTECH,EQ,        47.15,                 20028559.00,433488
,ARIES,EQ,       207.85,                  9055819.05,43825
,ARIHANT,BE,        49.00,                    32035.75,645
,ARIHANTSUP,EQ,       156.80,                 29612523.95,189332
,ARMANFIN,EQ,       272.05,                   845146.10,3111
,AROGRANITE,EQ,        66.05,                  2577660.65,38840
,ARROWGREEN,EQ,       453.75,                  4021168.25,8849
,ARROWTEX,EQ,        43.20,                   814317.15,19035
,ARSHIYA,EQ,       100.10,                 33916366.15,355680
,ARSSINFRA,BE,        51.10,                   847144.75,16771
,ARVIND,EQ,       402.90,                804204164.40,2018757
,ARVSMART,EQ,       183.85,                  5588813.35,29987
,ASAHIINDIA,EQ,       358.15,                  8718573.40,24725
,ASAHISONG,EQ,       344.65,                  2748308.80,8029
,ASAL,EQ,        85.00,                  4384771.60,51122
,ASHAPURMIN,EQ,        82.30,                 19570919.40,235015
,ASHIANA,EQ,       182.55,                 20466890.40,111323
,ASHIMASYN,EQ,        28.40,                  3893979.60,136887
,ASHOKA,EQ,       238.35,                 49277870.40,209808
,ASIANHOTNR,BE,       235.65,                   964578.35,4159
,ASIANTILES,EQ,       513.85,                 26166886.50,50986
,ASPINWALL,EQ,       421.55,                  1601876.95,3760
,ASSAMCO,EQ,         5.25,                   524609.10,100097
,ASTEC,EQ,       577.95,                  8453366.80,14685
,ASTRAL,EQ,       794.95,                 13728048.20,17292
,ASTRAMICRO,EQ,       106.65,                 31990457.35,298494
,ASTRAZEN,EQ,      1038.00,                  7619826.55,7257
,ASTRON,EQ,       130.90,                 65274931.15,504530
,ATFL,EQ,       649.75,                  3294446.65,5095
,ATLANTA,EQ,       102.65,                 33024655.85,323527
,ATLASCYCLE,BE,       187.00,                  1599837.00,8550
,ATUL,EQ,      2724.75,                100074477.90,36609
,ATULAUTO,EQ,       427.90,                  7991501.90,18727
,AUBANK,EQ,       603.45,                 79372101.80,130360
,AURIONPRO,EQ,       212.20,                 11032650.85,51674
,AUSOMENT,EQ,        96.20,                 62503945.80,646121
,AUTOAXLES,EQ,      1635.90,                 44158716.85,26967
,AUTOIND,EQ,        84.85,                  1178527.85,14068
,AUTOLITIND,EQ,        72.05,                 10633037.95,153190
,AVADHSUGAR,EQ,       673.00,                 37981769.55,58006
,AVANTIFEED,EQ,      2515.00,                330951326.45,132018
,AVTNPL,EQ,        44.65,                  9027564.00,200142
,AXISCADES,EQ,       173.40,                 23185037.10,132279
,AXISGOLD,EQ,      2620.00,                   192555.00,73
,AXISNIFTY,EQ,      1068.70,                    21277.00,20
,AYMSYNTEX,EQ,        64.75,                  3248853.60,49676
,BAFNAPHARM,EQ,        25.05,                   600216.45,24290
,BAGFILMS,EQ,         6.05,                   557433.20,92928
,BAJAJCORP,EQ,       481.05,                  5299969.60,11032
,BAJAJELEC,EQ,       510.15,                762662682.55,1541350
,BAJAJHIND,EQ,        13.65,                 24457594.25,1789883
,BAJAJHLDNG,EQ,      2709.75,                 37902544.50,13977
,BALAJITELE,EQ,       144.15,                 20673416.40,142217
,BALAMINES,EQ,       641.10,                 41030990.80,64009
,BALKRISHNA,EQ,        77.65,                  2759143.05,35438
,BALKRISIND,EQ,      1131.25,                358887864.90,318785
,BALLARPUR,EQ,        15.25,                 23408657.00,1550535
,BALMLAWRIE,EQ,       236.05,                 24559197.05,104216
,BALPHARMA,EQ,        93.00,                  3708320.10,39760
,BALRAMCHIN,EQ,       119.90,                853917141.55,7380139
,BANARBEADS,EQ,        66.15,                    16206.75,245
,BANARISUG,EQ,      1828.70,                   268245.00,147
,BANCOINDIA,EQ,       227.75,                 12428817.20,54226
,BANG,EQ,        33.20,                   185522.85,5599
,BANKBEES,EQ,      2636.94,                 15366298.89,5820
,BANKINDIA,EQ,       142.35,                553125043.30,3860590
,BANSAL,SM,       115.50,                  3680600.00,32000
,BANSWRAS,EQ,       123.20,                  1585895.10,13049
,BARTRONICS,EQ,        13.50,                   435122.90,32169
,BASF,EQ,      2080.90,                 49480391.90,23524
,BASML,EQ,       287.45,                   793201.80,2707
,BATAINDIA,EQ,       710.55,                559720219.70,788118
,BAYERCROP,EQ,      3958.85,                 37830091.70,9543
,BBL,EQ,      1347.95,                 31495118.50,23394
,BBTC,EQ,      1331.95,                137779081.20,103188
,BCONCEPTS,SM,        59.35,                   527250.00,9000
,BEARDSELL,EQ,        60.35,                   447400.80,7365
,BEDMUTHA,EQ,        25.75,                   656671.25,26618
,BEML,EQ,      1246.00,                548543385.80,442709
,BEPL,EQ,       175.90,                229997612.15,1318425
,BERGEPAINT,EQ,       250.80,                208987984.10,836582
,BETA,SM,       161.90,                  1489440.00,9600
,BFINVEST,EQ,       295.05,                 36395652.60,124563
,BFUTILITIE,EQ,       438.90,                207576464.95,470396
,BGLOBAL,BE,         5.55,                   223569.60,40967
,BGRENERGY,EQ,       123.40,                 14173426.85,115071
,BHAGERIA,EQ,       314.30,                 13414430.00,42687
,BHAGYANGR,EQ,        43.10,                  1961971.45,46351
,BHAGYAPROP,EQ,        22.70,                   241660.70,11087
,BHANDARI,EQ,         3.50,                   307915.40,88075
,BHARATFIN,EQ,      1011.85,                378714632.45,374110
,BHARATFORG,EQ,       761.20,               2761422919.20,3709081
,BHARATGEAR,EQ,       196.30,                 16507981.70,84830
,BHARATIDIL,BZ,         6.70,                   100513.20,15105
,BHARATIWIN,EQ,        37.07,                 21180643.18,570115
,BHARATRAS,EQ,      4122.70,                 11221075.05,2777
,BHARATWIRE,EQ,       123.65,                 10634998.85,86418
,BHUSANSTL,EQ,        52.25,                516703392.30,9649358
