symbol,series,date,quantity_traded,deliverable_quantity,delivery_pct
ABB,EQ,2016-12-14,4568,2840,62.17
ADANIPORTS,EQ,2016-12-14,2454540,1340274,54.60
BEL,EQ,2016-12-14,348614,169637,48.66
BOSCHLTD,EQ,2016-12-14,8939,4038,45.17
CUMMINSIND,EQ,2016-12-14,51953,27914,53.73
DLF,EQ,2016-12-14,4973885,339657,6.83
HINDALCO,EQ,2016-12-14,6198952,1818474,29.34
INDHOTEL,EQ,2016-12-14,599225,358287,59.79
INDIGO,EQ,2016-12-14,160724,126457,78.68
LT,EQ,2016-12-14,907292,562304,61.98
MANAPPURAM,EQ,2016-12-14,2956591,1247710,42.20
MANAPPURAM,N7,2016-12-14,35,35,100.00
MARUTI,EQ,2016-12-14,371699,140707,37.86
PGEL,EQ,2016-12-14,4720,3522,74.62
SBIN,EQ,2016-12-14,8672531,3157637,36.41
SBIN,N2,2016-12-14,5,5,100.00
SBIN,N5,2016-12-14,326,320,98.16
SUZLON,EQ,2016-12-14,11652438,6013456,51.61
TRENT,EQ,2016-12-14,34668,23130,66.72
