symbol,date,underlying_close_price,underlying_previous_close_price,underlying_log_returns,previous_day_underlying_volatility,current_day_underlying_daily_volatility,underlying_annualised_volatility
ABB,2018-12-04,1382.05,1389.20,-0.0052,0.0163,,0.3038
ADANIPORTS,2018-12-04,373.80,375.65,-0.0049,0.0221,,0.4108
BEL,2018-12-04,83.90,85.20,-0.0154,0.0291,,0.5445
BOSCHLTD,2018-12-04,18513.85,19204.00,-0.0366,0.0180,,0.3745
CUMMINSIND,2018-12-04,811.15,808.85,0.0028,0.0224,,0.4146
DIXON,2018-12-04,2053.10,2051.20,0.0009,0.0151,,0.2789
DLF,2018-12-04,173.80,180.45,-0.0375,0.0273,,0.5349
DMART,2018-12-04,1485.70,1477.45,0.0056,0.0241,,0.4471
HAL,2018-12-04,781.35,785.10,-0.0048,0.0288,,0.5330
HINDALCO,2018-12-04,233.35,233.05,0.0013,0.0257,,0.4757
INDHOTEL,2018-12-04,143.65,141.95,0.0119,0.0176,,0.3305
INDIGO,2018-12-04,995.80,982.80,0.0131,0.0295,,0.5502
LT,2018-12-04,1419.90,1427.50,-0.0053,0.0128,,0.2388
MANAPPURAM,2018-12-04,84.95,85.15,-0.0024,0.0219,,0.4050
MARUTI,2018-12-04,7721.65,7779.95,-0.0075,0.0184,,0.3420
PGEL,2018-12-04,100.05,104.30,-0.0416,0.0428,,0.8158
SBIN,2018-12-04,282.55,286.80,-0.0149,0.0196,,0.3706
SUZLON,2018-12-04,5.45,5.55,-0.0182,0.0354,,0.6610
TRENT,2018-12-04,332.40,328.55,0.0117,0.0154,,0.2904
