symbol,series,date,previous_close,open_price,high_price,low_price,last_price,close_price,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
ABB,EQ,2025-12-02,5189.50,5171.00,5221.50,5161.00,5165.00,5183.00,5185.44,149427,7748.45,15861,93846,62.80
ADANIPORTS,EQ,2025-12-02,1530.50,1528.10,1530.00,1510.00,1519.00,1518.10,1517.81,1974536,29969.62,59646,1178111,59.67
BEL,EQ,2025-12-02,417.25,418.05,418.65,411.00,413.10,413.05,413.48,11215451,46373.91,109600,6569061,58.57
BOSCHLTD,EQ,2025-12-02,36335.00,36360.00,36900.00,36345.00,36700.00,36660.00,36680.74,26398,9682.98,10245,16630,63.00
CUMMINSIND,EQ,2025-12-02,4544.20,4544.20,4574.00,4500.00,4504.30,4514.50,4536.11,448981,20366.26,55840,286536,63.82
DIXON,EQ,2025-12-02,14566.00,14554.00,14620.00,14458.00,14490.00,14494.00,14524.51,149204,21671.14,30260,73137,49.02
DLF,EQ,2025-12-02,712.50,712.50,716.70,709.35,714.95,712.20,712.65,2424169,17275.78,33930,1693713,69.87
DMART,EQ,2025-12-02,3963.30,3968.00,3975.20,3935.00,3963.80,3961.80,3952.34,292968,11579.11,43464,198313,67.69
ETERNAL,EQ,2025-12-02,301.50,300.60,301.80,297.00,300.60,300.55,299.56,23517461,70449.55,152979,15275461,64.95
HAL,EQ,2025-12-02,4530.70,4525.00,4532.30,4482.20,4517.00,4508.50,4504.99,652604,29399.77,52255,379398,58.14
HINDALCO,EQ,2025-12-02,810.80,811.00,813.50,802.60,807.50,806.85,806.83,4237151,34186.61,67556,2671243,63.04
INDHOTEL,EQ,2025-12-02,749.05,749.00,754.00,740.30,742.55,742.50,745.71,2514236,18748.99,82686,1821604,72.45
INDIGO,EQ,2025-12-02,5794.00,5792.00,5805.50,5680.00,5700.00,5697.50,5716.92,1179053,67405.48,74234,807916,68.52
LENSKART,EQ,2025-12-02,430.50,430.00,431.60,422.25,422.25,425.95,428.00,4020017,17205.87,43458,1106901,27.53
LT,EQ,2025-12-02,4073.20,4066.50,4088.60,4023.80,4034.90,4030.50,4040.90,1490917,60246.49,115931,790822,53.04
MANAPPURAM,EQ,2025-12-02,282.40,281.75,282.40,274.55,279.50,278.00,277.52,2319622,6437.46,32706,817374,35.24
MARUTI,EQ,2025-12-02,16097.00,16127.00,16261.00,16095.00,16245.00,16239.00,16196.02,383165,62057.47,64843,228977,59.76
PAYTM,EQ,2025-12-02,1367.80,1366.70,1381.80,1360.50,1365.00,1364.20,1370.16,3828123,52451.26,88850,1563039,40.83
PGEL,EQ,2025-12-02,592.50,591.00,597.20,582.70,587.25,587.20,590.81,1274027,7527.13,26725,471468,37.01
SBIN,EQ,2025-12-02,973.10,976.00,980.45,964.90,969.90,967.30,973.23,13444314,130843.54,177697,8460301,62.93
SUZLON,EQ,2025-12-02,53.72,53.75,54.10,53.21,53.50,53.42,53.54,41115861,22013.64,102850,17983103,43.74
TRENT,EQ,2025-12-02,4215.90,4218.10,4239.60,4203.00,4235.00,4226.50,4224.63,491997,20785.08,42960,274235,55.74
