symbol,series,date,previous_close,open_price,high_price,low_price,last_price,close_price,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
ABB,EQ,2026-01-14,4966.00,4960.50,4992.00,4925.00,4935.50,4935.00,4957.08,107017,5304.92,14505,50887,47.55
ADANIPORTS,EQ,2026-01-14,1428.60,1429.00,1438.90,1423.00,1429.00,1430.00,1431.10,1278819,18301.22,43686,772335,60.39
BEL,EQ,2026-01-14,413.70,411.00,420.80,411.00,417.55,417.60,418.13,17676239,73909.99,139067,10862396,61.45
BOSCHLTD,EQ,2026-01-14,37905.00,37900.00,38255.00,36930.00,37455.00,37455.00,37744.41,22519,8499.66,9121,9466,42.04
CUMMINSIND,EQ,2026-01-14,3977.80,3970.00,4038.40,3946.00,4029.00,4029.20,3994.28,853871,34106.00,64823,587841,68.84
DIXON,EQ,2026-01-14,11238.00,11260.00,11526.00,11055.00,11108.00,11103.00,11288.67,928937,104864.60,119985,319219,34.36
DLF,EQ,2026-01-14,652.40,652.00,654.45,642.30,650.00,651.05,649.00,7138253,46327.29,77721,4119444,57.71
DMART,EQ,2026-01-14,3826.90,3822.00,3889.80,3811.80,3831.40,3830.30,3856.96,495104,19095.96,29681,231645,46.79
ETERNAL,EQ,2026-01-14,294.55,292.50,299.90,291.00,298.80,299.25,296.69,48489262,143861.96,174024,32848664,67.74
HAL,EQ,2026-01-14,4452.40,4452.40,4501.00,4422.00,4463.00,4461.40,4468.14,597515,26697.79,41968,259640,43.45
HINDALCO,EQ,2026-01-14,936.30,941.00,959.00,936.75,955.90,955.35,951.18,7050653,67064.52,141736,3564286,50.55
INDHOTEL,EQ,2026-01-14,678.15,679.05,692.50,675.10,688.00,689.45,686.84,3808208,26156.14,48151,2129489,55.92
INDIGO,EQ,2026-01-14,4759.50,4730.00,4756.50,4701.00,4738.00,4733.00,4736.40,1059301,50172.76,81904,739721,69.83
LENSKART,EQ,2026-01-14,446.95,445.05,460.55,440.20,457.00,457.70,455.00,2647444,12045.95,37931,1281835,48.42
LT,EQ,2026-01-14,3887.40,3900.00,3904.90,3856.60,3868.00,3865.80,3878.74,1914244,74248.57,126414,978315,51.11
MANAPPURAM,EQ,2026-01-14,308.05,307.00,309.60,303.00,309.30,309.00,306.86,3052968,9368.27,31746,666428,21.83
MARUTI,EQ,2026-01-14,16426.00,16390.00,16412.00,16090.00,16148.00,16152.00,16219.81,240043,38934.51,45952,122284,50.94
PAYTM,EQ,2026-01-14,1281.60,1285.00,1322.40,1281.00,1308.00,1313.30,1309.16,2374640,31087.94,75476,1094627,46.10
PGEL,EQ,2026-01-14,591.70,588.00,599.65,584.60,586.90,587.30,592.04,1129651,6688.02,20643,316945,28.06
SBIN,EQ,2026-01-14,1028.45,1030.00,1030.40,1020.50,1030.00,1028.35,1026.09,7370514,75627.77,131534,3757925,50.99
SUZLON,EQ,2026-01-14,48.69,48.49,49.80,48.16,48.99,49.01,49.19,55863563,27480.94,85712,19723571,35.31
TRENT,EQ,2026-01-14,3921.90,3906.00,3950.00,3886.20,3930.00,3932.20,3920.29,721954,28302.67,42334,344461,47.71
