,12-Nov-12,,,,,,,,,,,,,,,,,,
The Nifty witnessed an intraday movement of about 53.15 points.The closing index was 0.04 % down as compared to the previous closing index.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
, Traded Value (Rs. In Crores),12924.43,,,,,,,,,,,,,,,,,
, Traded Quantity (in Lakhs),6434.66,,,,,,,,,,,,,,,,,
, Number of Trades,5506866.00,,,,,,,,,,,,,,,,,
, Total Market Capitalisation (Rs. Crores),6432853.02,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS,,,,,,,,,,,,
,S&P CNX Nifty,5686.25,5688.45,5718.90,5665.75,5683.70,-2.55,,,,,,,,,,,,
,CNX IT,6110.45,6111.00,6160.85,6111.00,6138.65,28.20,,,,,,,,,,,,
,CNX Nifty Junior,11158.95,11158.45,11362.75,11158.45,11342.65,183.70,,,,,,,,,,,,
,S&P CNX Defty,3611.05,3602.05,3624.95,3563.75,3582.45,-28.60,,,,,,,,,,,,
,BANK Nifty,11475.60,11488.10,11608.80,11462.30,11583.85,108.25,,,,,,,,,,,,
,CNX Midcap,7890.15,7889.70,7928.05,7886.90,7909.30,19.15,,,,,,,,,,,,
,S&P CNX 500,4508.80,4509.95,4529.55,4504.10,4519.25,10.45,,,,,,,,,,,,
,CNX 100,5577.95,5579.75,5610.45,5568.10,5589.20,11.25,,,,,,,,,,,,
,Nifty Midcap 50,2219.80,2219.85,2232.35,2216.50,2229.75,9.95,,,,,,,,,,,,
,CNX Realty,252.15,252.05,255.55,250.30,254.60,2.45,,,,,,,,,,,,
,CNX Infra,2507.10,2508.10,2522.80,2491.95,2504.50,-2.60,,,,,,,,,,,,
,CNX Energy,7660.85,7655.35,7688.25,7601.15,7640.85,-20.00,,,,,,,,,,,,
,CNX FMCG,14744.65,14731.75,14927.85,14731.75,14838.95,94.30,,,,,,,,,,,,
,CNX MNC,5729.35,5738.35,5750.75,5700.20,5709.10,-20.25,,,,,,,,,,,,
,CNX Pharma,5751.55,5759.45,5770.65,5724.80,5750.90,-0.65,,,,,,,,,,,,
,CNX PSE,2851.50,2849.20,2866.40,2841.05,2849.15,-2.35,,,,,,,,,,,,
,CNX PSU Bank,3266.05,3275.05,3306.70,3234.80,3301.60,35.55,,,,,,,,,,,,
,CNX Service,6741.75,6746.05,6788.70,6746.05,6783.05,41.30,,,,,,,,,,,,
,India VIX,14.37,14.37,15.11,13.75,14.86,0.49,,,,,,,,,,,,
,CNX AUTO,4495.25,4504.45,4508.30,4472.55,4490.85,-4.40,,,,,,,,,,,,
,CNX Metal,2653.00,2645.15,2648.85,2625.90,2633.70,-19.30,,,,,,,,,,,,
,CNX Media,1548.20,1547.50,1560.10,1537.10,1544.40,-3.80,,,,,,,,,,,,
,CNX Smallcap,3461.95,3456.85,3488.80,3456.85,3485.20,23.25,,,,,,,,,,,,
,CNX 200,2876.70,2877.55,2889.95,2872.15,2883.10,6.40,,,,,,,,,,,,
,CNX Dividend Oppt,1634.40,1636.30,1640.10,1630.15,1634.85,0.45,,,,,,,,,,,,
,CNX Commodities,2423.50,2423.05,2428.50,2404.45,2410.25,-13.25,,,,,,,,,,,,
,CNX Consumption,2169.40,2172.55,2194.00,2172.55,2191.20,21.80,,,,,,,,,,,,
,CNX Finance,4752.95,4758.40,4797.65,4748.25,4789.05,36.10,,,,,,,,,,,,
,Nifty Dividend,75.40,75.40,75.40,75.40,75.40,0.00,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,ADVANCES,684.00,,,,,,,,,,,,,,,,,
,DECLINES,804.00,,,,,,,,,,,,,,,,,
,UNCHANGED,75.00,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Total securities that have hit their price bands today,125.00,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,TOP 25 Securities Today :,,,,,,,,,,,,,,,,,,
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs),,,,,,,,,,,,,
,MCDOWELL-N,EQ,1360.50,1832.95,34.73,4240.83,,,,,,,,,,,,,
,SBIN,EQ,2155.05,2190.30,1.64,688.40,,,,,,,,,,,,,
,HDFC,EQ,793.95,791.60,-0.30,270.22,,,,,,,,,,,,,
,HDIL,EQ,104.35,110.45,5.85,269.41,,,,,,,,,,,,,
,L&TFH,EQ,64.10,71.55,11.62,268.25,,,,,,,,,,,,,
,RCOM,EQ,57.40,58.90,2.61,267.27,,,,,,,,,,,,,
,RELIANCE,EQ,787.65,786.65,-0.13,226.58,,,,,,,,,,,,,
,ICICIBANK,EQ,1059.20,1058.40,-0.08,226.20,,,,,,,,,,,,,
,TATAMOTORS,EQ,280.60,280.75,0.05,194.56,,,,,,,,,,,,,
,LT,EQ,1621.10,1606.40,-0.91,169.93,,,,,,,,,,,,,
,HDFCBANK,EQ,639.35,651.30,1.87,156.24,,,,,,,,,,,,,
,JPASSOCIAT,EQ,91.30,93.05,1.92,154.61,,,,,,,,,,,,,
,TATASTEEL,EQ,390.55,384.10,-1.65,145.33,,,,,,,,,,,,,
,COALINDIA,EQ,346.60,344.65,-0.56,140.24,,,,,,,,,,,,,
,UBL,EQ,791.70,756.50,-4.45,131.23,,,,,,,,,,,,,
,AXISBANK,EQ,1215.10,1226.45,0.93,119.04,,,,,,,,,,,,,
,DLF,EQ,211.15,205.50,-2.68,109.71,,,,,,,,,,,,,
,INFY,EQ,2348.70,2358.95,0.44,108.84,,,,,,,,,,,,,
,ITC,EQ,288.15,283.80,-1.51,101.50,,,,,,,,,,,,,
,IDFC,EQ,158.70,163.35,2.93,99.46,,,,,,,,,,,,,
,TCS,EQ,1324.95,1334.50,0.72,98.08,,,,,,,,,,,,,
,BHARTIARTL,EQ,275.80,280.00,1.52,96.47,,,,,,,,,,,,,
,RELCAPITAL,EQ,390.05,394.20,1.06,87.95,,,,,,,,,,,,,
,PANTALOONR,EQ,202.35,197.90,-2.20,83.89,,,,,,,,,,,,,
,YESBANK,EQ,425.15,424.85,-0.07,81.42,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Top Five S&P CNX Nifty Gainers:,,,,,,,,,,,,,,,,,,
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE,,,,,,,,,,,,,,
,IDFC,EQ,163.35,158.70,2.93,,,,,,,,,,,,,,
,JPASSOCIAT,EQ,93.05,91.30,1.92,,,,,,,,,,,,,,
,HDFCBANK,EQ,651.30,639.35,1.87,,,,,,,,,,,,,,
,SBIN,EQ,2190.30,2155.05,1.64,,,,,,,,,,,,,,
,BHARTIARTL,EQ,280.00,275.80,1.52,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Top Five S&P CNX Nifty Losers:,,,,,,,,,,,,,,,,,,
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE,,,,,,,,,,,,,,
,DLF,EQ,205.50,211.15,-2.68,,,,,,,,,,,,,,
,RANBAXY,EQ,531.30,542.75,-2.11,,,,,,,,,,,,,,
,HEROMOTOCO,EQ,1872.40,1908.20,-1.88,,,,,,,,,,,,,,
,SIEMENS,EQ,674.75,686.65,-1.73,,,,,,,,,,,,,,
,TATASTEEL,EQ,384.10,390.55,-1.65,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Securities Price Volume Data in Normal market,,,,,,,,,,,,,,,,,,
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY,,,,,,,,,,,,,,
,20MICRONS,EQ,155.25,257057680.45,1611768.00,,,,,,,,,,,,,,
,3IINFOTECH,BE,7.45,2391991.30,320943.00,,,,,,,,,,,,,,
,3MINDIA,EQ,3799.55,542523.30,143.00,,,,,,,,,,,,,,
,A2ZMES,EQ,60.35,8906012.25,147347.00,,,,,,,,,,,,,,
,AANJANEYA,EQ,630.40,2531015.90,4018.00,,,,,,,,,,,,,,
