symbol,series,date,quantity_traded,deliverable_quantity,delivery_pct
ABB,EQ,2020-05-22,126840,65853,51.92
ADANIPORTS,EQ,2020-05-22,3428549,891323,26.00
BEL,EQ,2020-05-22,11478106,4315815,37.60
BOSCHLTD,EQ,2020-05-22,102227,13466,13.17
CUMMINSIND,EQ,2020-05-22,933192,174608,18.71
DIXON,EQ,2020-05-22,21715,5747,26.47
DLF,EQ,2020-05-22,6331378,1132789,17.89
HAL,EQ,2020-05-22,50590,24121,47.68
HINDALCO,EQ,2020-05-22,17059557,2772650,16.25
INDHOTEL,EQ,2020-05-22,1516893,625907,41.26
INDIGO,EQ,2020-05-22,5480145,596233,10.88
LT,EQ,2020-05-22,4609134,1841457,39.95
MANAPPURAM,EQ,2020-05-22,10166367,2095252,20.61
MARUTI,EQ,2020-05-22,1935877,305869,15.80
PGEL,EQ,2020-05-22,15316,11483,74.97
SBIN,EQ,2020-05-22,87069955,21241024,24.40
SBIN,N2,2020-05-22,65,58,89.23
SBIN,N5,2020-05-22,447,445,99.55
SBIN,N6,2020-05-22,22,15,68.18
SUZLON,EQ,2020-05-22,37159274,11644096,31.34
TRENT,EQ,2020-05-22,272172,79323,29.14
