symbol,series,date,open,high,low,close,last,previous_close,volume,value,trades,isin
ABB,EQ,2018-08-31,1316,1325,1302,1308.4,1310,1309.55,41420,54484919.15,4237,INE117A01022
ADANIPORTS,EQ,2018-08-31,384,394,381.2,383.15,382.6,383.75,3931829,1515998482.7,64798,INE742F01042
BEL,EQ,2018-08-31,114.2,117.4,113.05,113.5,113.7,114.2,9746380,1116119483.5,51417,INE263A01024
BOSCHLTD,EQ,2018-08-31,22005,22400,21608.2,21990.35,21951.2,22005,56140,1234476710.75,20094,INE323A01026
CUMMINSIND,EQ,2018-08-31,777,786.5,765,768.15,771.65,777.85,457419,356164699.65,17337,INE298A01020
DIXON,EQ,2018-08-31,2861,3069.7,2845.4,3008.6,2998,2868.7,100068,298498535.1,11728,INE935N01012
DLF,EQ,2018-08-31,221.1,222.3,217.2,220.8,220.75,221.1,6129569,1348439045.85,40028,INE271C01023
DMART,EQ,2018-08-31,1591.9,1614.9,1585.25,1604.5,1604.85,1591.8,428424,686234787.05,20025,INE192R01011
HAL,EQ,2018-08-31,892.6,900,888.55,892.25,890,896.65,7753,6920902.45,1182,INE066F01012
HINDALCO,EQ,2018-08-31,240,240.7,236.35,237.95,237.9,240.25,7187784,1712972965.5,56159,INE038A01020
INDHOTEL,EQ,2018-08-31,134.9,138.4,133.15,137.25,137.9,134.9,692935,94097761.45,11729,INE053A01029
INDIGO,EQ,2018-08-31,939.95,955.9,925.3,928.85,928.9,940.7,1566273,1467564820.7,51723,INE646L01027
LT,EQ,2018-08-31,1348.95,1374,1348.95,1369.55,1370,1346.55,3549583,4850853582.05,94083,INE018A01030
MANAPPURAM,EQ,2018-08-31,101.25,101.25,99.35,100.1,99.95,100.7,1295761,129906042.6,5613,INE522D01027
MARUTI,EQ,2018-08-31,9208,9255,9080.3,9096.4,9099,9205.8,634522,5805757420.15,74988,INE585B01010
PGEL,EQ,2018-08-31,170,179,170,171.75,174.8,171.55,14208,2469109.45,414,INE457L01011
SBIN,EQ,2018-08-31,307.9,310.65,304.55,309.6,310.3,308.6,18100140,5572062957.15,105308,INE062A01020
SUZLON,EQ,2018-08-31,7.1,7.25,7.1,7.15,7.2,7.05,21537466,154195097.9,43677,INE040H01021
TRENT,EQ,2018-08-31,370,370.95,362.8,369.45,368.7,368.6,249994,91514148,3225,INE849A01020
