symbol,series,date,quantity_traded,deliverable_quantity,delivery_pct
ABB,EQ,2018-08-17,85790,54995,64.10
ADANIPORTS,EQ,2018-08-17,1983257,686254,34.60
BEL,EQ,2018-08-17,3913927,1100145,28.11
BOSCHLTD,EQ,2018-08-17,6450,3333,51.67
CUMMINSIND,EQ,2018-08-17,293323,149859,51.09
DIXON,EQ,2018-08-17,30998,10633,34.30
DLF,EQ,2018-08-17,7728061,852464,11.03
DMART,EQ,2018-08-17,924064,308046,33.34
HAL,EQ,2018-08-17,12414,6943,55.93
HINDALCO,EQ,2018-08-17,5232908,1119065,21.39
INDHOTEL,EQ,2018-08-17,9988903,8973989,89.84
INDIGO,EQ,2018-08-17,512224,251399,49.08
LT,EQ,2018-08-17,1750983,886545,50.63
MANAPPURAM,EQ,2018-08-17,3025466,1174238,38.81
MARUTI,EQ,2018-08-17,477538,197799,41.42
PGEL,EQ,2018-08-17,14203,8344,58.75
SBIN,EQ,2018-08-17,21931134,5240195,23.89
SBIN,N2,2018-08-17,2,2,100.00
SBIN,N5,2018-08-17,246,246,100.00
SUZLON,EQ,2018-08-17,11198311,4274193,38.17
TRENT,EQ,2018-08-17,89477,46182,51.61
