symbol,series,date,quantity_traded,deliverable_quantity,delivery_pct
ABB,EQ,2008-04-23,214514,148049,69.02
BEL,EQ,2008-04-23,52865,46784,88.50
BOSCHLTD,EQ,2008-04-23,7354,6177,84.00
CUMMINSIND,EQ,2008-04-23,217169,197754,91.06
DLF,EQ,2008-04-23,3624667,1145066,31.59
HINDALCO,EQ,2008-04-23,950962,417162,43.87
INDHOTEL,EQ,2008-04-23,1130725,632090,55.90
LT,EQ,2008-04-23,988624,332478,33.63
MARUTI,EQ,2008-04-23,446646,278824,62.43
SBIN,EQ,2008-04-23,824308,223133,27.07
SBIN,IL,2008-04-23,1105587,1105587,100.00
SUZLON,EQ,2008-04-23,5623464,2965902,52.74
TRENT,EQ,2008-04-23,1663,1544,92.84
