symbol,series,date,quantity_traded,deliverable_quantity,delivery_pct
ABB,EQ,2008-04-25,474769,241534,50.87
BEL,EQ,2008-04-25,24529,11775,48.00
BOSCHLTD,EQ,2008-04-25,1369,1040,75.97
CUMMINSIND,EQ,2008-04-25,159948,74762,46.74
DLF,EQ,2008-04-25,2926112,1032249,35.28
HINDALCO,EQ,2008-04-25,1107080,551067,49.78
INDHOTEL,EQ,2008-04-25,1351499,1169507,86.53
LT,EQ,2008-04-25,1003908,569477,56.73
MARUTI,EQ,2008-04-25,856302,564035,65.87
SBIN,EQ,2008-04-25,942900,207461,22.00
SUZLON,EQ,2008-04-25,2371456,801433,33.79
TRENT,EQ,2008-04-25,1082,797,73.66
TRENT,W1,2008-04-25,896,896,100.00
