symbol,series,date,quantity_traded,deliverable_quantity,delivery_pct
ABB,EQ,2021-01-14,45754,17233,37.66
ADANIPORTS,EQ,2021-01-14,6066782,921742,15.19
BEL,EQ,2021-01-14,31434222,5070464,16.13
BOSCHLTD,EQ,2021-01-14,72742,13383,18.40
CUMMINSIND,EQ,2021-01-14,909426,409320,45.01
DIXON,EQ,2021-01-14,161093,60463,37.53
DLF,EQ,2021-01-14,18052699,1352403,7.49
DMART,EQ,2021-01-14,340922,120093,35.23
HAL,EQ,2021-01-14,7542690,1417471,18.79
HINDALCO,EQ,2021-01-14,7601547,2740643,36.05
INDHOTEL,EQ,2021-01-14,1446613,589464,40.75
INDIGO,EQ,2021-01-14,761001,104942,13.79
LT,EQ,2021-01-14,5168591,2046740,39.60
MANAPPURAM,EQ,2021-01-14,5152056,1551410,30.11
MARUTI,EQ,2021-01-14,718274,164673,22.93
PGEL,EQ,2021-01-14,15063,6067,40.28
SBIN,EQ,2021-01-14,40123498,11711561,29.19
SBIN,N5,2021-01-14,576,575,99.83
SBIN,N6,2021-01-14,1,1,100.00
TRENT,EQ,2021-01-14,543503,376731,69.32
