symbol,series,date,quantity_traded,deliverable_quantity,delivery_pct
ABB,EQ,2021-12-24,220693,53596,24.29
ADANIPORTS,EQ,2021-12-24,3946754,884566,22.41
BEL,EQ,2021-12-24,3061075,887826,29.00
BOSCHLTD,EQ,2021-12-24,35956,12252,34.07
CUMMINSIND,EQ,2021-12-24,220755,40054,18.14
DIXON,EQ,2021-12-24,343496,90071,26.22
DLF,EQ,2021-12-24,4499625,899588,19.99
DMART,EQ,2021-12-24,122078,44001,36.04
HAL,EQ,2021-12-24,118640,36891,31.09
HINDALCO,EQ,2021-12-24,3122116,269285,8.63
INDHOTEL,EQ,2021-12-24,4646074,636420,13.70
INDIGO,EQ,2021-12-24,679232,160584,23.64
LT,EQ,2021-12-24,1203991,667535,55.44
MANAPPURAM,EQ,2021-12-24,1809568,352903,19.50
MARUTI,EQ,2021-12-24,357447,62060,17.36
PAYTM,EQ,2021-12-24,1340599,661901,49.37
PGEL,EQ,2021-12-24,58638,17509,29.86
SBIN,EQ,2021-12-24,13221159,3808688,28.81
SUZLON,EQ,2021-12-24,76693591,35134166,45.81
TRENT,EQ,2021-12-24,288355,113010,39.19
