symbol,series,date,quantity_traded,deliverable_quantity,delivery_pct
ABB,EQ,2021-06-22,125176,55636,44.45
ADANIPORTS,EQ,2021-06-22,35597113,6016309,16.90
BEL,EQ,2021-06-22,9420443,3461259,36.74
BOSCHLTD,EQ,2021-06-22,19918,7218,36.24
CUMMINSIND,EQ,2021-06-22,736130,228213,31.00
DIXON,EQ,2021-06-22,278384,114592,41.16
DLF,EQ,2021-06-22,6275951,1521553,24.24
DMART,EQ,2021-06-22,518266,220822,42.61
HAL,EQ,2021-06-22,178300,104239,58.46
HINDALCO,EQ,2021-06-22,9787216,3687459,37.68
INDHOTEL,EQ,2021-06-22,7508845,3082327,41.05
INDIGO,EQ,2021-06-22,491436,148046,30.13
LT,EQ,2021-06-22,3862264,2509345,64.97
MANAPPURAM,EQ,2021-06-22,4533857,1773391,39.11
MARUTI,EQ,2021-06-22,1757310,549897,31.29
PGEL,EQ,2021-06-22,8772,8772,100.00
SBIN,EQ,2021-06-22,28442965,9392524,33.02
SUZLON,EQ,2021-06-22,79499874,36086790,45.39
TRENT,EQ,2021-06-22,427455,261221,61.11
