,26-Dec-2018
The Nifty witnessed an intraday movement of about 212.95 points.The closing index was 0.62 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 27416.78
, Traded Quantity (in Lakhs), 12479.23
, Number of Trades, 9494120
, Total Market Capitalisation (Rs. Crores), 14070330.62

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AISL,SM,        68.00,                   326400.00,4800
,AJANTPHARM,EQ,      1128.55,                253763702.45,226562
,AJMERA,EQ,       163.80,                 17360509.10,108102
,AJOONI,SM,        18.25,                   933600.00,52000
,AKASH,SM,        96.40,                  8384700.00,84000
,AKG,SM,        32.20,                   387600.00,12000
,AKSHARCHEM,EQ,       447.80,                   620276.70,1391
,AKSHOPTFBR,EQ,        24.05,                 13034997.55,541424
,AKZOINDIA,EQ,      1610.40,                  3645665.40,2277
,ALANKIT,EQ,        23.80,                 13724209.05,580491
,ALBERTDAVD,EQ,       417.00,                  1328310.50,3220
,ALBK,EQ,        46.05,                291810307.80,6458966
,ALCHEM,BE,         2.30,                    35052.05,15398
,ALEMBICLTD,EQ,        44.65,                  8480648.00,190969
,ALICON,EQ,       582.75,                 18076615.30,30582
,ALKALI,EQ,        55.30,                   190804.05,3568
,ALKEM,EQ,      1874.55,                 31220174.85,16728
,ALKYLAMINE,EQ,       734.60,                  3827204.40,5242
,ALLCARGO,EQ,       107.50,                 12260990.35,115035
,ALLSEC,EQ,       200.25,                  2627305.00,13444
,ALMONDZ,EQ,        22.50,                     8573.70,385
,ALOKTEXT,EQ,         3.70,                  4182031.55,1142888
,ALPA,EQ,        23.85,                   300494.10,12649
,ALPHAGEO,EQ,       460.35,                  1953218.15,4238
,AMARAJABAT,EQ,       731.80,                369836200.85,504209
,AMBER,EQ,       898.05,                 21995138.20,24318
,AMBIKCO,EQ,      1162.40,                   954284.65,821
,AMDIND,EQ,        21.10,                   136489.70,6318
,AMJLAND,EQ,        20.45,                    36968.35,1799
,AMRUTANJAN,EQ,       267.40,                 16587214.15,61440
,ANANTRAJ,EQ,        35.40,                  8843511.00,251587
,ANDHRABANK,EQ,        29.25,                 17098539.90,589194
,ANDHRACEMT,EQ,         5.75,                   226216.15,39231
,ANDHRSUGAR,EQ,       324.65,                  5085151.00,15588
,ANGIND,BE,         1.35,                     1135.35,841
,ANIKINDS,EQ,        23.00,                    23014.05,999
,ANKITMETAL,BE,          .45,                    52950.70,107957
,ANSALAPI,EQ,        11.25,                   206090.65,18358
,ANSALHSG,EQ,        10.95,                   198493.95,18126
,ANTGRAPHIC,BE,          .50,                     2767.90,5562
,APARINDS,EQ,       662.20,                  4847344.40,7397
,APCL,EQ,       128.85,                   189052.45,1462
,APCOTEXIND,EQ,       524.50,                  3851063.85,7366
