symbol,date,underlying_close_price,underlying_previous_close_price,underlying_log_returns,previous_day_underlying_volatility,current_day_underlying_daily_volatility,underlying_annualised_volatility
ABB,2017-08-29,1351.25,1364.35,-0.0096,0.0106,,0.2006
ADANIPORTS,2017-08-29,383.30,387.50,-0.0109,0.0176,,0.3305
BEL,2017-08-29,185.15,188.85,-0.0198,0.0190,,0.3630
BOSCHLTD,2017-08-29,21693.35,21843.35,-0.0069,0.0127,,0.2369
CUMMINSIND,2017-08-29,902.25,895.25,0.0078,0.0191,,0.3554
DLF,2017-08-29,181.60,180.10,0.0083,0.0424,,0.7871
DMART,2017-08-29,1032.85,1046.15,-0.0128,0.0205,,0.3840
HINDALCO,2017-08-29,227.30,233.55,-0.0271,0.0220,,0.4260
INDHOTEL,2017-08-29,114.75,112.85,0.0167,0.0226,,0.4260
INDIGO,2017-08-29,1172.05,1185.95,-0.0118,0.0175,,0.3286
LT,2017-08-29,1130.05,1138.90,-0.0078,0.0088,,0.1662
MANAPPURAM,2017-08-29,92.75,95.60,-0.0303,0.0379,,0.7164
MARUTI,2017-08-29,7521.50,7579.00,-0.0076,0.0104,,0.1968
PGEL,2017-08-29,316.00,316.70,-0.0022,0.0388,,0.7183
SBIN,2017-08-29,277.00,279.35,-0.0084,0.0171,,0.3191
SUZLON,2017-08-29,16.25,16.65,-0.0243,0.0344,,0.6477
TRENT,2017-08-29,296.15,297.95,-0.0061,0.0197,,0.3668
