symbol,series,date,quantity_traded,deliverable_quantity,delivery_pct
ABB,EQ,2016-01-28,21274,13887,65.28
ADANIPORTS,EQ,2016-01-28,12022147,7499717,62.38
BEL,EQ,2016-01-28,379483,163494,43.08
BOSCHLTD,EQ,2016-01-28,16747,9754,58.24
CUMMINSIND,EQ,2016-01-28,524349,512828,97.80
DLF,EQ,2016-01-28,11425084,5187986,45.41
HINDALCO,EQ,2016-01-28,12038432,7176309,59.61
INDHOTEL,D1,2016-01-28,502223,500107,99.58
INDHOTEL,EQ,2016-01-28,643336,607657,94.45
INDIGO,EQ,2016-01-28,2430726,469335,19.31
LT,EQ,2016-01-28,3863151,2294830,59.40
MANAPPURAM,EQ,2016-01-28,839134,499018,59.47
MANAPPURAM,N5,2016-01-28,25,25,100.00
MARUTI,EQ,2016-01-28,1677354,757841,45.18
PGEL,EQ,2016-01-28,28692,27830,97.00
SBIN,EQ,2016-01-28,20241030,8805278,43.50
SBIN,N3,2016-01-28,27,25,92.59
SBIN,N4,2016-01-28,5,5,100.00
SBIN,N5,2016-01-28,228,193,84.65
SUZLON,EQ,2016-01-28,21328235,9953231,46.67
TRENT,EQ,2016-01-28,2265,1028,45.39
