symbol,date,underlying_close_price,underlying_previous_close_price,underlying_log_returns,previous_day_underlying_volatility,current_day_underlying_daily_volatility,underlying_annualised_volatility
ABB,2022-12-23,2680.80,2802.80,-0.0445,0.0207,0.0209,0.3993
ADANIPORTS,2022-12-23,794.10,856.90,-0.0761,0.0219,0.0225,0.4299
BEL,2022-12-23,96.55,98.25,-0.0175,0.0208,0.0208,0.3974
BOSCHLTD,2022-12-23,16849.55,17243.30,-0.0231,0.0179,0.0179,0.3420
CUMMINSIND,2022-12-23,1388.05,1450.15,-0.0438,0.0181,0.0183,0.3496
DIXON,2022-12-23,3717.75,3877.00,-0.0419,0.0230,0.0231,0.4413
DLF,2022-12-23,357.00,377.85,-0.0568,0.0238,0.0241,0.4604
DMART,2022-12-23,3875.65,3921.50,-0.0118,0.0193,0.0192,0.3668
HAL,2022-12-23,2439.65,2524.50,-0.0342,0.0216,0.0217,0.4146
HINDALCO,2022-12-23,429.55,455.50,-0.0587,0.0259,0.0262,0.5006
INDHOTEL,2022-12-23,299.50,304.05,-0.0151,0.0232,0.0232,0.4432
INDIGO,2022-12-23,1914.25,1977.10,-0.0323,0.0225,0.0225,0.4299
LT,2022-12-23,2062.75,2109.95,-0.0226,0.0157,0.0158,0.3019
MANAPPURAM,2022-12-23,108.15,114.10,-0.0536,0.0249,0.0251,0.4795
MARUTI,2022-12-23,8141.65,8334.40,-0.0234,0.0174,0.0174,0.3324
PAYTM,2022-12-23,476.10,506.55,-0.0620,0.0297,0.0300,0.5731
PGEL,2022-12-23,1049.35,1085.60,-0.0340,0.0330,0.0331,0.6324
SBIN,2022-12-23,574.00,593.40,-0.0332,0.0176,0.0177,0.3382
SUZLON,2022-12-23,9.00,9.95,-0.1003,0.0412,0.0417,0.7967
TRENT,2022-12-23,1284.40,1332.40,-0.0367,0.0213,0.0214,0.4088
