,18-Jul-2018
The Nifty witnessed an intraday movement of about 119.9 points.The closing index was 0.25 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 29630.86
, Traded Quantity (in Lakhs), 15358.23
, Number of Trades, 11246426
, Total Market Capitalisation (Rs. Crores), 14478986.81

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AKSHARCHEM,EQ,       489.15,                 21393857.05,43146
,AKSHOPTFBR,EQ,        27.00,                 10736088.00,391640
,AKZOINDIA,EQ,      1850.50,                  4081775.65,2200
,ALANKIT,EQ,        24.20,                 21896533.50,911052
,ALBERTDAVD,EQ,       389.90,                   303512.60,787
,ALBK,EQ,        41.05,                423025189.45,10163607
,ALCHEM,BE,         6.00,                     5769.15,959
,ALEMBICLTD,EQ,        37.20,                  8807219.65,234518
,ALICON,EQ,       600.80,                   212173.00,360
,ALKALI,EQ,        61.40,                   479344.60,7620
,ALKEM,EQ,      1832.95,                 85030934.25,46401
,ALKYLAMINE,EQ,       649.95,                  5113916.50,7904
,ALLCARGO,EQ,       112.55,                 16909219.05,147516
,ALLSEC,EQ,       255.20,                  1227958.40,4713
,ALMONDZ,BE,        30.00,                   166807.25,5494
,ALOKTEXT,BE,         3.55,                  2417550.00,681000
,ALPA,EQ,        25.40,                   211712.05,8314
,ALPHAGEO,EQ,       649.65,                  9634496.55,14842
,ALPSINDUS,BE,         1.95,                    30575.25,15695
,AMARAJABAT,EQ,       776.60,                281514253.75,359348
,AMBANIORG,ST,        66.65,                 22775000.00,342000
,AMBER,EQ,       935.30,                  7469557.10,7971
,AMBIKCO,EQ,      1268.05,                  1101276.70,867
,AMDIND,EQ,        19.80,                    60407.20,3041
,AMJLAND,EQ,        24.80,                   780677.55,31025
,AMRUTANJAN,EQ,       275.35,                  3979192.45,14468
,AMTEKAUTO,BZ,         7.85,                   804719.50,102427
,ANANTRAJ,EQ,        37.20,                 12791079.35,341773
,ANDHRABANK,EQ,        30.60,                422383376.50,13584897
,ANDHRACEMT,EQ,         8.30,                   303211.50,36313
,ANDHRSUGAR,EQ,       323.30,                  3498008.70,10792
,ANGIND,BE,         2.70,                     8467.50,3270
,ANIKINDS,BE,        28.00,                    63539.35,2281
,ANKITMETAL,BE,          .75,                       75.00,100
,ANSALAPI,EQ,        15.00,                   985948.75,65750
,ANSALHSG,EQ,        13.95,                   234868.00,16727
,ANTGRAPHIC,BE,          .55,                     6758.30,12601
,APARINDS,EQ,       615.80,                  2309878.70,3730
,APCL,EQ,       148.25,                   211949.75,1420
,APCOTEXIND,EQ,       535.75,                  2351932.70,4384
,APEX,EQ,       355.15,                 19916004.70,54978
,APLAPOLLO,EQ,      1648.50,                  8927042.15,5418
,APLLTD,EQ,       517.05,                  6786245.65,13108
,APOLLO,EQ,       144.70,                  2562642.60,17568
,APOLLOHOSP,EQ,       969.70,                412407199.10,424396
,APOLLOTYRE,EQ,       272.00,                693173584.20,2547022
,APOLSINHOT,EQ,      1279.40,                   947583.45,733
,APTECHT,EQ,       242.70,                 51630261.35,211377
,ARCHIDPLY,EQ,        51.60,                  1390811.60,26506
,ARCHIES,BE,        27.10,                   603274.05,22077
,ARCOTECH,EQ,        13.15,                  1884411.40,142789
,ARIES,EQ,       103.15,                  7464150.75,73043
,ARIHANT,EQ,        34.35,                      858.75,25
,ARIHANTSUP,EQ,        70.90,                  4747604.35,66858
,ARMANFIN,BE,       346.15,                   347523.45,1004
,AROGRANITE,EQ,        55.15,                   267387.15,4860
,ARROWGREEN,EQ,       124.70,                  6640548.75,53343
,ARROWTEX,EQ,        28.00,                   458612.45,16238
,ARSHIYA,EQ,        53.25,                  1054983.20,19828
,ARSSINFRA,BE,        19.15,                   141111.80,7342
,ARVIND,EQ,       404.65,                833129033.80,2032782
,ARVSMART,EQ,       153.80,                  2019452.30,12840
,ASAHIINDIA,EQ,       329.25,                  5118798.70,15453
,ASAHISONG,EQ,       251.90,                   420334.00,1634
,ASAL,EQ,        51.55,                   368712.70,7103
,ASHAPURMIN,EQ,        43.15,                  2851879.15,65525
,ASHIANA,EQ,       121.05,                  5171252.70,42110
,ASHIMASYN,EQ,        23.95,                  1664219.35,67612
,ASHOKA,EQ,       145.75,                 22161222.40,149495
,ASIANHOTNR,EQ,       225.00,                    66588.90,295
,ASIANTILES,EQ,       286.45,                 35319539.25,123812
,ASPINWALL,EQ,       250.45,                  1930963.90,7743
,ASSAMCO,EQ,         3.35,                   486007.80,146494
,ASTEC,EQ,       655.45,                 11508818.20,17332
,ASTERDM,EQ,       162.70,                  5509636.55,33602
,ASTRAL,EQ,      1065.25,                 83722016.20,76606
,ASTRAMICRO,EQ,        98.10,                 23782717.00,240542
,ASTRAZEN,EQ,      1420.75,                 29524518.55,20926
,ASTRON,EQ,       105.40,                  5573134.05,51971
,ATFL,EQ,       646.30,                  3398629.40,5240
,ATLANTA,EQ,        36.75,                  2225888.20,60454
,ATLASCYCLE,BE,       121.15,                    52177.45,422
,ATUL,EQ,      2814.95,                  7105981.30,2512
,ATULAUTO,EQ,       388.95,                  4816867.80,12316
,AUBANK,EQ,       636.05,                107549607.65,169511
,AURDIS,SM,        35.35,                   777600.00,22000
,AURIONPRO,EQ,       192.40,                  2945774.25,15302
,AUSOMENT,EQ,        72.60,                   353001.05,4830
,AUTOAXLES,EQ,      1210.50,                  6011917.90,4957
