,24-Jul-2018
The Nifty witnessed an intraday movement of about 50.9 points.The closing index was 0.45 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 34563.31
, Traded Quantity (in Lakhs), 18103.16
, Number of Trades, 12537359
, Total Market Capitalisation (Rs. Crores), 14798442.79

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AIROLAM,SM,        37.50,                   112500.00,3000
,AISL,SM,        82.00,                   386460.00,4800
,AJANTPHARM,EQ,      1031.15,                762950391.50,724179
,AJMERA,EQ,       216.65,                 10951329.10,51311
,AJOONI,SM,        16.80,                   132200.00,8000
,AKASH,SM,        67.00,                   408050.00,6000
,AKSHARCHEM,EQ,       499.90,                   977629.15,1956
,AKSHOPTFBR,EQ,        28.20,                 42542984.30,1513122
,AKZOINDIA,EQ,      1847.00,                  9497661.30,5138
,ALANKIT,EQ,        24.50,                 32476003.35,1332874
,ALBERTDAVD,EQ,       401.45,                   544016.00,1365
,ALBK,EQ,        43.10,                338021527.75,7977171
,ALCHEM,BE,         5.55,                    18122.15,3188
,ALEMBICLTD,EQ,        39.10,                 21619232.70,559310
,ALICON,EQ,       624.05,                  5140249.50,8313
,ALKALI,EQ,        61.65,                   717262.95,11586
,ALKEM,EQ,      2024.00,                435706071.55,217244
,ALKYLAMINE,EQ,       681.55,                  6579766.25,9648
,ALLCARGO,EQ,       116.85,                 20535638.55,177675
,ALLSEC,EQ,       271.45,                  2330945.00,8926
,ALMONDZ,EQ,        28.80,                   147189.55,5106
,ALOKTEXT,BE,         3.55,                  1108817.65,312343
,ALPA,EQ,        25.40,                   513736.40,20489
,ALPHAGEO,EQ,       658.80,                  3104266.50,4727
,ALPSINDUS,BE,         2.25,                    17358.95,7981
,AMARAJABAT,EQ,       799.55,                476975994.60,596616
,AMBANIORG,ST,        66.25,                   930500.00,14000
,AMBER,EQ,       925.25,                 13544276.95,14672
,AMBIKCO,EQ,      1272.80,                  1139077.25,896
,AMDIND,EQ,        19.70,                   149470.85,7665
,AMJLAND,EQ,        25.35,                   858273.25,34297
,AMRUTANJAN,EQ,       273.05,                   955084.10,3495
,AMTEKAUTO,BZ,         7.15,                  2197825.30,316058
,ANANTRAJ,EQ,        40.60,                 37246748.90,941460
,ANDHRABANK,EQ,        32.00,                191694193.40,6057134
,ANDHRACEMT,EQ,         8.55,                  1977040.00,228580
,ANDHRSUGAR,EQ,       329.25,                  9716823.40,29723
,ANGIND,BE,         2.85,                    12504.75,4321
,ANIKINDS,EQ,        26.60,                   109888.70,4135
,ANKITMETAL,BE,          .65,                      286.65,441
,ANSALAPI,EQ,        16.05,                  2003145.20,128550
,ANSALHSG,EQ,        14.90,                   760415.35,52113
,ANTGRAPHIC,BE,          .50,                    32849.40,72717
,APARINDS,EQ,       613.35,                 12216544.60,19803
,APCL,EQ,       152.15,                   535259.30,3518
,APCOTEXIND,EQ,       555.80,                  4306965.50,7816
,APEX,EQ,       390.85,                 28939187.60,74719
,APLAPOLLO,EQ,      1643.65,                 13181269.95,8020
,APLLTD,EQ,       553.30,                 34777748.55,62826
,APOLLO,EQ,       139.20,                  7659176.00,55470
,APOLLOHOSP,EQ,       939.40,                447808378.70,475690
,APOLLOTYRE,EQ,       274.35,                718848867.00,2616286
,APOLSINHOT,EQ,      1262.80,                   306198.60,243
,APTECHT,EQ,       248.85,                 73092359.85,293335
,ARCHIDPLY,EQ,        56.35,                  2017535.10,36647
,ARCHIES,EQ,        28.85,                  1440194.00,49907
,ARCOTECH,EQ,        13.40,                  3306371.25,244598
