,19-Jul-2018
The Nifty witnessed an intraday movement of about 71.05 points.The closing index was 0.21 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 27888.39
, Traded Quantity (in Lakhs), 13560.73
, Number of Trades, 10517502
, Total Market Capitalisation (Rs. Crores), 14422039.46

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AKSHARCHEM,EQ,       497.25,                  5920650.80,12055
,AKSHOPTFBR,EQ,        25.90,                 16367656.10,626826
,AKZOINDIA,EQ,      1835.95,                  4276131.30,2318
,ALANKIT,EQ,        23.95,                 24589235.00,1023619
,ALBERTDAVD,EQ,       383.20,                   444878.40,1165
,ALBK,EQ,        41.15,                270817694.30,6589650
,ALCHEM,BE,         5.70,                    44047.80,7725
,ALEMBICLTD,EQ,        36.35,                  7697964.90,209405
,ALICON,EQ,       582.15,                   520116.30,885
,ALKALI,EQ,        60.00,                    79529.70,1313
,ALKEM,EQ,      1843.30,                 27720230.20,15130
,ALKYLAMINE,EQ,       649.90,                  1056139.95,1628
,ALLCARGO,EQ,       108.90,                 23752280.05,215517
,ALLSEC,EQ,       250.75,                  1775341.25,7053
,ALMONDZ,BE,        29.90,                   149997.70,5067
,ALOKTEXT,BE,         3.40,                  2255138.40,663276
,ALPA,EQ,        25.05,                    68070.80,2691
,ALPHAGEO,EQ,       647.50,                  5372931.75,8286
,ALPSINDUS,BE,         2.00,                    24526.00,12263
,AMARAJABAT,EQ,       762.40,                198019505.20,258354
,AMBANIORG,ST,        66.65,                  7052500.00,106000
,AMBER,EQ,       921.55,                  5174985.55,5583
,AMBIKCO,EQ,      1268.60,                  1286112.45,1016
,AMDIND,EQ,        19.85,                    31676.60,1598
,AMJLAND,EQ,        24.70,                   544059.75,22037
,AMJUMBO,SM,        73.90,                   725200.00,10000
,AMRUTANJAN,EQ,       274.30,                  6714636.40,24419
,AMTEKAUTO,BZ,         7.50,                  1331203.60,173882
,ANANTRAJ,EQ,        36.75,                 19669462.80,537423
,ANDHRABANK,EQ,        30.15,                183482981.65,6045485
,ANDHRACEMT,EQ,         8.30,                   827732.15,101714
,ANDHRSUGAR,EQ,       316.50,                  2531366.45,7959
,ANGIND,BE,         2.80,                    17192.60,6147
,ANIKINDS,BE,        27.20,                    34398.20,1266
,ANKITMETAL,BE,          .70,                     2263.80,3234
,ANSALAPI,EQ,        15.00,                   775327.60,51789
,ANSALHSG,EQ,        13.95,                   193077.95,13822
,ANTGRAPHIC,BE,          .55,                    14540.55,28819
,APARINDS,EQ,       607.60,                  2149238.20,3516
,APCL,EQ,       144.45,                   464907.00,3195
,APCOTEXIND,EQ,       530.30,                  1374777.45,2591
,APEX,EQ,       337.85,                 37458639.40,109580
,APLAPOLLO,EQ,      1641.80,                 22258180.10,13598
,APLLTD,EQ,       514.60,                158039165.40,306555
,APOLLO,EQ,       135.55,                  5396314.70,39007
,APOLLOHOSP,EQ,       953.95,                381681843.90,402078
,APOLLOTYRE,EQ,       279.75,                723068265.45,2616046
,APOLSINHOT,EQ,      1252.75,                   187208.90,147
,APTECHT,EQ,       240.30,                 54074428.00,225508
,ARCHIDPLY,EQ,        50.10,                   791854.85,15690
,ARCHIES,BE,        26.55,                  1200363.65,44802
,ARCOTECH,EQ,        13.20,                  3116469.70,236068
,ARIES,EQ,        98.85,                  3978523.40,39992
,ARIHANT,EQ,        33.80,                    10006.10,296
,ARIHANTSUP,EQ,        70.95,                  4860720.05,68579
,ARMANFIN,BE,       336.20,                   566361.45,1633
,AROGRANITE,EQ,        52.20,                   632808.80,11912
,ARROWGREEN,EQ,       130.90,                 11667030.95,90493
,ARROWTEX,EQ,        27.50,                   218241.65,7914
,ARSHIYA,EQ,        52.45,                  1195196.25,22874
,ARSSINFRA,BE,        18.20,                   122197.30,6714
,ARTNIRMAN,SM,        23.50,                   282000.00,12000
