,03-Jul-2018
The Nifty witnessed an intraday movement of about 83.05 points.The closing index was 0.4 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 24545.32
, Traded Quantity (in Lakhs), 11565.3
, Number of Trades, 9553684
, Total Market Capitalisation (Rs. Crores), 14317945.13

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AJMERA,EQ,       206.55,                  9105870.80,43921
,AKSHARCHEM,EQ,       538.35,                   851496.50,1570
,AKSHOPTFBR,EQ,        25.35,                 11759000.30,462985
,AKZOINDIA,EQ,      1870.70,                  9661031.45,5185
,ALANKIT,EQ,        28.30,                 25309824.15,903735
,ALBERTDAVD,EQ,       432.35,                   514814.80,1194
,ALBK,EQ,        41.20,                207000187.50,5032937
,ALCHEM,BE,         6.20,                     5373.90,871
,ALEMBICLTD,EQ,        39.35,                 18129090.15,459608
,ALICON,EQ,       590.50,                   356623.65,604
,ALKALI,EQ,        62.55,                    41988.30,670
,ALKEM,EQ,      1894.90,                 39833202.90,21583
,ALKYLAMINE,EQ,       629.40,                  1675418.00,2646
,ALLCARGO,EQ,       111.25,                187325669.00,1698565
,ALLSEC,EQ,       268.15,                  8048575.35,29866
,ALMONDZ,BE,        31.80,                    37979.85,1199
,ALOKTEXT,BE,         4.25,                  4081105.00,960260
,ALPA,EQ,        25.90,                    70373.85,2737
,ALPHAGEO,EQ,       595.50,                  5921862.60,9992
,ALPSINDUS,BE,         1.95,                     5300.75,2791
,AMARAJABAT,EQ,       762.35,                302467238.05,401035
,AMBER,EQ,      1020.25,                135158409.10,135941
,AMBIKCO,EQ,      1286.30,                 12596660.20,9698
,AMDIND,EQ,        21.90,                    68165.35,3173
,AMJLAND,EQ,        26.75,                  9437366.70,339672
,AMJUMBO,SM,        74.00,                   148000.00,2000
,AMRUTANJAN,EQ,       273.20,                  1049524.70,3844
,AMTEKAUTO,BZ,         8.70,                   949453.60,111154
,ANANTRAJ,EQ,        38.30,                 11179421.00,294292
,ANDHRABANK,EQ,        32.20,                136095609.35,4234054
,ANDHRACEMT,EQ,         8.95,                   312778.50,34827
,ANDHRSUGAR,EQ,       332.30,                  4720384.70,14170
,ANGIND,BE,         3.20,                     1513.60,473
,ANIKINDS,BE,        29.10,                    97662.65,3265
,ANKITMETAL,BE,         1.00,                     4000.00,4000
,ANSALAPI,EQ,        17.00,                   923651.20,54438
,ANSALHSG,EQ,        15.00,                   238202.95,16221
,ANTGRAPHIC,BE,          .60,                     2422.20,4122
,APARINDS,EQ,       659.20,                  1193552.20,1817
,APCL,EQ,       150.30,                   232203.50,1546
,APCOTEXIND,EQ,       508.85,                   496245.50,978
,APEX,EQ,       381.15,                 27795793.60,72753
,APLAPOLLO,EQ,      1600.40,                 29615104.35,18584
,APLLTD,EQ,       532.30,                 83415505.30,157509
,APOLLO,EQ,       149.55,                  3064832.05,20494
,APOLLOHOSP,EQ,      1063.80,                568171850.90,536081
,APOLLOTYRE,EQ,       251.65,                487683524.70,1929833
,APOLSINHOT,EQ,      1391.55,                   421041.35,305
,APTECHT,EQ,       243.10,                 54972913.70,226929
,ARCHIDPLY,EQ,        60.45,                  1100049.15,18564
,ARCHIES,BE,        27.70,                   232531.95,8487
,ARCOTECH,EQ,        14.35,                  2416214.65,166305
,ARIES,EQ,       122.75,                  1889040.50,15438
,ARIHANT,EQ,        36.05,                     1100.15,31
,ARIHANTSUP,EQ,        69.05,                  5917889.05,84094
,ARMANFIN,BE,       334.05,                   685853.50,2060
,AROGRANITE,EQ,        57.00,                  1038709.25,18189
,ARROWGREEN,EQ,        89.25,                   212504.25,2381
,ARROWTEX,EQ,        31.30,                    56795.50,1832
,ARSHIYA,EQ,        59.15,                 13749377.65,237385
,ARSSINFRA,BE,        26.75,                   133762.95,5012
,ARVIND,EQ,       390.50,                212819600.50,543808
,ARVSMART,EQ,       158.30,                  1034419.60,6561
,ASAHIINDIA,EQ,       330.10,                  3881268.60,11759
,ASAHISONG,EQ,       247.95,                   181156.70,735
,ASAL,EQ,        56.40,                  1117852.05,20763
,ASHAPURMIN,EQ,        42.75,                  2807271.35,65195
,ASHIANA,EQ,       135.15,                  2170301.55,16138
,ASHIMASYN,EQ,        19.95,                   608036.80,30377
,ASHOKA,EQ,       231.60,                 29374684.45,126864
,ASIANHOTNR,EQ,       240.05,                    63528.40,263
,ASIANTILES,EQ,       285.65,                 28591240.45,99371
,ASLIND,SM,        22.90,                   459800.00,20000
,ASPINWALL,EQ,       273.30,                   116887.55,437
,ASSAMCO,EQ,         2.75,                   321287.00,116167
,ASTEC,EQ,       641.15,                 18194772.20,28640
,ASTERDM,EQ,       168.50,                  4079819.10,24468
,ASTRAL,EQ,       980.70,                 30033778.70,30593
,ASTRAMICRO,EQ,       101.90,                 67449599.20,665677
,ASTRAZEN,EQ,      1444.35,                 61768636.20,42737
,ASTRON,EQ,       106.50,                  2632664.10,24723
,ATFL,EQ,       659.30,                  5346366.80,8057
,ATLANTA,EQ,        41.40,                 18965839.15,456554
,ATLASCYCLE,BE,       124.90,                   194778.60,1560
,ATUL,EQ,      2694.40,                  5364049.45,2004
,ATULAUTO,EQ,       390.90,                  6252208.50,16146
,AUBANK,EQ,       670.60,                 61528855.10,91579
,AURDIS,SM,        20.90,                    41800.00,2000
,AURIONPRO,EQ,       200.00,                  3146192.30,15599
,AUSOMENT,EQ,        67.75,                   164358.35,2423
,AUTOAXLES,EQ,      1176.90,                 10242433.40,8656
,AUTOIND,EQ,        64.60,                   383716.25,5883
,AUTOLITIND,EQ,        57.05,                   421427.30,7337
,AVADHSUGAR,EQ,       323.70,                  2109275.30,6516
,AVANTIFEED,EQ,       483.05,                642131043.25,1326493
,AVTNPL,EQ,        33.70,                  3174665.10,96387
,AXISCADES,EQ,       105.50,                 20005761.80,191455
,AXISGOLD,EQ,      2680.00,                   181688.35,68
,AYMSYNTEX,EQ,        48.05,                  1016684.65,20930
,BAFNAPHARM,EQ,        22.15,                   141918.70,6361
,BAGFILMS,EQ,         4.30,                   287677.85,65881
,BAJAJCORP,EQ,       401.65,                  2669612.10,6662
,BAJAJELEC,EQ,       525.65,                219857937.25,418657
,BAJAJHIND,EQ,         6.50,                  9296778.05,1421939
,BAJAJHLDNG,EQ,      2895.90,                 47337104.85,16455
,BALAJITELE,EQ,       118.15,                  3666820.90,31298
,BALAMINES,EQ,       538.85,                  7546656.65,14222
,BALKRISHNA,EQ,        69.45,                    92580.80,1336
,BALKRISIND,EQ,      1082.55,                486027566.65,454025
,BALLARPUR,EQ,        10.15,                  5240307.55,513387
,BALMLAWRIE,EQ,       211.85,                  3859987.85,18254
,BALPHARMA,EQ,        77.60,                  1117417.30,14406
,BALRAMCHIN,EQ,        62.60,                199702257.35,3208931
,BANARBEADS,EQ,        41.50,                    31900.15,747
,BANARISUG,EQ,      1475.05,                   166645.80,113
,BANCOINDIA,EQ,       201.65,                  5244168.50,26050
,BANDHANBNK,EQ,       559.25,                375112761.05,679896
,BANG,EQ,        53.05,                  2872347.70,54424
,BANKBEES,EQ,      2662.82,                 11672254.73,4382
,BANKINDIA,EQ,        86.95,                431788502.45,4944188
,BANSAL,SM,       128.55,                  4471000.00,35000
,BANSWRAS,EQ,        87.75,                   201381.30,2312
,BARTRONICS,BE,         9.80,                   358783.10,36891
,BASF,EQ,      1892.00,                  4611308.85,2425
,BASML,EQ,       204.75,                   155102.80,757
,BATAINDIA,EQ,       835.85,               1042659302.55,1238170
