,06-Jul-2018
The Nifty witnessed an intraday movement of about 81.3 points.The closing index was 0.21 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 28712.09
, Traded Quantity (in Lakhs), 12435.38
, Number of Trades, 10248840
, Total Market Capitalisation (Rs. Crores), 14403906.25

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AKSHARCHEM,EQ,       534.65,                   656057.05,1225
,AKSHOPTFBR,EQ,        29.25,                 97865659.20,3420369
,AKZOINDIA,EQ,      1877.10,                  6856881.25,3648
,ALANKIT,EQ,        25.15,                 22376273.75,872791
,ALBERTDAVD,EQ,       445.20,                  2356097.85,5314
,ALBK,EQ,        42.50,                208989470.25,4957713
,ALCHEM,BE,         6.15,                    38367.70,6450
,ALEMBICLTD,EQ,        39.50,                 12427213.90,312130
,ALICON,EQ,       596.00,                   585580.45,985
,ALKALI,EQ,        66.35,                    95597.90,1435
,ALKEM,EQ,      1880.05,                126868646.25,67455
,ALKYLAMINE,EQ,       630.95,                   900486.65,1426
,ALLCARGO,EQ,       115.50,                 20210544.30,174763
,ALLSEC,EQ,       270.85,                   778524.40,2865
,ALMONDZ,BE,        32.35,                    22992.20,740
,ALOKTEXT,BE,         4.85,                  3156903.80,650908
,ALPA,EQ,        26.25,                   319634.80,12296
,ALPHAGEO,EQ,       592.55,                  8349770.05,14223
,ALPSINDUS,BE,         2.15,                     7918.85,3923
,AMARAJABAT,EQ,       776.60,                264041243.05,338093
,AMBER,EQ,      1028.15,                 24985081.20,24367
,AMBIKCO,EQ,      1289.65,                  3250834.65,2509
,AMDIND,EQ,        21.00,                    32744.80,1526
,AMJLAND,EQ,        26.95,                  2003779.20,73649
,AMRUTANJAN,EQ,       270.90,                  2359282.30,8641
,AMTEKAUTO,BZ,         8.55,                  1417720.35,166339
,ANANTRAJ,EQ,        38.10,                 15801091.90,415314
,ANDHRABANK,EQ,        32.35,                140318981.85,4363585
,ANDHRACEMT,EQ,         8.90,                   375615.35,41956
,ANDHRSUGAR,EQ,       346.80,                  8965992.75,26189
,ANGIND,BE,         3.00,                    31970.30,10897
,ANIKINDS,BE,        29.00,                   147989.70,5057
,ANSALAPI,EQ,        16.30,                   735622.85,44955
,ANSALHSG,EQ,        14.60,                   264669.40,18170
,ANTGRAPHIC,BE,          .55,                    10716.25,21304
,APARINDS,EQ,       648.95,                  4343225.90,6686
,APCL,EQ,       152.30,                   112659.45,741
,APCOTEXIND,EQ,       515.70,                  2298011.05,4461
,APEX,EQ,       382.50,                 27641290.15,72320
,APLAPOLLO,EQ,      1688.45,                 28298089.00,16836
,APLLTD,EQ,       519.40,                 10094135.00,19292
,APOLLO,EQ,       146.55,                  3307640.35,22482
,APOLLOHOSP,EQ,      1016.75,                805725433.35,777700
,APOLLOTYRE,EQ,       261.50,                929909178.75,3592025
