,04-Jul-2018
The Nifty witnessed an intraday movement of about 99.4 points.The closing index was 0.65 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 25099.64
, Traded Quantity (in Lakhs), 10985.44
, Number of Trades, 9092612
, Total Market Capitalisation (Rs. Crores), 14370714.3

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AKASH,SM,        58.00,                    58000.00,1000
,AKSHARCHEM,EQ,       535.70,                   694604.80,1293
,AKSHOPTFBR,EQ,        25.35,                  8270005.65,327438
,AKZOINDIA,EQ,      1876.60,                  2557861.70,1364
,ALANKIT,EQ,        26.90,                 17956407.35,656691
,ALBERTDAVD,EQ,       444.55,                  2774542.75,6207
,ALBK,EQ,        40.90,                154649246.75,3784225
,ALCHEM,BE,         6.00,                    14758.00,2419
,ALEMBICLTD,EQ,        40.70,                 27003538.95,660888
,ALICON,EQ,       580.80,                   242046.60,418
,ALKALI,EQ,        63.60,                   134181.95,2135
,ALKEM,EQ,      1868.15,                 22471619.00,11980
,ALKYLAMINE,EQ,       626.60,                  1940702.55,3151
,ALLCARGO,EQ,       117.30,                153516502.35,1332958
,ALLSEC,EQ,       269.10,                  1603355.85,5982
,ALMONDZ,BE,        31.05,                   119430.80,3826
,ALOKTEXT,BE,         4.45,                  3632891.00,816380
,ALPA,EQ,        26.15,                   619445.60,23531
,ALPHAGEO,EQ,       562.85,                 31571737.45,54632
,ALPSINDUS,BE,         2.00,                     9542.00,4846
,AMARAJABAT,EQ,       777.00,                346133241.90,446982
,AMBER,EQ,      1031.50,                112066392.85,109038
,AMBIKCO,EQ,      1297.90,                  2745818.30,2121
,AMDIND,EQ,        21.30,                    50507.95,2315
,AMJLAND,EQ,        26.40,                  5070532.45,193723
,AMRUTANJAN,EQ,       270.30,                  2852659.65,10556
,AMTEKAUTO,BZ,         8.35,                  1996553.90,233772
,ANANTRAJ,EQ,        38.05,                 15959844.30,423264
,ANDHRABANK,EQ,        31.95,                 99998165.80,3138403
