symbol,date,underlying_close_price,underlying_previous_close_price,underlying_log_returns,previous_day_underlying_volatility,current_day_underlying_daily_volatility,underlying_annualised_volatility
ABB,2015-08-13,1286.10,1327.80,-0.0319,0.0163,,0.3362
ADANIPORTS,2015-08-13,334.70,322.20,0.0381,0.0190,,0.3936
BEL,2015-08-13,3758.05,3730.00,0.0075,0.0195,,0.3630
BOSCHLTD,2015-08-13,24939.10,25491.30,-0.0219,0.0200,,0.3840
CUMMINSIND,2015-08-13,1151.65,1128.40,0.0204,0.0316,,0.5923
DLF,2015-08-13,114.25,117.10,-0.0246,0.0355,,0.6668
HINDALCO,2015-08-13,90.80,95.90,-0.0546,0.0267,,0.5560
INDHOTEL,2015-08-13,92.80,92.70,0.0011,0.0147,,0.2732
LT,2015-08-13,1760.15,1762.50,-0.0013,0.0139,,0.2579
MANAPPURAM,2015-08-13,23.40,24.05,-0.0274,0.0258,,0.4948
MARUTI,2015-08-13,4492.85,4447.40,0.0102,0.0106,,0.2025
PGEL,2015-08-13,144.10,148.35,-0.0291,0.0705,,1.3125
SBIN,2015-08-13,259.30,256.35,0.0114,0.0254,,0.4738
SUZLON,2015-08-13,24.35,23.95,0.0166,0.0401,,0.7470
TRENT,2015-08-13,1298.80,1307.95,-0.0070,0.0208,,0.3859
