symbol,date,underlying_close_price,underlying_previous_close_price,underlying_log_returns,previous_day_underlying_volatility,current_day_underlying_daily_volatility,underlying_annualised_volatility
ABB,2012-12-24,690.50,688.35,0.0031,0.0094,,0.1739
ADANIPORTS,2012-12-24,135.35,135.65,-0.0022,0.0261,,0.4834
BEL,2012-12-24,1193.05,1184.90,0.0069,0.0116,,0.2178
BOSCHLTD,2012-12-24,9202.55,9134.05,0.0075,0.0071,,0.1356
CUMMINSIND,2012-12-24,500.70,505.60,-0.0097,0.0103,,0.1968
DLF,2012-12-24,223.40,219.45,0.0178,0.0191,,0.3630
HINDALCO,2012-12-24,129.10,129.30,-0.0015,0.0213,,0.3955
INDHOTEL,2012-12-24,63.60,63.30,0.0047,0.0176,,0.3267
LT,2012-12-24,1585.30,1590.10,-0.0030,0.0118,,0.2197
MANAPPURAM,2012-12-24,34.70,34.85,-0.0043,0.0242,,0.4490
MARUTI,2012-12-24,1478.90,1504.90,-0.0174,0.0123,,0.2426
PGEL,2012-12-24,328.60,328.60,0.0000,0.0248,,0.4585
SBIN,2012-12-24,2331.30,2334.45,-0.0014,0.0142,,0.2636
SUZLON,2012-12-24,17.90,18.25,-0.0194,0.0249,,0.4700
TRENT,2012-12-24,1210.85,1196.85,0.0116,0.0185,,0.3477
