symbol,series,date,open,high,low,close,last,previous_close,volume,value,trades,isin
ABB,EQ,2023-05-23,3894.95,3967.95,3872.3,3912.75,3905,3893.2,279818,1096802792.95,31517,INE117A01022
ADANIPORTS,EQ,2023-05-23,744.3,785.65,730,734.05,735,729.7,39497528,29883221401.3,569760,INE742F01042
BEL,EQ,2023-05-23,110.95,111.05,107.75,107.9,107.9,110.45,15214733,1655996324.95,59604,INE263A01024
BOSCHLTD,EQ,2023-05-23,18835,19034.55,18792.75,18854.55,18822.05,18830.2,17174,325347064.9,7380,INE323A01026
CUMMINSIND,EQ,2023-05-23,1669.5,1705,1669.45,1684.7,1684,1666.55,643307,1085116605.8,29152,INE298A01020
DIXON,EQ,2023-05-23,3267.4,3305,3165.1,3275.65,3259,3231.55,929896,3019704988.35,61152,INE935N01020
DLF,EQ,2023-05-23,479.8,480.5,465.9,467.85,468.4,478.15,3818677,1801286293.05,57756,INE271C01023
DMART,EQ,2023-05-23,3425.5,3445,3420.6,3432.95,3434.65,3425.1,168585,578621998.65,26744,INE192R01011
HAL,EQ,2023-05-23,3104,3128.55,3042,3046.4,3054,3099.3,748943,2303075512.7,44068,INE066F01012
HINDALCO,EQ,2023-05-23,409.2,413.8,406.9,410.3,409.95,407.7,3690618,1517077228.6,59567,INE038A01020
INDHOTEL,EQ,2023-05-23,372,375.95,368.4,371,371,371.2,3058696,1134801411.35,35207,INE053A01029
INDIGO,EQ,2023-05-23,2290.05,2299,2258.05,2277.2,2265,2290.05,635920,1449189327.4,25530,INE646L01027
LT,EQ,2023-05-23,2225.6,2228.6,2194,2197.65,2196,2216.6,2265389,4991800513,148396,INE018A01030
MANAPPURAM,EQ,2023-05-23,108.8,111.8,108.35,111.05,111.35,109.25,8626906,954916100.1,29192,INE522D01027
MARUTI,EQ,2023-05-23,9169,9235,9156.75,9200.7,9190,9156.65,269008,2475207117.8,31647,INE585B01010
PAYTM,EQ,2023-05-23,709,723,705.1,720,718.5,706.65,2468027,1762426545.7,63990,INE982J01020
PGEL,EQ,2023-05-23,1472.2,1490,1449,1466.25,1460,1450.5,44439,65327338,4814,INE457L01011
SBIN,EQ,2023-05-23,578.9,583.7,576.8,581.6,580.3,577.15,16120548,9360557915.4,154666,INE062A01020
SUZLON,EQ,2023-05-23,9.45,9.65,9.15,9.45,9.5,9.25,161014013,1516180151.2,55196,INE040H01021
TRENT,EQ,2023-05-23,1499.9,1511.95,1493.15,1503.65,1503,1496.25,368971,554415869.75,20192,INE849A01020
