symbol,series,date,quantity_traded,deliverable_quantity,delivery_pct
ABB,EQ,2009-11-09,278756,142946,51.28
BEL,EQ,2009-11-09,16491,7083,42.95
BOSCHLTD,EQ,2009-11-09,3072,2351,76.53
CUMMINSIND,EQ,2009-11-09,61711,30058,48.71
DLF,EQ,2009-11-09,12220836,1211913,9.92
HINDALCO,EQ,2009-11-09,5037560,1712332,33.99
INDHOTEL,EQ,2009-11-09,4016532,1625356,40.47
INDHOTEL,N4,2009-11-09,172,100,58.14
LT,EQ,2009-11-09,1347263,445316,33.05
MARUTI,EQ,2009-11-09,661927,336407,50.82
SBIN,EQ,2009-11-09,2964760,877627,29.60
SUZLON,EQ,2009-11-09,48998661,6634850,13.54
TRENT,EQ,2009-11-09,105126,87368,83.11
TRENT,N1,2009-11-09,170,170,100.00
TRENT,W1,2009-11-09,1252,1232,98.40
