symbol,series,date,quantity_traded,deliverable_quantity,delivery_pct
ABB,EQ,2023-09-18,105351,42088,39.95
ADANIPORTS,EQ,2023-09-18,2801202,1102404,39.35
BEL,EQ,2023-09-18,51859825,19750783,38.08
BOSCHLTD,EQ,2023-09-18,16545,10607,64.11
CUMMINSIND,EQ,2023-09-18,615598,371950,60.42
DIXON,EQ,2023-09-18,275779,116097,42.10
DLF,EQ,2023-09-18,1494139,472546,31.63
DMART,EQ,2023-09-18,114208,55900,48.95
HAL,EQ,2023-09-18,1472484,496928,33.75
HINDALCO,EQ,2023-09-18,6238600,2798682,44.86
INDHOTEL,EQ,2023-09-18,1821991,630289,34.59
INDIGO,EQ,2023-09-18,590695,374501,63.40
LT,EQ,2023-09-18,736631,492362,66.84
MANAPPURAM,EQ,2023-09-18,5281561,3219016,60.95
MARUTI,EQ,2023-09-18,430213,273924,63.67
PAYTM,EQ,2023-09-18,1789388,878071,49.07
PGEL,EQ,2023-09-18,13952,5829,41.78
SBIN,EQ,2023-09-18,19305055,6299800,32.63
SUZLON,EQ,2023-09-18,142270040,71239444,50.07
TRENT,EQ,2023-09-18,323336,141551,43.78
