symbol,date,underlying_close_price,underlying_previous_close_price,underlying_log_returns,previous_day_underlying_volatility,current_day_underlying_daily_volatility,underlying_annualised_volatility
ABB,2023-10-05,4067.85,3997.50,0.0174,0.0186,0.0186,0.3554
ADANIPORTS,2023-10-05,825.20,824.60,0.0007,0.0258,0.0257,0.4910
BEL,2023-10-05,138.95,138.85,0.0007,0.0187,0.0186,0.3554
BOSCHLTD,2023-10-05,18930.10,18742.40,0.0100,0.0138,0.0137,0.2617
CUMMINSIND,2023-10-05,1690.90,1695.45,-0.0027,0.0163,0.0162,0.3095
DIXON,2023-10-05,5148.10,5216.35,-0.0132,0.0233,0.0233,0.4451
DLF,2023-10-05,525.00,525.80,-0.0015,0.0197,0.0197,0.3764
DMART,2023-10-05,3861.55,3872.90,-0.0029,0.0162,0.0162,0.3095
HAL,2023-10-05,1943.85,1916.25,0.0143,0.0192,0.0192,0.3668
HINDALCO,2023-10-05,470.55,473.40,-0.0060,0.0211,0.0210,0.4012
INDHOTEL,2023-10-05,417.50,406.55,0.0266,0.0189,0.0190,0.3630
INDIGO,2023-10-05,2473.45,2384.95,0.0364,0.0180,0.0182,0.3477
LT,2023-10-05,3096.05,3027.70,0.0223,0.0137,0.0137,0.2617
MANAPPURAM,2023-10-05,141.00,142.15,-0.0081,0.0249,0.0248,0.4738
MARUTI,2023-10-05,10210.25,10130.00,0.0079,0.0136,0.0136,0.2598
PAYTM,2023-10-05,895.15,863.10,0.0365,0.0273,0.0273,0.5216
PGEL,2023-10-05,1774.15,1723.30,0.0291,0.0270,0.0270,0.5158
SBIN,2023-10-05,592.15,586.25,0.0100,0.0151,0.0150,0.2866
SUZLON,2023-10-05,29.57,28.16,0.0489,0.0381,0.0381,0.7279
TRENT,2023-10-05,2047.60,2022.30,0.0124,0.0181,0.0180,0.3439
