symbol,series,date,previous_close,open_price,high_price,low_price,last_price,close_price,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
ABB,EQ,2022-09-27,3002.20,3001.00,3050.00,2968.00,3040.00,3032.75,3014.24,398174,12001.94,30381,202763,50.92
ADANIPORTS,EQ,2022-09-27,863.40,861.00,875.00,833.80,846.50,844.20,851.99,11598728,98820.18,159039,1635195,14.10
BEL,EQ,2022-09-27,100.70,101.25,101.85,98.45,100.25,99.75,99.74,28782718,28707.16,112947,18163446,63.11
BOSCHLTD,EQ,2022-09-27,15855.95,15940.00,16042.00,15695.00,15867.45,15809.25,15817.57,30976,4899.65,5239,17291,55.82
CUMMINSIND,EQ,2022-09-27,1191.80,1189.00,1203.85,1171.85,1196.90,1189.45,1186.55,424561,5037.62,17722,160831,37.88
DIXON,EQ,2022-09-27,4174.05,4219.30,4249.00,4140.00,4230.00,4207.20,4191.21,204930,8589.04,23965,40037,19.54
DLF,EQ,2022-09-27,352.05,352.10,356.90,344.10,350.75,350.75,351.27,5931471,20835.51,58279,1488669,25.10
DMART,EQ,2022-09-27,4375.30,4375.30,4417.50,4270.00,4285.00,4283.20,4318.35,237462,10254.44,31927,106654,44.91
HAL,EQ,2022-09-27,2339.65,2350.00,2364.40,2273.00,2282.00,2282.35,2302.65,949705,21868.34,53910,383966,40.43
HINDALCO,EQ,2022-09-27,373.40,375.30,379.95,365.10,372.70,373.60,371.24,14934966,55444.72,134596,6340097,42.45
INDHOTEL,EQ,2022-09-27,316.30,319.90,330.40,313.70,329.00,327.50,322.53,8422268,27164.02,91802,4072366,48.35
INDIGO,EQ,2022-09-27,1839.25,1849.00,1868.80,1816.00,1840.00,1845.15,1845.57,473796,8744.26,28914,198837,41.97
LT,EQ,2022-09-27,1851.45,1856.00,1864.00,1832.50,1846.00,1841.20,1843.98,1443698,26621.48,78852,867524,60.09
MANAPPURAM,EQ,2022-09-27,92.00,92.50,94.95,91.70,94.35,93.85,93.52,5153379,4819.36,24670,1870949,36.31
MARUTI,EQ,2022-09-27,8834.95,8890.00,8908.95,8670.50,8777.00,8774.05,8773.53,686285,60211.42,89908,255491,37.23
PAYTM,EQ,2022-09-27,657.50,665.00,671.10,657.00,660.90,660.00,662.07,512978,3396.26,17677,119450,23.29
PGEL,EQ,2022-09-27,999.00,978.50,1048.00,978.50,1045.00,1041.65,1024.85,22547,231.07,1501,12442,55.18
SBIN,EQ,2022-09-27,543.30,544.55,550.90,533.20,538.00,536.50,542.40,11066799,60026.26,154979,3862856,34.90
SUZLON,EQ,2022-09-27,8.55,8.70,9.05,8.25,8.35,8.35,8.51,209148145,17807.35,62654,50327338,24.06
TRENT,EQ,2022-09-27,1408.95,1419.40,1443.40,1390.00,1399.00,1396.05,1413.46,599701,8476.55,34729,205576,34.28
