symbol,series,date,quantity_traded,deliverable_quantity,delivery_pct
ABB,EQ,2022-01-31,415951,247441,59.49
ADANIPORTS,EQ,2022-01-31,2152066,563480,26.18
BEL,EQ,2022-01-31,17925420,7502347,41.85
BOSCHLTD,EQ,2022-01-31,9687,3579,36.95
CUMMINSIND,EQ,2022-01-31,234218,110214,47.06
DIXON,EQ,2022-01-31,1138496,285210,25.05
DLF,EQ,2022-01-31,4205414,605077,14.39
DMART,EQ,2022-01-31,478099,274731,57.46
HAL,EQ,2022-01-31,849331,388636,45.76
HINDALCO,EQ,2022-01-31,4846015,2157356,44.52
INDHOTEL,EQ,2022-01-31,7624838,2250831,29.52
INDIGO,EQ,2022-01-31,814981,337828,41.45
LT,EQ,2022-01-31,3161064,1305130,41.29
MANAPPURAM,EQ,2022-01-31,3149967,779461,24.75
MARUTI,EQ,2022-01-31,561419,193611,34.49
PAYTM,EQ,2022-01-31,1609589,293299,18.22
PGEL,EQ,2022-01-31,76970,25162,32.69
SBIN,EQ,2022-01-31,28674232,12500126,43.59
SUZLON,EQ,2022-01-31,16066541,16066541,100.00
TRENT,EQ,2022-01-31,408254,181423,44.44
