symbol,series,date,previous_close,open_price,high_price,low_price,last_price,close_price,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
ABB,EQ,2020-02-26,1200.20,1195.00,1212.35,1190.00,1200.00,1201.40,1202.29,25367,304.99,2002,9992,39.39
ADANIPORTS,EQ,2020-02-26,358.40,356.90,362.50,352.90,357.60,358.40,357.72,4164401,14897.01,40532,2054053,49.32
BEL,EQ,2020-02-26,82.50,82.10,82.70,79.30,80.15,80.30,81.04,6512548,5277.69,24420,1738645,26.70
BOSCHLTD,EQ,2020-02-26,13796.85,13750.00,13834.75,13222.05,13265.85,13290.65,13486.71,14261,1923.34,4940,5287,37.07
CUMMINSIND,EQ,2020-02-26,535.65,535.00,543.50,527.00,532.45,533.35,534.73,415081,2219.55,10044,108559,26.15
DIXON,EQ,2020-02-26,4148.40,4130.00,4147.15,4002.20,4019.90,4041.45,4096.52,47909,1962.60,7895,30594,63.86
DLF,EQ,2020-02-26,216.75,214.85,217.70,210.60,211.80,212.45,214.59,6037598,12956.20,39204,1076660,17.83
DMART,EQ,2020-02-26,2331.75,2326.85,2419.00,2305.05,2344.90,2358.40,2368.75,1302206,30846.02,81536,406752,31.24
HAL,EQ,2020-02-26,714.20,707.00,720.00,700.40,701.20,705.35,709.78,49062,348.23,2969,17428,35.52
HINDALCO,EQ,2020-02-26,174.45,172.95,173.20,167.75,169.85,169.90,169.93,16855158,28641.67,86262,7170275,42.54
INDHOTEL,EQ,2020-02-26,139.90,138.75,141.20,138.00,140.05,140.30,139.94,2288172,3201.99,11471,2012013,87.93
INDIGO,EQ,2020-02-26,1376.90,1365.10,1410.50,1351.10,1397.55,1391.45,1384.13,1545234,21388.08,46429,233494,15.11
LT,EQ,2020-02-26,1242.05,1235.00,1238.00,1206.00,1214.90,1211.15,1219.79,5721483,69790.28,161455,3952254,69.08
MANAPPURAM,EQ,2020-02-26,177.90,176.00,178.75,175.35,176.10,176.20,176.61,4389545,7752.46,20484,1184704,26.99
MARUTI,EQ,2020-02-26,6414.55,6350.00,6368.85,6186.05,6260.00,6234.85,6285.00,1580738,99349.32,116894,784034,49.60
PGEL,EQ,2020-02-26,78.05,79.05,80.90,75.30,78.00,78.25,77.76,84973,66.07,1283,47981,56.47
SBIN,EQ,2020-02-26,326.80,324.85,330.80,324.20,328.15,328.20,327.58,43915281,143859.43,237750,8452992,19.25
SBIN,N2,2020-02-26,11327.40,11349.00,11349.00,11309.00,11311.00,11310.01,11311.06,80,9.05,11,80,100.00
SBIN,N5,2020-02-26,11705.07,11700.00,11720.00,11644.00,11645.00,11662.88,11684.14,820,95.81,70,780,95.12
SUZLON,EQ,2020-02-26,2.85,2.90,3.00,2.70,2.80,2.80,2.80,22030147,617.18,14795,14209622,64.50
TRENT,EQ,2020-02-26,764.10,755.00,762.00,735.00,738.50,738.00,744.96,580129,4321.74,34509,296293,51.07
