symbol,series,date,previous_close,open_price,high_price,low_price,last_price,close_price,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
ABB,EQ,2020-02-06,1338.50,1339.70,1360.95,1324.30,1334.95,1339.45,1341.17,25507,342.09,2070,8232,32.27
ADANIPORTS,EQ,2020-02-06,366.60,370.00,373.20,367.65,370.10,370.20,370.77,4172547,15470.64,27386,2556457,61.27
BEL,EQ,2020-02-06,86.90,87.85,88.00,85.65,87.05,87.00,86.78,10562960,9166.28,33846,3398585,32.17
BOSCHLTD,EQ,2020-02-06,13793.70,13879.00,14198.80,13822.50,14111.15,14111.15,14056.95,21721,3053.31,7559,6663,30.68
CUMMINSIND,EQ,2020-02-06,570.40,573.20,577.00,564.00,566.70,567.70,568.58,360422,2049.28,10050,108752,30.17
DIXON,EQ,2020-02-06,4655.95,4687.90,4798.00,4645.05,4680.00,4664.45,4717.82,36767,1734.60,6942,13532,36.80
DLF,EQ,2020-02-06,253.45,247.00,254.70,243.40,245.90,246.30,248.67,17929026,44584.96,153594,1762855,9.83
DMART,EQ,2020-02-06,2248.90,2255.00,2360.00,2255.00,2288.35,2294.35,2322.98,1760624,40898.90,83237,790445,44.90
HAL,EQ,2020-02-06,812.15,818.80,825.00,800.00,801.10,801.30,812.46,29526,239.89,2215,14119,47.82
HINDALCO,EQ,2020-02-06,196.30,196.40,197.35,192.65,194.00,194.00,194.65,7348886,14304.30,38862,3084697,41.98
INDHOTEL,EQ,2020-02-06,140.15,140.20,142.00,140.20,141.25,141.55,141.10,963024,1358.84,4751,701059,72.80
INDIGO,EQ,2020-02-06,1450.35,1450.00,1458.35,1387.00,1408.00,1404.60,1409.16,1789881,25222.35,43983,870745,48.65
LT,EQ,2020-02-06,1310.05,1322.90,1325.00,1309.05,1317.00,1317.60,1317.41,2354458,31017.77,85894,1201476,51.03
MANAPPURAM,EQ,2020-02-06,168.75,169.65,174.20,168.25,170.65,170.30,171.74,9532629,16370.95,40418,2405067,25.23
MARUTI,EQ,2020-02-06,7040.90,7075.00,7120.35,6976.80,7014.20,7021.60,7040.99,875714,61658.91,66469,359122,41.01
PGEL,EQ,2020-02-06,63.45,64.80,64.80,59.15,64.00,62.95,61.60,295639,182.11,1988,204102,69.04
SBIN,EQ,2020-02-06,311.00,311.20,323.50,310.10,321.05,321.95,318.10,57757656,183729.62,307485,13498509,23.37
SBIN,N2,2020-02-06,11321.00,11321.00,11321.00,11320.00,11320.00,11320.01,11320.36,14,1.58,5,14,100.00
SBIN,N5,2020-02-06,11558.13,11565.00,11584.00,11565.00,11584.00,11584.00,11574.47,288,33.33,46,287,99.65
SBIN,N6,2020-02-06,11350.00,11380.00,11380.00,11321.00,11350.00,11350.00,11337.19,16,1.81,5,16,100.00
SUZLON,EQ,2020-02-06,2.20,2.20,2.30,2.15,2.25,2.25,2.21,9585496,211.79,16021,4583423,47.82
TRENT,EQ,2020-02-06,592.60,596.00,599.00,590.10,592.80,593.10,594.53,160852,956.31,5485,109489,68.07
