symbol,series,date,open,high,low,close,last,previous_close,volume,value,trades,isin
ABB,EQ,2024-03-01,5498,5524.6,5455,5489.85,5489.95,5444.95,345570,1896975853.15,37265,INE117A01022
ADANIPORTS,EQ,2024-03-01,1335,1349,1312.4,1322.1,1324.7,1320.5,3301090,4381461597.8,83641,INE742F01042
BEL,EQ,2024-03-01,205.95,208.05,204.8,205.6,206,205.1,12949604,2670483748.65,71530,INE263A01024
BOSCHLTD,EQ,2024-03-01,28590.85,29350,28590.85,28939.7,29000,28590.85,47200,1369523807.35,15286,INE323A01026
CUMMINSIND,EQ,2024-03-01,2749,2763.35,2717.8,2726.15,2730,2738.65,431838,1183859999.9,39497,INE298A01020
DIXON,EQ,2024-03-01,6719,7022,6680,7004.95,7005,6683.85,644248,4457175972.2,75492,INE935N01020
DLF,EQ,2024-03-01,902,917,901.2,909.9,916,901.2,2562306,2323194319,73850,INE271C01023
DMART,EQ,2024-03-01,3925,3936.75,3867,3884.15,3896.25,3918.9,261674,1016866927.85,36865,INE192R01011
HAL,EQ,2024-03-01,3099,3164,3092,3154.3,3152,3084.05,1516443,4755865609.1,92380,INE066F01020
HINDALCO,EQ,2024-03-01,510,522.5,510,519.1,518.9,503.85,9882296,5111277101.6,115600,INE038A01020
INDHOTEL,EQ,2024-03-01,589.9,594.9,585.1,589.25,589.35,586.7,4153999,2448406083.25,45198,INE053A01029
INDIGO,EQ,2024-03-01,3155.4,3171.75,3130.3,3157.35,3156.4,3155.35,210443,662865237.7,19965,INE646L01027
LT,EQ,2024-03-01,3501.65,3658.35,3500,3633.5,3628.85,3477.55,4407803,15843845019.95,274913,INE018A01030
MANAPPURAM,EQ,2024-03-01,177.5,180.95,176.95,179.95,180.2,176.2,4689421,840832503.95,27678,INE522D01027
MARUTI,EQ,2024-03-01,11295,11675,11295,11620.95,11635.15,11288.35,487355,5616427564.25,79404,INE585B01010
PAYTM,EQ,2024-03-01,416.1,423.45,413.2,423.45,423.45,403.3,4664243,1963260254.65,70399,INE982J01020
PGEL,EQ,2024-03-01,1840.9,1849.95,1822.85,1833.1,1826.25,1816.35,19646,36077835.4,3473,INE457L01011
SBIN,EQ,2024-03-01,752,772,751.95,769.15,770,748.1,17348526,13240413220.45,309262,INE062A01020
TRENT,EQ,2024-03-01,3924,3928.95,3858.35,3901.25,3893.6,3881.8,645099,2511734298.05,83554,INE849A01020
