symbol,date,underlying_close_price,underlying_previous_close_price,underlying_log_returns,previous_day_underlying_volatility,current_day_underlying_daily_volatility,underlying_annualised_volatility
ABB,2011-09-07,858.10,848.25,0.0115,0.0165,,0.3095
BEL,2011-09-07,1619.30,1597.95,0.0133,0.0161,,0.3038
BOSCHLTD,2011-09-07,7371.35,7411.95,-0.0055,0.0123,,0.2293
CUMMINSIND,2011-09-07,612.45,596.35,0.0266,0.0176,,0.3496
DLF,2011-09-07,203.95,198.70,0.0261,0.0374,,0.7031
HINDALCO,2011-09-07,159.90,155.55,0.0276,0.0275,,0.5254
INDHOTEL,2011-09-07,73.55,72.15,0.0192,0.0156,,0.3019
LT,2011-09-07,1680.05,1644.30,0.0215,0.0208,,0.3974
MANAPPURAM,2011-09-07,56.85,57.65,-0.0140,0.0470,,0.8731
MARUTI,2011-09-07,1126.40,1102.95,0.0210,0.0170,,0.3305
SBIN,2011-09-07,2027.75,1979.70,0.0240,0.0192,,0.3725
SUZLON,2011-09-07,41.35,40.35,0.0245,0.0410,,0.7680
TRENT,2011-09-07,1166.70,1122.05,0.0390,0.0191,,0.3974
