,26-Mar-2018
The Nifty witnessed an intraday movement of about 184.95 points.The closing index was 1.33 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 31018.64
, Traded Quantity (in Lakhs), 17008.57
, Number of Trades, 10558288
, Total Market Capitalisation (Rs. Crores), 13936458.65

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AKSHARCHEM,EQ,       594.30,                 10134793.75,16962
,AKSHOPTFBR,EQ,        30.40,                 40122649.50,1330110
,AKZOINDIA,EQ,      1772.20,                 23480566.20,13348
,ALANKIT,EQ,        43.55,                 16469302.80,378160
,ALBERTDAVD,BE,       364.75,                  2336265.05,6591
,ALBK,EQ,        48.40,                190568694.30,4022183
,ALCHEM,BE,         8.65,                    86655.05,9916
,ALEMBICLTD,EQ,        55.80,                 28159690.45,517958
,ALICON,EQ,       559.60,                  1849169.45,3298
,ALKALI,EQ,        66.85,                  1327198.50,19609
,ALKEM,EQ,      2063.50,                 25988059.70,12575
,ALKYLAMINE,EQ,       601.70,                  3712033.45,6103
,ALLCARGO,EQ,       149.20,                 43993922.55,299467
,ALLSEC,EQ,       340.45,                  7073369.35,20913
,ALMONDZ,EQ,        23.50,                   316128.70,13531
,ALOKTEXT,EQ,         2.75,                 24492875.65,8693532
,ALPA,EQ,        37.35,                  1000437.70,26802
,ALPHAGEO,EQ,       713.25,                 14562388.90,20143
,ALPSINDUS,BE,         3.30,                    48483.75,14235
,AMARAJABAT,EQ,       784.25,                210800234.40,270406
,AMBER,EQ,      1073.65,                 95581717.20,88550
,AMBIKCO,EQ,      1279.30,                  4328722.45,3383
,AMDIND,BE,        27.90,                  1499759.65,53586
,AMJLAND,EQ,        23.20,                   340438.50,14672
,AMJUMBO,SM,        65.50,                   131000.00,2000
,AMRUTANJAN,EQ,       544.05,                  7370969.75,13546
,AMTEKAUTO,EQ,        21.40,                 22070856.15,1029680
,ANANTRAJ,EQ,        48.65,                 60660969.55,1266812
,ANDHRABANK,EQ,        41.35,                615866738.35,15399462
,ANDHRACEMT,EQ,         9.40,                  3386113.25,355862
,ANDHRSUGAR,EQ,       396.15,                 25190009.65,63754
,ANGIND,BE,         4.75,                    21288.40,4450
,ANIKINDS,EQ,        30.75,                   320887.05,10174
,ANSALAPI,EQ,        19.65,                 21399045.85,1089107
,ANSALHSG,EQ,        19.30,                  1324953.25,68883
,ANTGRAPHIC,BE,          .85,                   111326.85,128861
,APARINDS,EQ,       718.30,                 35667274.25,49390
,APCL,EQ,       170.50,                   778446.10,4506
,APCOTEXIND,EQ,       488.20,                  8274690.60,16923
,APEX,EQ,       612.45,                123089611.65,199397
,APLAPOLLO,EQ,      1871.50,                 77605501.60,40983
,APLLTD,EQ,       533.85,                 20142183.90,37687
,APOLLO,EQ,       250.80,                 15744687.40,62247
,APOLLOHOSP,EQ,      1005.05,                185184684.75,184658
,APOLLOTYRE,EQ,       267.65,                536834211.25,2042206
,APOLSINHOT,EQ,      1282.20,                   689265.20,542
,APTECHT,EQ,       280.30,                106975669.70,381525
,ARCHIDPLY,EQ,        76.50,                  5021603.30,65303
,ARCHIES,EQ,        34.05,                  7491112.25,229395
,ARCOTECH,EQ,        35.50,                 71647141.40,1994171
,ARIES,EQ,       177.80,                 10683420.90,59601
,ARIHANTSUP,EQ,       114.50,                 35687235.35,310075
,ARMANFIN,EQ,       314.95,                  1307409.55,4168
,AROGRANITE,EQ,        55.25,                  2803837.55,50882
,ARROWGREEN,EQ,       251.30,                  7771483.85,30575
