,28-Mar-2018
The Nifty witnessed an intraday movement of about 61.45 points.The closing index was 0.69 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 43434.65
, Traded Quantity (in Lakhs), 19753.17
, Number of Trades, 12491763
, Total Market Capitalisation (Rs. Crores), 14044151.54

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AKSHARCHEM,EQ,       594.50,                  6048297.90,10117
,AKSHOPTFBR,EQ,        31.35,                 19314298.90,608822
,AKZOINDIA,EQ,      1789.55,                  8928421.85,4952
,ALANKIT,EQ,        42.50,                  3918898.50,92593
,ALBERTDAVD,BE,       366.15,                   962201.15,2660
,ALBK,EQ,        49.60,                234943141.35,4777092
,ALCHEM,BE,         8.55,                    45988.00,5396
,ALEMBICLTD,EQ,        53.30,                 22144996.95,410563
,ALICON,EQ,       578.85,                   233426.85,405
,ALKALI,EQ,        56.70,                  5761170.60,97964
,ALKEM,EQ,      1988.35,                880489216.85,457372
,ALKYLAMINE,EQ,       594.05,                  2180406.85,3625
,ALLCARGO,EQ,       147.20,                 23667731.60,159981
,ALLSEC,EQ,       331.35,                  3237929.10,9639
,ALMONDZ,EQ,        23.70,                    23212.80,979
,ALOKTEXT,EQ,         2.95,                  4085431.40,1384892
,ALPA,EQ,        38.75,                  1909521.25,49742
,ALPHAGEO,EQ,       750.60,                 36973055.75,47891
,ALPSINDUS,BE,         3.10,                    40658.30,13003
,AMARAJABAT,EQ,       795.00,                285184969.30,357358
,AMBER,EQ,      1069.40,                118296628.15,110231
,AMBIKCO,EQ,      1291.15,                  1887320.55,1459
,AMDIND,BE,        26.95,                   283229.30,10449
,AMJLAND,EQ,        22.95,                   204612.45,8805
,AMRUTANJAN,EQ,       540.70,                  1657658.40,3051
,AMTEKAUTO,EQ,        20.90,                 16985085.55,810792
,ANANTRAJ,EQ,        46.60,                 39772849.60,842762
,ANDHRABANK,EQ,        41.60,                242493371.50,5770081
,ANDHRACEMT,EQ,         9.70,                  2322407.30,245964
,ANDHRSUGAR,EQ,       408.50,                  8015837.80,19609
,ANGIND,BE,         4.45,                    12504.20,2869
,ANIKINDS,EQ,        31.25,                   994656.95,31780
,ANSALAPI,EQ,        19.60,                  5723599.95,291925
,ANSALHSG,EQ,        19.65,                   847927.15,42782
,ANTGRAPHIC,BE,          .90,                   198918.35,216301
,APARINDS,EQ,       728.00,                  3291769.15,4505
,APCL,EQ,       172.45,                  1195061.60,6961
,APCOTEXIND,EQ,       491.35,                  2707058.55,5537
,APEX,EQ,       608.00,                 72507862.30,118334
,APLAPOLLO,EQ,      1986.80,                 34698953.35,17497
,APLLTD,EQ,       548.35,                 16228034.60,29525
,APOLLO,EQ,       245.10,                 18317587.70,73979
,APOLLOHOSP,EQ,      1064.65,                712593167.30,677515
,APOLLOTYRE,EQ,       277.05,                831576915.80,3024236
,APOLSINHOT,EQ,      1257.95,                   443362.75,349
,APTECHT,EQ,       258.90,                196175681.70,745768
,ARCHIDPLY,EQ,        74.70,                  3828188.35,50209
,ARCHIES,EQ,        31.85,                  4308762.10,133405
,ARCOTECH,EQ,        33.60,                 14725031.40,435880
,ARIES,EQ,       174.70,                  6994931.15,39570
,ARIHANTSUP,EQ,       113.45,                 10316650.05,91190
,ARMANFIN,EQ,       313.25,                  2878773.00,9111
,AROGRANITE,EQ,        54.95,                  1182150.40,21386
,ARROWGREEN,EQ,       322.45,                155347583.35,477849
,ARROWTEX,EQ,        33.70,                   893037.25,26313
,ARSHIYA,EQ,        73.00,                  4034664.65,55514
,ARSSINFRA,BE,        43.45,                  1089939.10,25151
,ARVEE,SM,        60.90,                   121800.00,2000
,ARVIND,EQ,       382.95,                748694685.80,1942461
,ARVSMART,EQ,       183.75,                  3908036.00,21296
,ASAHIINDIA,EQ,       332.00,                  8001396.50,24093
,ASAHISONG,EQ,       327.15,                  5031619.45,15311
,ASAL,EQ,        77.85,                  1267336.75,16328
,ASHAPURMIN,EQ,        66.70,                  5625500.50,83547
,ASHIANA,EQ,       152.85,                 12883408.30,84071
,ASHIMASYN,EQ,        25.70,                  2258960.40,87434
,ASHOKA,EQ,       248.45,                239815745.10,969251
,ASIANHOTNR,BE,       300.60,                  3237087.75,11039
,ASIANTILES,EQ,       452.15,                 29900462.25,65991
,ASPINWALL,EQ,       378.45,                  3198459.85,8478
,ASSAMCO,EQ,         4.10,                   715192.55,174354
,ASTEC,EQ,       580.50,                 10648469.55,18446
,ASTERDM,EQ,       169.80,                 79681881.45,467744
,ASTRAL,EQ,       893.15,                 79374988.15,89267
,ASTRAMICRO,EQ,        76.70,                 50230491.85,639402
,ASTRAZEN,EQ,       927.55,                  7780655.50,8308
,ASTRON,EQ,       106.70,                 13476121.35,126551
,ATFL,EQ,       636.05,                 31399396.55,48398
,ATLANTA,EQ,        74.70,                  9729058.60,127737
,ATLASCYCLE,BE,       166.20,                   297771.70,1813
,ATUL,EQ,      2613.40,                 38867111.00,14849
,ATULAUTO,EQ,       441.20,                  7229817.75,16224
,AUBANK,EQ,       618.05,                133067025.65,212413
,AURIONPRO,EQ,       212.20,                  9299969.20,43693
,AUSOMENT,EQ,        68.15,                   463123.45,6769
,AUTOAXLES,EQ,      1448.30,                 26294564.30,17863
,AUTOIND,EQ,        61.10,                  2803221.20,45831
,AUTOLITIND,EQ,        61.10,                   346176.65,5603
,AVADHSUGAR,EQ,       452.15,                 82496231.05,178957
,AVANTIFEED,EQ,      2234.65,                202416271.70,90408
,AVTNPL,EQ,        36.65,                  5402132.05,146242
,AXISCADES,EQ,       137.65,                  8348133.35,59780
,AXISGOLD,EQ,      2678.00,                   230785.35,86
,AXISNIFTY,EQ,      1019.00,                     6114.30,6
,AYMSYNTEX,EQ,        60.70,                  3292553.40,54292
,BAFNAPHARM,EQ,        28.00,                  1680158.15,60021
