,06-Mar-2018
The Nifty witnessed an intraday movement of about 225.45 points.The closing index was 1.06 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 29914.1
, Traded Quantity (in Lakhs), 14268.23
, Number of Trades, 10657239
, Total Market Capitalisation (Rs. Crores), 14231240.11

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AKSHOPTFBR,EQ,        34.50,                 22092069.60,626255
,AKZOINDIA,EQ,      1802.50,                 33965692.15,18673
,ALANKIT,EQ,        51.25,                  6354111.90,119993
,ALBERTDAVD,BE,       376.40,                   584869.95,1539
,ALBK,EQ,        48.80,                170328411.80,3414987
,ALCHEM,BE,        11.00,                    66126.15,6001
,ALEMBICLTD,EQ,        62.35,                 17632855.50,281483
,ALICON,EQ,       609.25,                   369966.15,601
,ALKALI,EQ,        78.50,                  1995290.00,25364
,ALKEM,EQ,      2260.15,                 60702758.15,26947
,ALKYLAMINE,EQ,       600.05,                   742588.35,1222
,ALLCARGO,EQ,       170.40,                 33331916.10,193557
,ALLSEC,EQ,       357.00,                 10540741.65,29312
,ALMONDZ,EQ,        24.25,                   354927.20,14533
,ALOKTEXT,EQ,         3.05,                 15736682.20,5122894
,ALPA,EQ,        41.90,                   761980.00,17972
,ALPHAGEO,EQ,       790.70,                  8079695.30,10132
,ALPSINDUS,EQ,         4.15,                    92196.70,22077
,AMARAJABAT,EQ,       798.70,                205578022.15,254905
,AMBER,EQ,      1122.20,                150390397.85,133122
,AMBIKCO,EQ,      1310.20,                  1956198.05,1484
,AMDIND,EQ,        41.00,                 21718805.75,493230
,AMJLAND,EQ,        25.85,                   172936.25,6657
,AMRUTANJAN,EQ,       562.95,                  1618781.95,2842
,AMTEKAUTO,EQ,        23.15,                  8421273.20,358321
,ANANTRAJ,EQ,        52.95,                 41355656.20,768634
,ANDHRABANK,EQ,        42.65,                146938734.30,3371917
,ANDHRACEMT,EQ,        10.70,                  1143611.65,105558
,ANDHRSUGAR,EQ,       474.50,                 19910256.80,40948
,ANGIND,EQ,         5.65,                    57643.25,10131
,ANIKINDS,EQ,        36.25,                   754709.95,20440
,ANSALAPI,EQ,        21.90,                  1602944.25,73225
,ANSALHSG,EQ,        21.50,                   714968.60,32795
,ANTGRAPHIC,BE,          .85,                    28326.40,34443
,APARINDS,EQ,       770.35,                  5864355.15,7575
,APCL,EQ,       181.90,                  1052717.75,5764
,APCOTEXIND,EQ,       509.75,                  4868250.20,9413
,APEX,EQ,       665.70,                 98497955.60,144531
,APLAPOLLO,EQ,      2003.90,                131777939.35,65539
,APLLTD,EQ,       550.85,                107737471.55,195796
,APOLLO,EQ,       287.75,                 24648045.20,84241
,APOLLOHOSP,EQ,      1160.80,                354257938.10,302547
,APOLLOTYRE,EQ,       258.55,                971284995.50,3745933
,APOLSINHOT,EQ,      1445.90,                  1409688.05,963
,APTECHT,EQ,       305.25,                126912343.25,408640
,ARCHIDPLY,EQ,        91.35,                  4604207.60,50114
,ARCHIES,EQ,        35.20,                  5743182.30,159109
,ARCOTECH,EQ,        41.75,                  6596647.95,155371
,ARIES,EQ,       200.05,                  5701371.55,27960
,ARIHANT,BE,        43.50,                     3572.00,82
,ARIHANTSUP,EQ,       124.95,                 24382238.65,196553
,ARMANFIN,EQ,       348.00,                  7100024.40,20215
,AROGRANITE,EQ,        61.50,                  2364734.35,37578
,ARROWGREEN,EQ,       369.25,                  6536072.15,17370
,ARROWTEX,EQ,        39.50,                   213791.95,5384
,ARSHIYA,EQ,        87.25,                 12503451.75,142513
,ARSSINFRA,BE,        45.45,                   573640.10,12421
,ARVEE,SM,        58.45,                   347800.00,6000
,ARVIND,EQ,       398.25,                648240813.15,1597438
,ARVSMART,EQ,       173.75,                  5865146.80,33351
,ASAHIINDIA,EQ,       337.45,                  6294438.30,18508
,ASAHISONG,EQ,       343.65,                  1971252.05,5667
,ASAL,EQ,        78.30,                   416317.90,5244
,ASHAPURMIN,EQ,        73.10,                  7009262.50,93438
,ASHIANA,EQ,       166.25,                 10662149.35,63164
,ASHIMASYN,EQ,        27.65,                  4701518.00,166822
,ASHOKA,EQ,       225.35,                 33007513.40,146183
,ASIANHOTNR,BE,       274.20,                   553739.40,2018
,ASIANTILES,EQ,       484.75,                 18616449.85,38314
,ASPINWALL,EQ,       407.20,                   679887.25,1652
,ASSAMCO,EQ,         4.75,                   870343.40,183191
