,14-Mar-2018
The Nifty witnessed an intraday movement of about 84.05 points.The closing index was 0.15 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 27629.63
, Traded Quantity (in Lakhs), 15813.61
, Number of Trades, 9205792
, Total Market Capitalisation (Rs. Crores), 14315218.98

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AKZOINDIA,EQ,      1813.45,                 10925288.40,5983
,ALANKIT,EQ,        47.75,                 55894353.35,1170810
,ALBERTDAVD,BE,       374.15,                   481119.05,1295
,ALBK,EQ,        49.75,                378995537.65,7852272
,ALCHEM,BE,        10.70,                    68616.65,6478
,ALEMBICLTD,EQ,        62.15,                 39643170.25,633141
,ALICON,EQ,       583.80,                   821798.50,1424
,ALKALI,EQ,        79.30,                   479872.25,6053
,ALKEM,EQ,      2196.70,                 35621627.25,16194
,ALKYLAMINE,EQ,       619.65,                  1995820.45,3249
,ALLCARGO,EQ,       158.70,                 31750495.40,199540
,ALLSEC,EQ,       355.00,                  4999708.75,14292
,ALMONDZ,EQ,        24.95,                   152842.35,6185
,ALOKTEXT,EQ,         3.00,                 18868583.10,6142273
,ALPA,EQ,        39.75,                   847378.25,21214
,ALPHAGEO,EQ,       765.55,                 24165686.75,31627
,ALPSINDUS,EQ,         4.05,                   139687.30,34800
,AMARAJABAT,EQ,       804.90,                589942485.40,737749
,AMBER,EQ,      1164.00,                 60602949.30,51992
,AMBIKCO,EQ,      1320.70,                  2627173.90,1998
,AMDIND,EQ,        35.50,                  6585760.40,182414
,AMJLAND,EQ,        25.75,                   143004.90,5672
,AMJUMBO,SM,        65.55,                  1745000.00,26000
,AMRUTANJAN,EQ,       565.30,                   865770.80,1538
,AMTEKAUTO,EQ,        24.70,                 19692044.50,790519
,ANANTRAJ,EQ,        52.65,                 76979609.85,1472061
,ANDHRABANK,EQ,        41.30,                945941010.10,23705538
,ANDHRACEMT,EQ,        10.00,                   591241.10,59357
,ANDHRSUGAR,EQ,       447.95,                 18543745.85,40871
,ANGIND,EQ,         5.25,                    51958.10,9999
,ANIKINDS,EQ,        35.95,                  1022944.95,28012
,ANSALAPI,EQ,        20.30,                   350073.50,17245
,ANSALHSG,EQ,        21.90,                  4582484.55,206987
,ANTGRAPHIC,BE,          .85,                     7047.60,8556
,APARINDS,EQ,       741.10,                 12281962.05,16532
,APCL,EQ,       181.80,                   312251.70,1706
,APCOTEXIND,EQ,       505.10,                  1280460.85,2530
,APEX,EQ,       684.95,                210555589.50,307930
,APLAPOLLO,EQ,      1987.05,                 36871894.75,18346
,APLLTD,EQ,       540.10,                 10866490.70,20090
,APOLLO,EQ,       277.75,                  8985200.95,32321
,APOLLOHOSP,EQ,      1090.15,                427804266.05,393419
,APOLLOTYRE,EQ,       267.00,                428327475.50,1613608
,APOLSINHOT,EQ,      1404.40,                   448166.05,315
,APTECHT,EQ,       311.60,                154951380.05,498026
,ARCHIDPLY,EQ,        84.55,                  6777683.05,79742
,ARCHIES,EQ,        35.55,                  4372473.55,123850
,ARCOTECH,EQ,        39.50,                 12779665.75,324764
,ARIES,EQ,       202.50,                  5142476.25,25358
,ARIHANT,BE,        40.95,                    62478.50,1630
,ARIHANTSUP,EQ,       121.65,                 14188878.50,113520
,ARMANFIN,EQ,       344.25,                  4632223.25,13475
,AROGRANITE,EQ,        58.95,                  1601152.80,27415
,ARROWGREEN,EQ,       294.85,                 10067189.15,33808
,ARROWTEX,EQ,        38.20,                   365507.35,9560
,ARSHIYA,EQ,        76.35,                  2774962.65,36293
,ARSSINFRA,BE,        43.30,                   302647.40,7017
,ARVEE,SM,        58.80,                   235600.00,4000
,ARVIND,EQ,       398.65,                373555782.95,940666
,ARVSMART,EQ,       171.80,                  3767560.00,22098
,ASAHIINDIA,EQ,       343.20,                  8727036.10,25446
,ASAHISONG,EQ,       335.00,                  3324152.45,9879
,ASAL,EQ,        77.55,                   725188.65,9294
,ASHAPURMIN,EQ,        69.55,                 10678672.50,152540
,ASHIANA,EQ,       163.85,                 13250022.95,81048
,ASHIMASYN,EQ,        27.60,                  5462383.80,201675
,ASHOKA,EQ,       225.30,                 39761772.85,176117
,ASIANHOTNR,BE,       291.50,                  2017906.10,6966
,ASIANTILES,EQ,       470.55,                 10685343.65,22708
,ASPINWALL,EQ,       407.05,                  1260735.10,3115
,ASSAMCO,EQ,         4.30,                   768439.75,179078
,ASTEC,EQ,       566.20,                  3680466.70,6502
,ASTERDM,EQ,       150.10,                130818115.40,891774
,ASTRAL,EQ,       874.05,                 36319485.75,41407
,ASTRAMICRO,EQ,        86.15,                 17746864.60,206573
,ASTRAZEN,EQ,       964.45,                  1388039.45,1434
,ASTRON,EQ,       117.60,                 13956908.45,118483
,ATFL,EQ,       643.95,                  2371039.30,3708
,ATLANTA,EQ,        82.05,                 11774297.00,142705
,ATLASCYCLE,BE,       183.45,                   843362.95,4625
,ATUL,EQ,      2620.00,                  8619207.80,3286
,ATULAUTO,EQ,       445.20,                 29767155.35,67734
,AUBANK,EQ,       580.65,                171653244.40,295462
