,05-Mar-2018
The Nifty witnessed an intraday movement of about 104.8 points.The closing index was 0.95 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 28520.51
, Traded Quantity (in Lakhs), 13612.61
, Number of Trades, 10472162
, Total Market Capitalisation (Rs. Crores), 14373679.77

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AKZOINDIA,EQ,      1780.10,                  4943078.85,2778
,ALANKIT,EQ,        53.25,                 11585744.15,215337
,ALBERTDAVD,BE,       375.35,                  1517947.55,4095
,ALBK,EQ,        50.40,                145149639.80,2858735
,ALCHEM,BE,        11.35,                    91567.40,8197
,ALEMBICLTD,EQ,        62.45,                 18246810.00,292444
,ALICON,EQ,       611.20,                   663887.15,1089
,ALKALI,EQ,        78.50,                   947819.40,11926
,ALKEM,EQ,      2221.55,                 73893679.05,33358
,ALKYLAMINE,EQ,       613.85,                  1470027.50,2391
,ALLCARGO,EQ,       173.85,                 50012800.75,289292
,ALLSEC,EQ,       373.95,                  1973336.80,5244
,ALMONDZ,EQ,        25.05,                   206346.35,8144
,ALOKTEXT,EQ,         3.15,                  6083193.65,1963235
,ALPA,EQ,        42.35,                  1123260.35,26673
,ALPHAGEO,EQ,       795.45,                 10610026.20,13277
,ALPSINDUS,EQ,         4.35,                   168010.00,38597
,AMARAJABAT,EQ,       803.55,                226532335.35,281391
,AMBER,EQ,      1098.80,                171560762.55,155776
,AMBIKCO,EQ,      1316.40,                  6829901.75,5217
,AMDIND,EQ,        43.05,                 45203698.80,1051864
,AMJLAND,EQ,        26.10,                   284222.40,10906
,AMRUTANJAN,EQ,       571.35,                  1840801.05,3233
,AMTEKAUTO,EQ,        23.95,                  7354970.55,305969
,ANANTRAJ,EQ,        54.35,                 44361617.30,819510
,ANDHRABANK,EQ,        44.20,                 97744802.10,2195974
,ANDHRACEMT,EQ,        10.85,                   901246.80,82959
,ANDHRSUGAR,EQ,       495.35,                  5985629.00,12079
,ANGIND,EQ,         5.85,                    28786.95,4939
,ANIKINDS,EQ,        36.25,                   634217.55,17105
,ANSALAPI,EQ,        22.20,                  1745246.30,78462
,ANSALHSG,EQ,        22.10,                   995931.45,44595
,ANTGRAPHIC,BE,          .85,                    26670.00,33125
,APARINDS,EQ,       780.95,                 13073527.10,16756
,APCL,EQ,       189.45,                   448418.60,2362
,APCOTEXIND,EQ,       519.45,                  9779790.80,18738
,APEX,EQ,       685.95,                 83976334.10,121862
