symbol,series,date,quantity_traded,deliverable_quantity,delivery_pct
ABB,EQ,2012-09-05,20421,4623,22.64
ADANIPORTS,EQ,2012-09-05,1031669,895681,86.82
BEL,EQ,2012-09-05,5667,3020,53.29
BOSCHLTD,EQ,2012-09-05,4243,3600,84.85
CUMMINSIND,EQ,2012-09-05,96071,57708,60.07
DLF,EQ,2012-09-05,3675472,863753,23.50
HINDALCO,EQ,2012-09-05,8606241,3765198,43.75
INDHOTEL,EQ,2012-09-05,1178912,984480,83.51
LT,EQ,2012-09-05,1097767,433489,39.49
MANAPPURAM,EQ,2012-09-05,1510848,902391,59.73
MARUTI,EQ,2012-09-05,421800,185023,43.87
PGEL,EQ,2012-09-05,407,100,24.57
SBIN,EQ,2012-09-05,1903367,471019,24.75
SBIN,N1,2012-09-05,34,32,94.12
SBIN,N2,2012-09-05,6,5,83.33
SBIN,N3,2012-09-05,154,116,75.32
SBIN,N5,2012-09-05,479,395,82.46
SUZLON,EQ,2012-09-05,6459626,1203549,18.63
TRENT,EQ,2012-09-05,507,279,55.03
