symbol,series,date,quantity_traded,deliverable_quantity,delivery_pct
ABB,EQ,2024-06-10,271789,115485,42.49
ADANIPORTS,EQ,2024-06-10,4843234,1515817,31.30
BEL,EQ,2024-06-10,42363741,16434978,38.79
BOSCHLTD,EQ,2024-06-10,12586,4738,37.65
CUMMINSIND,EQ,2024-06-10,1386803,519394,37.45
DIXON,EQ,2024-06-10,406529,124128,30.53
DLF,EQ,2024-06-10,3204208,1461744,45.62
DMART,EQ,2024-06-10,276907,135420,48.90
HAL,EQ,2024-06-10,2877321,844285,29.34
HINDALCO,EQ,2024-06-10,4054802,1785447,44.03
INDHOTEL,EQ,2024-06-10,7450625,3379722,45.36
INDIGO,EQ,2024-06-10,2022024,738562,36.53
LT,EQ,2024-06-10,3151257,1807547,57.36
MANAPPURAM,EQ,2024-06-10,10639531,5009816,47.09
MARUTI,EQ,2024-06-10,293471,158331,53.95
PAYTM,EQ,2024-06-10,7714614,3372325,43.71
PGEL,EQ,2024-06-10,239351,98603,41.20
SBIN,EQ,2024-06-10,16725508,6425667,38.42
SUZLON,EQ,2024-06-10,90220734,53266166,59.04
TRENT,EQ,2024-06-10,417996,181178,43.34
