,11-Aug-2025
The Nifty witnessed an intraday movement of about 253.4 points.The closing index was 0.91 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 81193.79
, Traded Quantity (in Lakhs), 26128.35
, Number of Trades, 31323937
, Total Market Capitalisation (Rs. Crores), 44092095.02

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,NIFTY CONSR DURBL,     37549.60,     37244.05,     37367.25,     36686.95,     37277.50,-272.1
,NIFTY OIL AND GAS,     10989.15,     11023.30,     11073.40,     10929.80,     11059.95,70.8
,NIFTY500 MULTICAP,     15632.45,     15632.80,     15764.45,     15591.05,     15750.50,118.05
,NIFTY LARGEMID250,     15760.30,     15760.75,     15900.95,     15727.05,     15886.85,126.55
,NIFTY MID SELECT,     12506.30,     12493.50,     12631.30,     12452.50,     12610.50,104.2
,NIFTY TOTAL MKT,     12632.35,     12635.15,     12745.75,     12608.75,     12736.30,103.95
,NIFTY MICROCAP250,     23072.85,     23093.30,     23154.50,     22899.15,     23119.05,46.2
,NIFTY IND DIGITAL,      8641.35,      8635.80,      8760.05,      8609.35,      8749.55,108.2
,Nifty Tata 25 Cap,     14486.15,     14471.85,     14637.35,     14431.55,     14613.80,127.65
,Nifty MidSml Hlth,     43592.40,     43559.00,     44018.75,     43354.50,     43979.30,386.9
,Nifty Multi Mfg,     14659.65,     14649.95,     14781.05,     14596.35,     14755.30,95.65
,Nifty Multi Infra,     13640.45,     13661.10,     13787.15,     13638.50,     13775.55,135.1
,BHARATBOND-APR30,      1540.60,      1540.90,      1540.90,      1539.68,      1539.68,-.92
,BHARATBOND-APR31,      1405.85,      1406.11,      1406.11,      1404.18,      1404.18,-1.67
,BHARATBOND-APR32,      1281.46,      1281.70,      1281.70,      1281.69,      1281.69,.23
,BHARATBOND-APR33,      1244.89,      1245.13,      1245.13,      1245.12,      1245.12,.23
,Nifty Ind Defence,      7607.90,      7606.90,      7842.65,      7584.75,      7700.75,92.85
,Nifty Ind Tourism,      8939.20,      8923.30,      9037.55,      8914.55,      9021.40,82.2
,Nifty Capital Mkt,      4318.50,      4327.10,      4352.75,      4301.15,      4343.65,25.15
,Nifty500Momentm50,     50603.10,     50555.55,     51154.40,     50432.85,     51080.75,477.65
,NiftyMS400 MQ 100,     47270.00,     47251.35,     47590.55,     47040.30,     47499.80,229.8
,NiftySml250MQ 100,     44249.05,     44213.75,     44459.90,     43893.75,     44389.50,140.45
,Nifty Top 10 EW,      9286.65,      9289.60,      9375.55,      9272.80,      9359.15,72.5
,Nifty AQL 30,     21662.05,     21661.40,     21809.55,     21564.95,     21780.85,118.8
,Nifty AQLV 30,     20014.55,     20012.90,     20148.00,     19931.45,     20114.05,99.5
,Nifty EV,      2853.10,      2855.60,      2871.45,      2839.10,      2868.60,15.5
,Nifty HighBeta 50,      3533.85,      3536.55,      3570.75,      3523.40,      3566.75,32.9
