symbol,series,date,quantity_traded,deliverable_quantity,delivery_pct
ABB,EQ,2013-12-31,76169,49166,64.55
ADANIPORTS,EQ,2013-12-31,983269,444310,45.19
BEL,EQ,2013-12-31,11188,7885,70.48
BOSCHLTD,EQ,2013-12-31,17791,4825,27.12
CUMMINSIND,EQ,2013-12-31,257754,124776,48.41
DLF,EQ,2013-12-31,4600856,687954,14.95
HINDALCO,EQ,2013-12-31,2175457,547883,25.18
INDHOTEL,EQ,2013-12-31,632749,250832,39.64
LT,EQ,2013-12-31,538493,240268,44.62
MANAPPURAM,EQ,2013-12-31,1430078,671608,46.96
MARUTI,EQ,2013-12-31,303542,136051,44.82
PGEL,EQ,2013-12-31,36702,11585,31.57
SBIN,EQ,2013-12-31,1075308,231222,21.50
SBIN,N1,2013-12-31,119,119,100.00
SBIN,N2,2013-12-31,44,44,100.00
SBIN,N3,2013-12-31,12,12,100.00
SBIN,N5,2013-12-31,264,262,99.24
SUZLON,EQ,2013-12-31,3373777,1563341,46.34
TRENT,EQ,2013-12-31,156142,37721,24.16
