symbol,series,date,open,high,low,close,last,previous_close,volume,value,trades,isin
ABB,EQ,2008-07-15,840.2,849.7,795,812.8,795.85,859.7,198984,162680158.4,,
BEL,EQ,2008-07-15,1040,1044,975.05,1005.55,1015.3,1050.2,66396,67729776.4,,
BOSCHLTD,EQ,2008-07-15,3740,3800,3740,3785.6,3780,3799.9,2215,8401080.85,,
CUMMINSIND,EQ,2008-07-15,237,240,226.1,229.85,230,237.95,157978,37074877.95,,
DLF,EQ,2008-07-15,445,449.4,424.25,427.35,432,457,2844861,1245779813,,
HINDALCO,EQ,2008-07-15,148.05,148.05,137.2,138.2,138.1,150.05,2350403,333325113.65,,
INDHOTEL,EQ,2008-07-15,87,87.85,84.1,86.25,86,86.95,435454,37749179.2,,
LT,EQ,2008-07-15,2350,2370,2270.2,2279.3,2277,2386.8,777424,1799677083.35,,
MARUTI,EQ,2008-07-15,520.5,561,520.5,549.3,549,568.5,201590,111065461.75,,
SBIN,EQ,2008-07-15,1255,1255,1152.35,1181.8,1159.9,1257.9,1189905,1419877557.45,,
SUZLON,EQ,2008-07-15,192,196.4,185,185.95,185.7,196.65,4771051,911356169.3,,
TRENT,EQ,2008-07-15,452.5,470,452.5,459.35,457.5,466.75,636,291646.1,,
