symbol,series,date,quantity_traded,deliverable_quantity,delivery_pct
ABB,EQ,2009-01-27,151053,42355,28.04
BEL,EQ,2009-01-27,33282,14714,44.21
BOSCHLTD,EQ,2009-01-27,2573,1758,68.32
CUMMINSIND,EQ,2009-01-27,52557,42620,81.09
DLF,EQ,2009-01-27,8363037,1143383,13.67
HINDALCO,EQ,2009-01-27,3561308,1983623,55.70
INDHOTEL,EQ,2009-01-27,793996,536538,67.57
LT,EQ,2009-01-27,3610828,1067940,29.58
MARUTI,EQ,2009-01-27,768922,289155,37.61
SBIN,EQ,2009-01-27,3819415,1468261,38.44
SBIN,IL,2009-01-27,675000,675000,100.00
SUZLON,EQ,2009-01-27,15755688,4833727,30.68
TRENT,EQ,2009-01-27,233,184,78.97
