symbol,series,date,quantity_traded,deliverable_quantity,delivery_pct
ABB,EQ,2013-09-13,115699,29161,25.20
ADANIPORTS,EQ,2013-09-13,1256650,513385,40.85
BEL,EQ,2013-09-13,64645,64289,99.45
BOSCHLTD,EQ,2013-09-13,3702,3459,93.44
CUMMINSIND,EQ,2013-09-13,214117,95253,44.49
DLF,EQ,2013-09-13,11459158,2016859,17.60
HINDALCO,EQ,2013-09-13,5066014,1521171,30.03
INDHOTEL,EQ,2013-09-13,250193,107118,42.81
LT,EQ,2013-09-13,2207913,870754,39.44
MANAPPURAM,EQ,2013-09-13,687536,430717,62.65
MARUTI,EQ,2013-09-13,534719,287940,53.85
PGEL,EQ,2013-09-13,2312,226,9.78
SBIN,EQ,2013-09-13,1763096,334880,18.99
SBIN,N1,2013-09-13,13,13,100.00
SBIN,N2,2013-09-13,25,25,100.00
SBIN,N3,2013-09-13,107,100,93.46
SBIN,N4,2013-09-13,2,1,50.00
SBIN,N5,2013-09-13,192,191,99.48
SUZLON,EQ,2013-09-13,13372127,4923409,36.82
TRENT,EQ,2013-09-13,158454,145015,91.52
