symbol,series,date,quantity_traded,deliverable_quantity,delivery_pct
ABB,EQ,2022-06-02,164924,75658,45.87
ADANIPORTS,EQ,2022-06-02,3536560,765133,21.63
BEL,EQ,2022-06-02,8683285,2412855,27.79
BOSCHLTD,EQ,2022-06-02,10731,3150,29.35
CUMMINSIND,EQ,2022-06-02,291248,165241,56.74
DIXON,EQ,2022-06-02,258655,56576,21.87
DLF,EQ,2022-06-02,4326789,921826,21.31
DMART,EQ,2022-06-02,302036,66020,21.86
HAL,EQ,2022-06-02,982407,431246,43.90
HINDALCO,EQ,2022-06-02,7202046,1786851,24.81
INDHOTEL,EQ,2022-06-02,3311813,1517231,45.81
INDIGO,EQ,2022-06-02,492271,140367,28.51
LT,EQ,2022-06-02,1852251,1009549,54.50
MANAPPURAM,EQ,2022-06-02,3930482,1250541,31.82
MARUTI,EQ,2022-06-02,352848,109618,31.07
PAYTM,EQ,2022-06-02,2589114,527694,20.38
PGEL,EQ,2022-06-02,356155,55031,15.45
SBIN,EQ,2022-06-02,9370989,2829770,30.20
SUZLON,EQ,2022-06-02,133301233,31324110,23.50
TRENT,EQ,2022-06-02,433531,201480,46.47
