symbol,series,date,quantity_traded,deliverable_quantity,delivery_pct
ABB,EQ,2025-12-12,200377,88355,44.09
ADANIPORTS,EQ,2025-12-12,1152570,563379,48.88
BEL,EQ,2025-12-12,12661065,7494338,59.19
BOSCHLTD,EQ,2025-12-12,11065,5213,47.11
CUMMINSIND,EQ,2025-12-12,465150,295828,63.60
DIXON,EQ,2025-12-12,708140,172707,24.39
DLF,EQ,2025-12-12,2447290,973212,39.77
DMART,EQ,2025-12-12,248192,158505,63.86
ETERNAL,EQ,2025-12-12,27289532,15707731,57.56
HAL,EQ,2025-12-12,791726,359180,45.37
HINDALCO,EQ,2025-12-12,8178645,4243194,51.88
INDHOTEL,EQ,2025-12-12,2784620,1761067,63.24
INDIGO,EQ,2025-12-12,3379049,1671456,49.47
LENSKART,EQ,2025-12-12,779542,376068,48.24
LT,EQ,2025-12-12,2207898,1230441,55.73
MANAPPURAM,EQ,2025-12-12,2857546,1468486,51.39
MARUTI,EQ,2025-12-12,404711,267389,66.07
PAYTM,EQ,2025-12-12,2061708,932020,45.21
PGEL,EQ,2025-12-12,4093056,1543399,37.71
SBIN,EQ,2025-12-12,5681930,3781173,66.55
SUZLON,EQ,2025-12-12,42524157,15071776,35.44
TRENT,EQ,2025-12-12,534723,310233,58.02
