symbol,series,date,previous_close,open_price,high_price,low_price,last_price,close_price,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
ABB,EQ,2024-06-07,7987.50,8049.95,8101.20,7920.00,8050.10,8073.25,8008.23,323673,25920.48,57873,128574,39.72
ADANIPORTS,EQ,2024-06-07,1352.95,1357.70,1385.00,1355.05,1378.00,1378.85,1374.17,5884018,80856.14,161288,1716667,29.18
BEL,EQ,2024-06-07,273.65,274.00,284.55,268.70,283.00,283.20,279.29,60109827,167882.54,344381,22199003,36.93
BOSCHLTD,EQ,2024-06-07,30651.70,30510.00,31000.00,30510.00,30575.00,30596.60,30682.34,19067,5850.20,8320,8292,43.49
CUMMINSIND,EQ,2024-06-07,3505.30,3480.20,3619.00,3480.20,3591.95,3606.55,3568.30,549839,19619.91,48163,229341,41.71
DIXON,EQ,2024-06-07,9762.00,9949.95,10088.10,9870.00,9994.05,9985.10,10006.77,608213,60862.46,80089,121045,19.90
DLF,EQ,2024-06-07,829.15,829.15,848.75,822.30,843.15,843.45,837.60,4266992,35740.34,97754,2226789,52.19
DMART,EQ,2024-06-07,4687.05,4700.00,4806.35,4690.75,4743.00,4747.25,4737.86,352969,16723.17,45372,159253,45.12
HAL,EQ,2024-06-07,4666.60,4666.65,4788.00,4550.00,4745.00,4745.15,4707.82,4542809,213867.30,271348,1341748,29.54
HINDALCO,EQ,2024-06-07,677.50,677.50,687.00,672.45,680.20,680.35,680.55,7172942,48815.73,192690,4234380,59.03
INDHOTEL,EQ,2024-06-07,583.50,585.00,593.45,574.65,584.60,585.10,583.43,4672844,27262.92,64842,2558256,54.75
INDIGO,EQ,2024-06-07,4301.00,4355.00,4411.00,4320.20,4374.70,4373.20,4374.74,2066566,90406.86,171100,1391249,67.32
LT,EQ,2024-06-07,3482.55,3465.05,3548.00,3446.00,3527.85,3532.50,3514.12,5879660,206618.22,299277,3089803,52.55
MANAPPURAM,EQ,2024-06-07,177.75,178.50,179.80,176.50,179.00,178.95,178.42,9440315,16843.88,48144,3682294,39.01
MARUTI,EQ,2024-06-07,12673.50,12582.35,12828.00,12582.35,12790.00,12810.90,12740.77,532480,67842.08,81384,270492,50.80
PAYTM,EQ,2024-06-07,346.65,349.00,381.30,347.20,381.30,381.30,373.30,8096613,30224.83,83000,3624888,44.77
PGEL,EQ,2024-06-07,2547.15,2588.00,2880.00,2588.00,2824.00,2813.50,2795.31,577514,16143.31,40762,222082,38.45
SBIN,EQ,2024-06-07,816.95,819.90,831.50,810.50,829.25,829.95,823.33,25061284,206338.09,346989,8075639,32.22
SUZLON,BE,2024-06-07,49.80,50.00,50.45,49.00,49.80,49.90,49.74,30336425,15088.64,90338,-,-
TRENT,EQ,2024-06-07,4878.45,4878.45,5010.40,4841.00,4979.00,4964.60,4915.54,488611,24017.86,57919,227919,46.65
