,25-Oct-2018
The Nifty witnessed an intraday movement of about 87.3 points.The closing index was 0.98 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 40813.3
, Traded Quantity (in Lakhs), 17606.38
, Number of Trades, 13353431
, Total Market Capitalisation (Rs. Crores), 13251805.08

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AJMERA,EQ,       148.00,                  2748462.40,18553
,AKASH,SM,       109.35,                  9407800.00,73000
,AKG,SM,        32.40,                   259600.00,8000
,AKSHARCHEM,EQ,       468.45,                   271464.80,579
,AKSHOPTFBR,EQ,        26.95,                 39778150.75,1513338
,AKZOINDIA,EQ,      1493.15,                  6853029.65,4562
,ALANKIT,EQ,        20.20,                 26219262.40,1298583
,ALBERTDAVD,EQ,       469.70,                  4763868.95,10279
,ALBK,EQ,        37.15,                101743210.55,2746567
,ALCHEM,BE,         3.80,                    35873.55,9322
,ALEMBICLTD,EQ,        39.60,                  6765555.80,171349
,ALICON,EQ,       585.30,                   323952.65,558
,ALKALI,EQ,        56.15,                   225817.80,4021
,ALKEM,EQ,      1949.45,                 65620066.00,33714
,ALKYLAMINE,EQ,       573.50,                    93321.30,163
,ALLCARGO,EQ,        99.80,                 16015670.35,162601
,ALLSEC,EQ,       232.15,                  1134564.85,4928
,ALMONDZ,EQ,        20.70,                    66304.00,3167
,ALOKTEXT,EQ,         3.25,                 15436033.20,5084580
,ALPA,EQ,        24.65,                   399492.15,16102
,ALPHAGEO,EQ,       480.90,                  2328472.55,4880
,ALPSINDUS,BE,         2.60,                    12308.40,4734
,AMARAJABAT,EQ,       772.30,                323183665.80,426134
,AMBER,EQ,       841.05,                  2949905.05,3526
,AMBIKCO,EQ,      1137.00,                  1206507.00,1051
,AMDIND,EQ,        19.70,                    56750.95,2859
,AMJLAND,EQ,        21.15,                   166893.65,7958
,AMRUTANJAN,EQ,       249.85,                  2856599.10,11499
,ANANTRAJ,EQ,        33.40,                 10798082.25,324049
,ANDHRABANK,EQ,        25.80,                 16457334.65,637139
,ANDHRACEMT,EQ,         6.20,                   328287.40,52460
,ANDHRSUGAR,EQ,       318.10,                 15190088.55,47130
,ANGIND,BE,         1.50,                    10411.00,6846
,ANIKINDS,EQ,        25.70,                    12589.00,520
,ANKITMETAL,BE,          .45,                     3082.10,6838
,ANSALAPI,EQ,        10.45,                   148644.70,14236
,ANSALHSG,EQ,         9.75,                   109827.85,11404
,ANTGRAPHIC,BE,          .50,                    27550.00,60686
,APARINDS,EQ,       550.40,                  2434972.60,4385
,APCL,EQ,       111.15,                   446194.45,3954
,APCOTEXIND,EQ,       515.00,                  7756129.15,15066
,APEX,EQ,       341.50,                 17013612.05,50103
,APLAPOLLO,EQ,      1229.10,                 40469283.10,33054
,APLLTD,EQ,       550.30,                 17083194.10,30996
,APOLLO,EQ,       116.20,                  3479085.10,30479
,APOLLOHOSP,EQ,      1109.60,                846242551.65,759796
,APOLLOTYRE,EQ,       207.05,                625223841.05,3043270
,APOLSINHOT,EQ,       610.55,                   532928.80,876
,APTECHT,EQ,       153.20,                 33313179.15,214920
,ARCHIDPLY,EQ,        41.80,                   389818.15,9274
,ARCHIES,EQ,        24.45,                   971705.00,40469
,ARCOTECH,BE,         5.50,                   781869.00,142158
,ARIES,EQ,        95.40,                   738561.90,7876
,ARIHANT,EQ,        24.25,                    37910.45,1533
,ARIHANTSUP,EQ,        53.50,                  2410669.85,46964
,ARMANFIN,EQ,       290.30,                   341355.05,1156
,AROGRANITE,EQ,        52.40,                   203376.90,3935
,ARROWGREEN,EQ,       103.15,                   406866.65,3959
,ARROWTEX,EQ,        24.10,                    66614.70,2762
,ARSHIYA,EQ,        34.10,                  5632090.85,165314
,ARSSINFRA,EQ,        22.20,                   168464.65,7712
,ARVIND,EQ,       319.25,                599985229.00,1882028
,ARVSMART,EQ,       103.80,                   913997.35,8836
,ASAHIINDIA,EQ,       286.70,                  2714264.15,9458
,ASAHISONG,EQ,       243.90,                    89602.90,370
,ASAL,EQ,        41.90,                   135298.40,3262
,ASHAPURMIN,EQ,        26.90,                  1545169.75,56750
,ASHIANA,EQ,       126.75,                 14019410.50,112000
,ASHIMASYN,EQ,        14.40,                   429933.40,30283
,ASHOKA,EQ,       112.60,                 66886257.85,617951
,ASIANHOTNR,EQ,       150.60,                   207812.90,1359
,ASIANTILES,EQ,       171.90,                  9146506.50,54278
,ASPINWALL,EQ,       180.00,                   625893.35,3465
,ASTEC,EQ,       530.45,                  3952243.90,7484
,ASTERDM,EQ,       157.50,                  2957168.10,18806
,ASTRAL,EQ,       880.00,                128710121.90,146316
,ASTRAMICRO,EQ,        78.15,                  5164297.20,66207
,ASTRAZEN,EQ,      1688.70,                 27591423.45,16411
,ASTRON,EQ,       111.55,                  9504960.40,84989
,ATFL,EQ,       507.65,                  2373865.95,4667
,ATLANTA,EQ,        29.10,                  5090652.50,176808
,ATLASCYCLE,BZ,        87.00,                    45816.65,520
,ATNINTER,BE,          .15,                     5082.60,43930
,ATUL,EQ,      3201.35,                 51271702.65,16037
,ATULAUTO,EQ,       329.55,                  1346866.90,4111
,AUBANK,EQ,       531.15,                101251917.70,193086
,AURDIS,SM,        23.55,                    47100.00,2000
,AURIONPRO,EQ,       141.95,                  2214177.95,15617
,AUSOMENT,EQ,        50.30,                   134223.40,2633
,AUTOAXLES,EQ,      1039.10,                 13773306.55,13371
,AUTOIND,EQ,        57.90,                   625019.05,10820
,AUTOLITIND,EQ,        39.80,                   135417.35,3401
,AVADHSUGAR,EQ,       472.15,                 20755201.30,43586
,AVANTIFEED,EQ,       379.70,                 72034319.90,190569
,AVG,SM,        80.70,                   874260.00,10800
,AVTNPL,EQ,        26.25,                   536182.65,20538
,AXISCADES,EQ,        66.40,                  2733005.80,41726
,AXISGOLD,EQ,      2795.00,                   609962.10,217
,AXISNIFTY,EQ,      1035.83,                   124684.38,121
,AYMSYNTEX,EQ,        40.40,                   483723.25,11963
,BAFNAPHARM,EQ,        14.60,                   206253.85,14408
,BAGFILMS,EQ,         4.60,                   376989.45,81432
,BAJAJCORP,EQ,       359.45,                 10025014.75,27991
,BAJAJELEC,EQ,       482.50,                194733826.10,402690
,BAJAJHIND,EQ,         9.85,                 37864787.30,3842224
,BAJAJHLDNG,EQ,      2651.40,                124945372.10,47285
,BALAJITELE,EQ,        97.10,                  1718190.15,17711
,BALAMINES,EQ,       436.40,                  3865313.15,8869
,BALKRISHNA,EQ,        46.45,                   242986.15,5224
,BALKRISIND,EQ,      1022.00,                322123819.90,314395
,BALLARPUR,EQ,         5.90,                  2053446.85,348612
,BALMLAWRIE,EQ,       187.15,                  3520488.20,18805
,BALPHARMA,EQ,        76.70,                   960781.10,12499
,BALRAMCHIN,EQ,        97.65,                519834433.05,5328210
,BANARBEADS,EQ,        49.00,                    11760.00,240
,BANARISUG,EQ,      1758.90,                  1707287.60,970
,BANCOINDIA,EQ,       182.95,                  4961773.80,26955
,BANG,EQ,        50.30,                   370785.90,7383
,BANKBEES,EQ,      2529.72,                 17746822.13,7007
,BANKINDIA,EQ,        74.90,                460836692.85,6155722
,BANSAL,SM,        59.00,                   828050.00,14000
,BANSWRAS,EQ,        69.45,                   348513.55,5114
,BARTRONICS,EQ,         7.55,                   517865.05,66917
,BASF,EQ,      1635.30,                  3727762.40,2269
,BASML,EQ,       199.00,                    61136.20,299
,BATAINDIA,EQ,       923.15,               2433202465.35,2683269
,BAYERCROP,EQ,      3762.95,                 39538183.50,10526
,BBL,EQ,      1117.25,                 10095597.85,8941
,BBTC,EQ,      1187.35,                 77805735.65,65512
,BCG,EQ,         3.40,                   707023.75,200604
,BDL,EQ,       283.30,                  3929839.35,14008
,BEARDSELL,EQ,        24.80,                    36034.55,1478
,BEDMUTHA,BE,        19.75,                    45747.50,2300
,BEML,EQ,       543.25,                480658765.60,878527
,BEPL,EQ,        91.45,                 44349226.60,482782
,BERGEPAINT,EQ,       290.95,                512377295.60,1779571
,BETA,SM,        62.60,                  2095040.00,35200
,BFINVEST,EQ,       214.40,                 13765910.85,64828
,BFUTILITIE,EQ,       198.35,                 21291867.20,107851
,BGLOBAL,BE,         2.50,                    24975.25,9999
,BGRENERGY,EQ,        52.70,                  3484442.90,65979
,BHAGERIA,EQ,       296.35,                 11261126.25,37618
,BHAGYANGR,EQ,        30.10,                   178629.90,5928
,BHAGYAPROP,EQ,        22.15,                    63877.05,2768
,BHANDARI,EQ,         2.00,                  2336563.80,1147817
,BHARATFIN,EQ,       904.60,               2639303203.40,2904049
,BHARATFORG,EQ,       546.70,                620705330.95,1133717
,BHARATGEAR,EQ,       163.35,                  2178956.90,13527
,BHARATIDIL,BZ,         2.65,                    47573.35,17951
,BHARATRAS,EQ,      4986.75,                 22948432.95,4709
,BHARATWIRE,EQ,        72.40,                  1704474.90,24100
,BHUSANSTL,EQ,        26.05,                 11145354.70,427501
,BIGBLOC,EQ,        47.95,                   834340.70,17167
,BIL,EQ,       243.80,                   286474.40,1184
,BILENERGY,BE,          .50,                    28554.80,58046
,BILPOWER,BZ,          .55,                     2100.70,3728
,BINANIIND,EQ,        73.85,                  1089627.70,14758
,BINDALAGRO,EQ,        16.45,                   171885.20,10509
,BIOFILCHEM,BE,         7.15,                     1719.50,240
,BIRLACABLE,EQ,       136.15,                  7194577.35,52915
,BIRLACORPN,EQ,       591.50,                 16728162.80,28744
,BIRLAMONEY,EQ,        45.95,                  2253703.25,49075
,BKMINDST,EQ,        10.90,                   150464.20,14195
,BLBLIMITED,EQ,         5.60,                    71933.65,12845
,BLISSGVS,EQ,       163.70,                 43120607.90,263796
,BLKASHYAP,EQ,        23.25,                   911438.15,38948
,BLS,EQ,       131.15,                 13795537.50,104947
,BLUEBLENDS,EQ,         3.55,                   138419.00,39142
,BLUECHIP,BE,          .45,                     6694.40,14886
,BLUEDART,EQ,      2660.35,                  3309580.35,1244
,BLUEDART,N2,        10.50,                    10500.00,1000
,BLUESTARCO,EQ,       518.10,                  3825774.40,7424
,BODALCHEM,EQ,       117.55,                 71825825.20,605503
,BOHRA,SM,        21.40,                    42800.00,2000
,BOMDYEING,BE,        86.65,                  7745296.90,89386
,BOROSIL,EQ,       255.45,                 28653755.55,112303
,BPL,EQ,        37.50,                  3195033.70,85715
,BRFL,BE,        14.80,                  1604865.45,105988
,BRIGADE,EQ,       170.70,                  4626124.75,26888
,BRIGHT,SM,        35.30,                  2515350.00,75000
,BRNL,EQ,       119.20,                   211936.35,1787
,BROOKS,EQ,        52.45,                   800347.65,15233
,BSE,EQ,       603.85,                 85202385.55,141634
,BSELINFRA,EQ,         2.55,                    83528.10,33244
,BSHSL,SM,       130.50,                   261000.00,2000
,BSL,EQ,        45.45,                   116369.35,2584
,BSLGOLDETF,EQ,      2933.35,                     8800.00,3
,BSLNIFTY,EQ,       113.59,                     6475.73,57
,BURNPUR,EQ,         3.70,                   138409.30,37149
,BUTTERFLY,EQ,       234.50,                  3356246.75,14426
,BVCL,BE,        15.10,                    94488.05,6213
,BYKE,EQ,        77.00,                  2346580.75,30344
,CADSYS,SM,        54.00,                   317000.00,6000
,CALSOFT,EQ,        32.75,                   291897.40,8877
,CAMLINFINE,EQ,        43.40,                  7077297.60,163146
,CANBK,EQ,       211.65,                995869285.55,4714863
,CANDC,EQ,        26.20,                  1406396.30,54071
,CANFINHOME,EQ,       256.95,               1012524426.70,3997399
,CANTABIL,EQ,       127.95,                 20462733.10,160628
,CAPACITE,EQ,       178.05,                  9664561.95,54203
,CAPF,EQ,       462.10,                188862773.65,405018
,CAPLIPOINT,EQ,       398.55,                  7983210.30,20160
,CAPTRUST,EQ,       216.70,                   347540.40,1634
,CARBORUNIV,EQ,       370.85,                 34651889.15,94267
,CAREERP,EQ,        70.45,                   869313.35,12246
,CARERATING,EQ,      1122.20,                 34837299.00,32031
,CASTEXTECH,EQ,         1.10,                   385059.80,347535
,CASTROLIND,EQ,       146.90,                465560593.50,3190626
,CCCL,EQ,         1.80,                   108476.00,61311
,CCHHL,EQ,         7.30,                   131806.50,17996
,CCL,EQ,       225.95,                 16951594.65,74515
,CDSL,EQ,       239.45,                 20053584.30,84589
,CEATLTD,EQ,      1016.00,                753950303.65,742954
,CEBBCO,EQ,        13.00,                   279957.95,21814
,CELEBRITY,EQ,         9.05,                   230819.65,25392
,CELESTIAL,EQ,         8.40,                   377978.60,45293
,CENTENKA,EQ,       244.70,                  3968668.70,16417
,CENTEXT,EQ,         6.10,                  1205301.05,202358
,CENTRALBK,EQ,        29.40,                 10898084.65,369823
,CENTRUM,EQ,        41.30,                  7480777.90,182996
,CENTUM,EQ,       371.50,                   414330.55,1122
,CENTURYPLY,EQ,       169.90,                 28494156.05,169457
